Timestamps [ms],RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHandPinkyEE,,,RightHandPinky3,,,RightHandPinky2,,,RightHandPinky1,,,RightHandRingEE,,,RightHandRing3,,,RightHandRing2,,,RightHandRing1,,,RightHandMiddleEE,,,RightHandMiddle3,,,RightHandMiddle2,,,RightHandMiddle1,,,RightHandIndexEE,,,RightHandIndex3,,,RightHandIndex2,,,RightHandIndex1,,,RightHandThumbEE,,,RightHandThumb3,,,RightHandThumb2,,,RightHandThumb1,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHandPinkyEE,,,LeftHandPinky3,,,LeftHandPinky2,,,LeftHandPinky1,,,LeftHandRingEE,,,LeftHandRing3,,,LeftHandRing2,,,LeftHandRing1,,,LeftHandMiddleEE,,,LeftHandMiddle3,,,LeftHandMiddle2,,,LeftHandMiddle1,,,LeftHandIndexEE,,,LeftHandIndex3,,,LeftHandIndex2,,,LeftHandIndex1,,,LeftHandThumbEE,,,LeftHandThumb3,,,LeftHandThumb2,,,LeftHandThumb1,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
0,-687.822,4623.7,-60.2547,-714.039,4679.38,-102.485,-756.858,4764.77,-188.343,-706.238,4604.38,-541.624,-666.564,4469.79,-915.351,-907.39,4499.09,-3.88348,-881.417,4549.37,-52.5473,-836.239,4622.35,-148.097,-846.963,4427.94,-487.482,-838.117,4433.78,-886.54,-514.857,4434.04,-839.761,-520.727,4488.25,-789.437,-515.974,4481.77,-802.143,-511.663,4475.41,-815.06,-503.933,4462.91,-841.287,-517.861,4472.87,-760.265,-514.338,4467.68,-774.447,-510.584,4459.33,-799.987,-508.9,4449.6,-833.448,-515.065,4456.19,-744.72,-511.363,4451.26,-759.473,-509.598,4444.12,-786.472,-513.633,4436.86,-823.118,-518.906,4431.9,-745.268,-514.941,4428.32,-760.872,-513.762,4424.68,-785.314,-519.225,4422.07,-821.925,-546.982,4432.41,-796.615,-551.185,4418.27,-823.132,-552.126,4412.89,-852.982,-535.437,4405.04,-886.958,-521.21,4418.97,-907.213,-561.56,4435.61,-1150.55,-643.566,4320.6,-1387.33,-749.287,4273.77,-1392.09,-941.901,4290.36,-771.805,-956.679,4342.39,-726.328,-962.616,4329.33,-730.824,-966.436,4318.6,-740.631,-968.556,4305.4,-767.559,-956.951,4312.38,-688.714,-959.698,4304.53,-701.803,-960.218,4297.38,-727.971,-955.305,4297.53,-762.509,-948.985,4281.4,-674.343,-948.752,4281.08,-690.328,-946.824,4283.2,-718.162,-942.228,4289.61,-754.901,-928.233,4269.37,-679.347,-928.534,4271.57,-695.69,-928.699,4275.38,-720.133,-928.516,4281.85,-756.672,-867.454,4282.41,-741.087,-882.173,4290.2,-766.112,-893.114,4295.75,-793.554,-914.703,4287.54,-824.192,-937.217,4291.51,-841.043,-990.288,4319.89,-1080.83,-933.301,4251.42,-1341.75,-824.541,4256.59,-1380.96,-769.461,4179.66,-1647.35,-783.877,4230.06,-1493.55,-794.137,4272.33,-1424.96,-800.665,4333.08,-1374.66,-792.681,4380.61,-1247.33,-783.666,4401.26,-1158.25,-774.771,4415.35,-1083,-771.602,4469.5,-993.489,-758.761,4457.69,-931.793,
20,-691.782,4623.57,-59.2678,-716.839,4679.5,-101.87,-757.625,4765.21,-188.398,-706.499,4605.5,-541.909,-666.059,4467.24,-914.214,-906.225,4497.93,-3.93491,-880.627,4548.59,-52.4038,-836.163,4622.27,-147.751,-846.929,4427.93,-487.177,-837.946,4432.16,-886.252,-514.365,4433.38,-839.697,-521.538,4489.96,-792.236,-515.524,4482.66,-803.921,-510.599,4475.59,-816.24,-502.996,4462.02,-841.967,-520.667,4475.38,-762.729,-515.1,4469.22,-775.824,-509.582,4459.57,-800.576,-508.135,4448.99,-833.788,-518.417,4457.09,-745.469,-513.491,4451.77,-759.719,-510.169,4444.13,-786.434,-513.02,4436.58,-823.133,-520.512,4431.96,-744.877,-516.293,4428.33,-760.404,-514.53,4424.63,-784.801,-518.839,4421.91,-821.559,-546.148,4433.28,-796.606,-550.96,4418.02,-822.391,-551.954,4412.52,-852.217,-535.614,4403.58,-886.092,-521.264,4416.79,-906.737,-560.917,4435.87,-1150.01,-643.276,4319.31,-1385.91,-749.164,4273,-1391.86,-941.53,4291.19,-772.279,-955.083,4345.84,-727.298,-960.761,4333.06,-732.814,-964.61,4322.25,-742.522,-967.804,4306.93,-768.191,-953.544,4317.4,-690.555,-957.216,4308.61,-702.785,-958.916,4299.94,-728.442,-954.772,4298.75,-763.06,-946.019,4284.85,-674.519,-946.541,4283.75,-690.463,-945.614,4284.9,-718.406,-941.921,4290.54,-755.372,-926.593,4269.4,-679.846,-927.23,4271.72,-696.163,-927.883,4275.69,-720.572,-928.407,4282.42,-757.062,-867.022,4281.7,-741.701,-882.246,4290.09,-766.224,-892.592,4295.38,-793.947,-914.274,4287.38,-824.573,-936.635,4291.83,-841.509,-989.231,4320.98,-1081.3,-933.684,4252.34,-1342.49,-824.565,4256.41,-1380.82,-769.626,4179.75,-1647.37,-783.946,4229.81,-1493.45,-794.013,4271.98,-1424.77,-800.071,4332.69,-1374.38,-791.806,4379.96,-1246.96,-782.78,4400.33,-1157.82,-773.987,4414.13,-1082.51,-770.776,4467.92,-992.779,-758.26,4455.77,-931.082,
40,-695.311,4623.45,-58.4518,-719.211,4679.61,-101.425,-758.005,4765.59,-188.592,-707.429,4606.39,-542.417,-665.028,4464.01,-912.942,-905.702,4497.01,-3.91475,-880.338,4548.19,-51.9655,-836.4,4622.71,-146.903,-846.918,4428.54,-486.435,-837.334,4430.61,-885.513,-514.365,4432.6,-840.009,-525.606,4491.18,-796.559,-517.58,4483.36,-806.576,-511.484,4475.75,-818.016,-503.463,4461.34,-843.154,-526.613,4477.82,-767.146,-518.305,4470.96,-778.293,-510.048,4460.03,-801.717,-508.318,4448.45,-834.581,-524.406,4458.67,-747.591,-517.554,4452.95,-760.854,-511.789,4444.57,-786.923,-512.902,4436.25,-823.55,-523.743,4432.26,-745.122,-518.719,4428.58,-760.396,-515.787,4424.69,-784.651,-518.478,4421.55,-821.528,-545.871,4432.74,-796.733,-550.851,4416.3,-821.746,-551.787,4410.75,-851.564,-535.622,4401.26,-885.374,-521.687,4414.13,-906.511,-560.785,4436.29,-1149.61,-642.913,4316.84,-1384.14,-749.195,4271.6,-1391.19,-941.179,4291.69,-772.259,-955.843,4347.04,-726.585,-960.61,4334.65,-733.638,-964.019,4323.9,-743.584,-967.732,4306.94,-768.125,-951.189,4320.09,-691.744,-955.405,4310.5,-703.174,-957.971,4300.72,-728.353,-954.64,4298.83,-763.029,-942.951,4286.33,-674.541,-944.296,4284.44,-690.361,-944.467,4284.92,-718.339,-941.76,4290.64,-755.378,-924.381,4267.55,-680.352,-925.446,4270.26,-696.585,-926.71,4274.92,-720.85,-928.106,4282.76,-757.092,-866.575,4283.22,-741.439,-882.52,4292.25,-765.27,-892.064,4297.43,-793.299,-913.252,4289.51,-824.293,-935.474,4294.03,-841.391,-988.292,4322.7,-1081.19,-934.337,4254.84,-1342.92,-824.878,4256.12,-1380.47,-769.833,4179.62,-1647.13,-784.142,4229.26,-1493.07,-793.931,4271.32,-1424.28,-799.273,4332.01,-1373.78,-790.795,4378.9,-1246.24,-781.809,4398.96,-1157.03,-773.077,4412.47,-1081.65,-769.531,4465.98,-991.769,-757.298,4453.53,-930.075,
60,-699.148,4623.22,-57.6458,-721.727,4679.6,-101.035,-758.261,4765.9,-188.862,-708.071,4606.79,-542.779,-664.045,4460.98,-911.779,-906.201,4496.52,-3.88823,-880.782,4548.18,-51.3899,-836.967,4623.42,-145.815,-847.127,4429.16,-485.304,-836.712,4429.47,-884.367,-515.029,4432.23,-839.806,-530.913,4491.31,-800.248,-520.668,4483.44,-807.93,-513.046,4475.6,-818.241,-503.977,4460.92,-842.862,-534.84,4478.68,-771.897,-523.778,4471.65,-780.182,-512.043,4460,-801.696,-508.962,4448.06,-834.329,-533.801,4459.29,-750.226,-524.608,4453.33,-761.87,-515.482,4444.5,-786.804,-513.697,4435.88,-823.336,-531.304,4431.53,-745.748,-524.774,4427.93,-760.461,-519.658,4424.16,-784.37,-519.353,4421.2,-821.359,-547.793,4431.53,-796.776,-552.478,4414.97,-821.767,-552.708,4410.24,-851.741,-536.012,4400.96,-885.35,-521.834,4413.77,-906.365,-559.639,4435.65,-1149.7,-642.313,4313.26,-1382.52,-749.444,4270.16,-1390.09,-939.977,4292.7,-772.165,-953.937,4349.24,-726.695,-958.191,4337.4,-734.922,-961.582,4326.69,-744.912,-966.48,4308.02,-767.963,-946.371,4325.14,-693.476,-951.323,4314.78,-703.901,-955.235,4303.49,-728.258,-953.427,4299.83,-762.905,-937.776,4291.32,-674.711,-940.294,4287.97,-690.141,-942.004,4286.78,-718.045,-940.59,4291.53,-755.293,-920.454,4268.47,-680.487,-922.185,4271.03,-696.686,-924.354,4275.63,-720.899,-926.963,4283.62,-757.043,-865.328,4284.95,-741.61,-881.943,4294.28,-764.858,-890.792,4298.89,-793.213,-911.973,4290.8,-824.168,-934.15,4295.53,-841.269,-987.946,4324.42,-1080.83,-935.117,4257.36,-1342.99,-825.428,4255.87,-1379.85,-769.908,4179.35,-1646.48,-784.377,4228.64,-1492.32,-793.958,4270.64,-1423.47,-798.665,4331.34,-1372.92,-790.238,4377.95,-1245.27,-781.37,4397.74,-1155.99,-772.646,4411.02,-1080.57,-768.542,4464.29,-990.57,-756.433,4451.58,-928.905,
80,-701.92,4622.19,-56.9218,-723.385,4678.79,-100.58,-758.04,4765.47,-188.799,-708.622,4606.28,-542.791,-663.357,4458.34,-910.791,-906.785,4495.54,-3.75735,-881.204,4547.68,-50.6415,-837.4,4623.6,-144.519,-847.056,4429.27,-483.983,-836.397,4429.27,-883.04,-515.053,4431.46,-839.585,-535.527,4489.96,-803.741,-523.564,4482.48,-808.922,-514.47,4474.7,-818.017,-503.918,4460.17,-842.129,-542.149,4477.73,-777.094,-529.144,4471.04,-782.25,-514.099,4459.2,-801.479,-508.97,4447.19,-833.826,-542.708,4458.79,-753.896,-531.481,4452.82,-763.587,-518.975,4443.74,-786.914,-513.779,4434.84,-823.051,-539.313,4430.07,-747.438,-531.086,4426.62,-761.309,-523.415,4422.99,-784.547,-519.48,4420.15,-821.337,-549.92,4428.48,-796.465,-553.936,4412.7,-822.071,-553.348,4409.29,-852.218,-535.927,4400.99,-885.715,-521.631,4414.1,-906.462,-558.61,4435.3,-1149.98,-641.614,4308.84,-1380.5,-749.823,4268.71,-1389,-938.409,4294.59,-771.971,-948.655,4352.89,-727.563,-953.144,4341.62,-736.439,-957.169,4330.95,-746.236,-964.243,4310.96,-767.545,-938.716,4332.36,-695.825,-944.737,4321.54,-705.154,-950.709,4308.69,-728.294,-951.43,4302.34,-762.59,-930.291,4299.77,-675.583,-934.448,4294.6,-690.131,-938.359,4290.97,-717.6,-938.795,4293.65,-755.078,-915.117,4272.78,-680.345,-917.816,4274.58,-696.515,-921.259,4278.25,-720.737,-925.507,4285.2,-756.942,-863.75,4286.18,-742.522,-880.709,4295.59,-765.487,-889.331,4299.27,-794.047,-911.336,4291.02,-824.376,-933.59,4296.38,-841.186,-987.918,4325.35,-1080.62,-935.983,4259.58,-1343.29,-826.137,4255.73,-1379.5,-769.901,4180.03,-1646.3,-784.613,4228.45,-1491.89,-793.993,4270.16,-1422.84,-798.102,4330.69,-1372.03,-789.996,4376.65,-1244.12,-781.377,4396.11,-1154.74,-772.674,4409.24,-1079.29,-767.901,4462.75,-989.466,-755.885,4450.12,-927.765,
100,-704.28,4621.48,-56.4315,-724.822,4678.3,-100.249,-757.936,4765.38,-188.668,-708.939,4605.62,-542.462,-663.044,4456.32,-909.835,-907.7,4494.97,-3.87022,-881.87,4547.48,-50.1948,-837.976,4623.92,-143.615,-846.746,4429.26,-482.917,-836.523,4430.11,-881.984,-514.509,4429.89,-839.822,-537.365,4488.39,-807.634,-524.642,4481.09,-810.914,-514.655,4473.21,-818.92,-502.811,4458.39,-842.245,-546.249,4476.84,-782.655,-532.42,4470.35,-785.303,-515.177,4458.07,-802.278,-508.021,4445.43,-833.997,-548.696,4459.01,-758.587,-536.26,4452.82,-766.505,-521.268,4443.04,-788.012,-512.942,4433.09,-823.276,-546.066,4430.25,-750.411,-536.405,4426.49,-763.239,-526.409,4422.3,-785.477,-518.925,4418.5,-821.624,-551.985,4424.92,-795.788,-555.467,4410.54,-822.279,-554.392,4408.12,-852.508,-536.637,4400.32,-885.951,-522.352,4413.33,-906.765,-558.194,4435.45,-1150.37,-640.66,4304.28,-1378.43,-749.965,4267.44,-1387.81,-937.354,4296.42,-771.583,-944.778,4355.09,-727.397,-949.499,4344.34,-736.777,-954.044,4333.82,-746.508,-962.774,4313.28,-766.651,-932.259,4337.86,-697.574,-938.94,4326.9,-706.268,-946.596,4313.08,-728.327,-950.024,4304.43,-761.948,-922.808,4307.43,-677.181,-928.471,4300.75,-690.558,-934.673,4294.91,-717.211,-937.398,4295.52,-754.683,-909.015,4278.19,-680.546,-912.903,4278.98,-696.555,-917.949,4281.39,-720.654,-924.314,4286.81,-756.808,-862.7,4288.91,-743.261,-879.73,4297.84,-766.364,-888.642,4300.8,-794.919,-911.472,4292.22,-824.542,-933.973,4297.97,-840.889,-988.044,4325.2,-1080.58,-936.646,4261.44,-1343.85,-826.552,4255.61,-1379.04,-769.815,4180.34,-1645.89,-784.608,4228.16,-1491.3,-793.771,4269.69,-1422.1,-797.446,4330.12,-1371.14,-789.807,4375.68,-1243.07,-781.507,4394.99,-1153.62,-772.903,4408.09,-1078.15,-767.487,4461.93,-988.567,-755.685,4449.45,-926.795,
120,-705.104,4621.54,-56.3864,-725.335,4678.45,-100.238,-757.935,4765.78,-188.597,-708.945,4605.15,-541.997,-663.431,4455.1,-909.111,-908.715,4494.6,-4.37833,-882.631,4547.44,-50.1913,-838.632,4624.32,-143.202,-845.696,4429.39,-482.387,-837.334,4431.58,-881.492,-514.743,4429.79,-840.376,-541.583,4488.22,-812.187,-528.436,4481.2,-814.155,-517.549,4473.41,-820.998,-503.132,4458.34,-842.649,-552.878,4477.22,-789.038,-538.627,4471.15,-789.734,-519.215,4458.86,-804.165,-508.413,4445.37,-834.468,-557.399,4460.58,-765.063,-543.959,4454.48,-771.215,-526.254,4444.27,-790.329,-513.446,4433.01,-823.811,-556.14,4433.01,-756.047,-544.732,4428.93,-767.237,-531.729,4423.91,-787.674,-519.391,4418.4,-822.236,-556.988,4421.8,-796.408,-558.158,4409.36,-824.061,-555.504,4407.37,-854.224,-536.024,4400.07,-886.809,-521.473,4413.13,-907.414,-557.892,4435.35,-1150.92,-639.962,4301.23,-1377.4,-749.914,4266.36,-1386.75,-936.387,4297.37,-771.306,-944.617,4354.88,-726.079,-949.025,4344.52,-736.039,-953.422,4334.18,-746.022,-962.191,4313.53,-766.035,-929.754,4340.76,-698.161,-936.213,4329.8,-707.023,-944.197,4315.43,-728.613,-949.198,4304.94,-761.507,-917.947,4313.22,-678.828,-924.23,4305.45,-691.312,-931.736,4297.78,-717.153,-936.314,4296.26,-754.418,-903.499,4284.41,-681.047,-908.348,4283.95,-696.804,-914.757,4284.69,-720.688,-923.03,4287.92,-756.718,-862.376,4293.81,-742.505,-878.828,4301.39,-766.491,-887.956,4303.88,-795.023,-910.707,4294.46,-824.449,-933.436,4299.84,-840.606,-988.881,4324.73,-1080.24,-936.821,4263.25,-1343.92,-826.711,4255.44,-1378.66,-769.632,4180.01,-1645.36,-784.39,4227.63,-1490.71,-793.358,4269.16,-1421.49,-796.803,4329.6,-1370.52,-789.782,4375.11,-1242.39,-781.888,4394.44,-1152.92,-773.489,4407.63,-1077.44,-767.618,4461.82,-988.095,-756.128,4449.5,-926.232,
140,-704.483,4621.67,-56.6739,-724.904,4678.57,-100.45,-757.822,4766.01,-188.58,-708.329,4604.12,-541.331,-663.469,4454.92,-908.872,-908.431,4493.83,-4.4928,-882.542,4547.02,-50.0137,-839.202,4624.33,-142.971,-844.982,4428.87,-481.874,-837.554,4433.14,-880.981,-514.389,4428.92,-840.597,-540.793,4488.41,-813.59,-528.013,4480.79,-815.713,-517.153,4472.64,-822.163,-501.454,4456.93,-842.422,-554.382,4478.08,-792.165,-540.352,4471.48,-792.392,-520.469,4458.48,-805.498,-507.349,4444.09,-834.446,-561.062,4462.1,-769.45,-547.499,4455.51,-774.772,-528.683,4444.41,-792.258,-512.97,4431.82,-823.984,-563.001,4436.5,-761.786,-550.571,4431.58,-771.446,-535.55,4425.17,-790.028,-519.594,4417.48,-822.638,-561.742,4419.16,-796.478,-561.002,4410.13,-825.44,-557.339,4408.45,-855.516,-536.962,4400.94,-887.498,-521.785,4413.61,-907.888,-558.275,4435.68,-1151.4,-639.34,4299.13,-1376.8,-749.752,4265.73,-1386.06,-935.9,4297.79,-771.659,-945.595,4353.89,-725.087,-949.62,4343.91,-735.584,-953.708,4333.83,-745.959,-962.013,4313.47,-766.465,-929.386,4342.43,-698.603,-935.361,4331.78,-708.153,-943.098,4317.25,-729.724,-948.9,4305.09,-761.901,-915.513,4318.23,-680.632,-921.886,4309.94,-692.73,-929.96,4300.81,-717.915,-935.909,4296.6,-754.778,-899.9,4291.91,-682.228,-905.403,4289.93,-697.649,-912.779,4288.45,-721.217,-922.468,4288.5,-757.038,-863.628,4297.66,-741.101,-878.459,4303.6,-766.562,-887.536,4305.74,-795.138,-909.852,4295.6,-824.658,-932.573,4300.67,-840.926,-989.851,4323.86,-1080.3,-936.837,4264.44,-1344.26,-826.662,4255.26,-1378.46,-769.797,4180.48,-1645.34,-784.204,4227.57,-1490.49,-792.945,4268.91,-1421.13,-796.355,4329.23,-1370.02,-789.842,4374.5,-1241.78,-782.214,4393.85,-1152.28,-773.883,4407.17,-1076.83,-767.64,4461.93,-987.852,-756.221,4450,-925.902,
160,-702.822,4622.48,-57.4023,-723.863,4679.3,-100.978,-757.827,4766.77,-188.684,-707.895,4603.47,-540.726,-663.203,4456.09,-909.022,-907.144,4493.29,-4.64236,-881.68,4546.85,-49.9651,-839.418,4624.46,-143.167,-844.948,4428.2,-481.608,-837.293,4434.96,-880.676,-514.655,4428.88,-840.947,-543.029,4488.52,-814.771,-530.454,4480.79,-817.623,-519.427,4472.73,-823.9,-501.857,4456.96,-842.51,-558.404,4478.41,-794.832,-544.385,4471.8,-795.269,-523.828,4458.94,-807.453,-507.82,4444.08,-834.655,-566.295,4462.73,-773.822,-552.504,4456.25,-778.667,-532.455,4445.09,-794.686,-513.559,4431.77,-824.308,-570.233,4439.64,-768.771,-556.81,4434.34,-776.755,-539.78,4426.99,-793.124,-520.12,4417.39,-823.096,-567.141,4415.63,-797.904,-563.248,4410.37,-827.536,-558.21,4408.23,-857.383,-536.193,4400.81,-888.28,-520.72,4413.59,-908.376,-558.714,4435.87,-1151.64,-638.781,4297.73,-1376.42,-749.474,4265.22,-1385.5,-935.543,4298.66,-771.689,-945.164,4353.63,-723.687,-949.132,4344.04,-734.565,-953.191,4334.32,-745.285,-961.485,4314.59,-766.405,-927.967,4344.18,-698.572,-933.696,4334.07,-708.831,-941.532,4319.67,-730.456,-948.387,4306.16,-761.881,-912.291,4323.33,-682.193,-918.791,4315.03,-694.216,-927.593,4304.85,-718.747,-935.387,4297.66,-754.795,-895.617,4300.96,-684.395,-901.924,4297.31,-699.188,-910.516,4293.27,-722.034,-922.031,4289.43,-757.102,-865.154,4300.3,-740.438,-878.141,4304.48,-767.223,-887.506,4306.23,-795.733,-910.062,4295.67,-824.923,-932.912,4300.73,-841.014,-991.181,4322.49,-1080.28,-936.661,4264.85,-1344.33,-826.425,4254.9,-1378.12,-770.417,4180.57,-1645.24,-784.124,4227.32,-1490.23,-792.553,4268.55,-1420.75,-795.991,4328.8,-1369.57,-789.742,4374.01,-1241.29,-782.225,4393.53,-1151.82,-773.882,4407.14,-1076.42,-767.476,4462.62,-987.908,-755.991,4451.23,-925.869,
180,-700.436,4623.23,-58.5195,-722.301,4680.04,-101.71,-757.667,4767.66,-188.706,-707.903,4603.43,-540.336,-663.013,4457.13,-909.038,-906.612,4493.33,-4.91319,-881.295,4547.11,-50.0522,-839.632,4624.79,-143.475,-844.806,4427.51,-481.334,-837.133,4436.7,-880.354,-515.126,4428.95,-841.224,-544.074,4488.76,-814.459,-531.932,4480.91,-818.562,-521.04,4472.9,-825.131,-502.49,4457.11,-842.75,-560.726,4478.84,-795.367,-546.833,4472.1,-796.77,-526.226,4459.37,-808.989,-508.459,4444.22,-834.914,-569.321,4463.29,-776.068,-555.573,4456.86,-781.098,-535.053,4445.69,-796.503,-514.234,4431.91,-824.585,-575.094,4442.68,-774.575,-561.158,4437.02,-781.339,-542.91,4428.82,-795.892,-520.717,4417.49,-823.393,-571.309,4412.85,-799.418,-564.907,4411.36,-829.043,-559.062,4408.22,-858.653,-535.957,4400.57,-888.688,-520.343,4413.38,-908.659,-559.095,4436.16,-1151.76,-638.332,4296.96,-1376.17,-749.133,4264.73,-1384.94,-935.411,4299.55,-771.647,-945.01,4353.25,-722.031,-948.914,4344.09,-733.294,-952.904,4334.8,-744.421,-961.055,4315.97,-766.394,-927.337,4345.2,-698.067,-932.828,4335.65,-708.972,-940.615,4321.6,-730.842,-948.033,4307.44,-761.849,-910.13,4327.44,-683.313,-916.569,4319.41,-695.546,-925.793,4308.6,-719.653,-935.082,4298.88,-754.74,-892.12,4310.07,-687.432,-899.131,4304.75,-701.38,-908.782,4298.16,-723.184,-921.875,4290.41,-757.03,-867.22,4302.29,-739.86,-878.177,4304.62,-767.753,-887.682,4305.94,-796.239,-910.569,4295.16,-825.086,-933.52,4300.25,-841.024,-992.249,4321.11,-1080.26,-936.409,4265.31,-1344.43,-826.115,4254.5,-1377.75,-770.784,4180.75,-1645.13,-783.93,4227.12,-1489.95,-792.115,4268.2,-1420.36,-795.61,4328.36,-1369.07,-789.616,4373.45,-1240.74,-782.213,4393.11,-1151.29,-773.876,4406.99,-1075.94,-767.338,4463.2,-987.893,-755.828,4452.34,-925.762,
