Timestamps [ms],RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHandPinkyEE,,,RightHandPinky3,,,RightHandPinky2,,,RightHandPinky1,,,RightHandRingEE,,,RightHandRing3,,,RightHandRing2,,,RightHandRing1,,,RightHandMiddleEE,,,RightHandMiddle3,,,RightHandMiddle2,,,RightHandMiddle1,,,RightHandIndexEE,,,RightHandIndex3,,,RightHandIndex2,,,RightHandIndex1,,,RightHandThumbEE,,,RightHandThumb3,,,RightHandThumb2,,,RightHandThumb1,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHandPinkyEE,,,LeftHandPinky3,,,LeftHandPinky2,,,LeftHandPinky1,,,LeftHandRingEE,,,LeftHandRing3,,,LeftHandRing2,,,LeftHandRing1,,,LeftHandMiddleEE,,,LeftHandMiddle3,,,LeftHandMiddle2,,,LeftHandMiddle1,,,LeftHandIndexEE,,,LeftHandIndex3,,,LeftHandIndex2,,,LeftHandIndex1,,,LeftHandThumbEE,,,LeftHandThumb3,,,LeftHandThumb2,,,LeftHandThumb1,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
0,463.464,2174.87,873.973,470.143,2100.61,877.376,479.84,1973.01,866.363,415.61,1887.21,490.057,353.191,1766.78,114.609,711.138,2243.8,845.335,667.791,2183.39,838.756,594.046,2082.33,809.711,598.569,2014.06,424.467,530.771,1765.79,119.299,225.956,1880.12,145.807,226.798,1869.46,219.23,221.82,1867.68,205.159,217.213,1865.56,191.007,208.749,1860.69,162.574,231.713,1899.62,231.961,227.418,1895.64,217.604,221.959,1887.07,192.447,217.651,1874.06,160.362,235.008,1922.31,233.334,230.401,1917.84,218.689,226.374,1906.94,193.237,226.563,1888.63,160.422,244.062,1938.95,217.646,238.775,1933.02,203.191,234.903,1920.95,181.951,235.435,1898.84,152.149,263.55,1899.45,179.114,266.912,1892.44,149.78,264.686,1877.76,123.32,245.421,1867.02,91.5693,225.652,1847.97,84.2942,225.471,1674.77,-92.1104,295.838,1592.12,-345.557,407.512,1595.86,-375.678,679.541,1915.36,120.357,688.751,1900.96,188.927,696.74,1906.29,177.361,701.398,1907.17,163.096,702.482,1899.77,133.978,701.191,1946.34,199.012,703.692,1943.35,184.006,701.992,1932.36,159.255,692.207,1912.23,132.493,702.531,1980.28,190.263,700.055,1970.71,177.693,693.679,1952.47,157.454,682.479,1926.26,132.965,684.494,1991.6,178.143,681.918,1979.8,166.908,677.674,1961.85,150.423,670.742,1934.55,126.263,614.03,1959.93,136.812,622.838,1934.81,122.843,628.156,1910.87,105.468,646.35,1892.33,77.2296,664.712,1873.02,67.3996,674.682,1689.94,-98.4372,597.174,1594.74,-345.31,485.502,1595.53,-375.662,410.927,1502.7,-632.058,435.889,1556.46,-480.766,446.285,1564.76,-400.642,446.297,1549.07,-323.079,446.466,1594.56,-194.751,446.098,1636.62,-113.065,445.304,1674.99,-46.2194,443.139,1690.94,57.1972,442.367,1741.17,97.0352,
20,467.452,2174.52,874.779,472.903,2100.15,878.017,480.472,1972.44,866.626,415.572,1886.14,490.55,353.439,1769.51,113.859,710.269,2244.94,844.521,667.226,2184.27,838.345,594.043,2082.62,809.921,598.583,2014.27,424.693,531.009,1767.22,118.493,225.638,1880.78,145.422,226.79,1866.25,218.174,220.929,1866.04,204.333,215.974,1864.98,190.181,207.945,1861.17,161.461,233.499,1895.5,231.732,227.609,1893.45,217.536,220.853,1886.79,192.116,217.001,1874.51,159.69,237.929,1920.3,233.425,232.301,1916.75,218.885,226.927,1906.8,193.291,226.033,1888.99,160.215,245.655,1938.73,218.031,240.145,1932.95,203.599,235.729,1921.1,182.336,235.15,1899.28,152.321,262.552,1899.03,179.647,266.857,1893.14,150.191,264.713,1878.55,123.674,246.045,1868.59,91.3185,226.26,1849.87,83.2818,224.872,1675.09,-91.5502,296.053,1594.03,-345.285,407.6,1596.61,-375.996,678.93,1914.55,120.502,686.301,1898.23,190.311,693.83,1902.79,178.125,698.548,1903.79,163.888,701.325,1898.45,134.432,696.515,1942.38,200.668,700.245,1940.38,185.752,700.095,1930.51,160.476,691.34,1911.13,132.822,698.873,1978.39,192.226,697.306,1969.23,179.216,692.098,1951.38,158.306,681.907,1925.36,133.18,682.832,1991.7,177.732,680.559,1979.74,166.597,676.753,1961.56,150.261,670.453,1933.91,126.32,613.683,1960.19,135.876,622.917,1934.81,122.688,627.678,1911.04,104.916,645.918,1892.32,76.8198,664.012,1872.65,67.2232,673.35,1689.12,-98.1457,597.23,1593.5,-345.289,485.585,1595.74,-375.667,411.063,1502.58,-632.016,436.026,1556.69,-480.849,446.273,1565.17,-400.725,445.85,1549.68,-323.123,445.821,1595.5,-194.911,445.513,1637.81,-113.351,444.891,1676.39,-46.6324,442.8,1692.77,56.72,442.416,1743.16,96.3573,
40,470.998,2174.18,875.442,475.231,2099.72,878.499,480.725,1971.94,866.728,416.193,1884.92,490.755,353.353,1772.96,112.764,709.972,2245.77,843.942,667.101,2184.92,838.421,594.296,2082.76,810.862,598.544,2014.28,425.654,530.875,1768.98,118.063,225.769,1881.17,144.685,229.811,1861.6,215.727,222.37,1863.34,202.782,216.535,1863.54,188.93,208.376,1860.82,160.123,238.041,1889.38,230.044,229.95,1889.79,216.823,221.034,1885.62,191.539,217.182,1874.37,158.741,243.037,1916.22,232.973,235.788,1914.1,218.88,228.319,1905.74,193.241,225.932,1889.01,159.683,248.666,1937.5,218.13,242.428,1932.12,203.839,236.948,1920.81,182.531,234.888,1899.67,152.103,262.388,1899.42,179.2,267.232,1894.85,149.596,265.044,1880.31,123.049,246.677,1870.76,90.4017,227.297,1851.87,81.7838,224.709,1675.06,-90.9829,296.511,1597.04,-345.495,408.04,1598.05,-376.361,678.482,1914.29,120.824,686.869,1897.58,191.643,693.21,1901.15,178.488,697.454,1902.06,164.097,701.262,1898.5,134.489,693.472,1940.28,201.379,698.02,1939.22,186.594,699.024,1930.24,161.007,691.198,1911.12,132.897,695.583,1978.1,193.051,695.004,1969.38,179.66,690.998,1951.71,158.334,681.728,1925.33,133.232,681.042,1993.35,176.097,679.103,1981.03,165.296,675.756,1962.27,149.517,670.082,1933.72,126.502,612.95,1959.34,137.028,622.838,1933.73,124.798,626.805,1910.06,106.696,644.496,1891.19,78.3564,662.419,1871.4,68.6728,672.076,1688.16,-97.0032,597.236,1591.2,-344.017,486.002,1596.08,-375.571,411.328,1502.78,-631.903,436.394,1557.29,-480.896,446.411,1565.98,-400.766,445.319,1550.77,-323.117,445.187,1596.99,-195.052,445,1639.57,-113.636,444.511,1678.39,-47.0525,442.182,1695.17,56.2319,442.136,1745.7,95.6863,
60,474.865,2173.83,876.033,477.714,2099.3,878.873,480.862,1971.48,866.723,416.672,1884.23,490.743,353.254,1776.19,111.712,710.567,2246.01,843.667,667.614,2185.16,838.875,594.841,2082.75,812.171,598.771,2014.46,426.926,530.695,1770.7,118.21,226.52,1881.39,144.627,234.359,1857.82,213.121,225.131,1861.63,201.883,218.042,1863.09,188.709,209.007,1861.17,160.1,245.088,1883.64,227.163,234.796,1886.66,215.969,222.965,1885.12,191.598,217.928,1874.65,158.706,251.571,1911.65,231.612,242.354,1911.32,218.551,231.911,1904.89,193.398,226.812,1889.2,159.638,256.026,1935.65,217.414,248.399,1930.96,203.562,240.839,1920.35,182.53,235.834,1899.8,152.041,264.504,1899.78,178.458,269.094,1895.39,148.786,266.019,1880.33,122.62,247.122,1870.89,90.2455,227.54,1852.19,81.6721,223.736,1675.78,-91.4886,296.97,1600.86,-346.52,408.763,1599.73,-376.411,677.11,1913.91,121.503,684.523,1896.39,192.895,690.077,1898.96,179.164,694.289,1899.83,164.76,699.837,1898.13,135.261,687.448,1936.75,203.091,693.022,1936.68,188.622,695.781,1928.98,162.751,689.824,1910.78,133.587,689.454,1975.66,195.923,690.389,1967.96,181.945,688.249,1951.16,159.666,680.413,1925.03,133.828,677.033,1993.62,176.456,675.773,1981.26,165.607,673.319,1962.34,149.857,668.796,1933.42,127.048,611.337,1958.29,137.953,621.887,1932.63,126.388,625.266,1909.37,107.648,642.992,1890.65,79.2311,660.825,1870.71,69.6753,671.412,1687.21,-95.6426,597.414,1589.08,-342.45,486.678,1596.51,-375.235,411.555,1503.35,-631.572,436.867,1558.14,-480.706,446.708,1566.98,-400.57,445.01,1551.96,-322.893,445.003,1598.44,-194.921,444.999,1641.23,-113.613,444.576,1680.25,-47.1456,441.78,1697.42,56.0622,441.91,1748.1,95.328,
80,477.873,2174.31,876.025,479.557,2099.74,878.766,480.755,1971.89,866.493,417.312,1884.45,490.432,353.324,1778.93,110.786,711.369,2246.67,843.163,668.242,2185.88,839.148,595.405,2083.3,813.304,598.868,2015.21,428.019,530.629,1771.75,119.102,226.748,1882.09,144.313,238.601,1855.44,209.706,227.992,1860.96,200.596,219.646,1863.52,188.359,209.225,1862.2,160.19,251.59,1879.2,222.764,239.804,1884.42,214.146,225.158,1885.31,191.321,218.204,1875.6,158.541,259.735,1907.4,228.727,248.843,1908.82,217.107,235.433,1904.46,192.937,227.165,1890.12,159.202,263.824,1933.56,215.431,254.653,1929.74,202.265,244.696,1920.12,181.764,236.195,1900.56,151.394,267.281,1901.67,176.834,270.962,1896.49,147.161,266.778,1880.57,121.67,246.98,1870.66,89.9792,227.256,1851.93,81.8024,222.782,1676.14,-91.9615,297.579,1605.56,-347.779,409.611,1601.38,-376.481,675.204,1913.04,122.804,678.49,1894.55,194.376,684.048,1896.23,180.511,688.89,1897.02,166.302,697.084,1896.81,137.377,678.114,1931.98,205.613,684.982,1932.65,191.728,690.251,1926.3,165.878,687.384,1909.65,135.358,680.223,1970.85,200.373,683.273,1964.6,185.975,683.865,1949.3,162.553,678.241,1924.07,135.28,670.944,1991.92,179.138,670.793,1979.9,167.855,669.773,1961.31,151.553,667.053,1932.7,128.084,609.41,1957.24,137.974,620.314,1931.6,126.69,623.65,1908.96,107.202,642.299,1890.53,79.189,660.106,1870.28,70.2648,671.207,1686.65,-94.8872,597.708,1587.03,-341.242,487.443,1596.64,-375.032,411.422,1502.96,-631.004,437.2,1558.49,-480.487,446.941,1567.72,-400.383,444.743,1553.14,-322.634,445.23,1600.18,-194.867,445.552,1643.21,-113.682,445.187,1682.35,-47.2859,441.668,1699.41,55.9164,441.874,1750.03,95.268,
100,480.378,2174.51,876.026,481.101,2099.93,878.754,480.695,1972.07,866.533,417.815,1885.06,490.276,353.612,1781.1,110.237,712.363,2246.78,842.741,668.993,2186.13,839.39,596.021,2083.47,814.219,598.727,2015.96,428.826,530.717,1771.74,120.453,226.539,1883.25,143.121,240.158,1853.72,205.754,229.054,1860.48,198.205,220.028,1864.02,186.719,208.539,1863.74,158.939,254.932,1875.34,218.026,242.672,1882.18,211.446,226.334,1885.37,190.019,217.657,1877.05,157.269,264.775,1902.75,225.421,253.025,1905.75,214.998,237.64,1903.69,191.716,226.718,1891.51,157.89,269.862,1929.81,213.447,259.528,1927.23,200.853,247.601,1919.26,180.697,235.988,1901.75,150.109,270.166,1904.18,175.166,272.891,1897.56,145.677,268.005,1880.98,120.734,247.78,1870.83,89.3933,228.078,1852.12,81.1027,222.288,1675.89,-92.1767,297.981,1610.48,-349.099,410.203,1603.01,-376.357,673.835,1912.21,124.228,674.285,1894.05,195.78,679.879,1894.97,181.858,685.198,1895.56,167.811,695.28,1896.03,139.492,670.405,1928.53,207.552,678.033,1929.52,194.089,685.3,1924.11,168.511,685.655,1908.87,137.135,671.066,1966.17,203.76,676.076,1961.36,189.356,679.488,1947.6,165.234,676.535,1923.3,136.725,663.825,1989.41,182.218,665.069,1977.91,170.461,665.893,1959.92,153.504,665.563,1931.9,129.173,607.68,1955.04,139.1,618.739,1929.65,127.409,622.519,1907.47,107.474,642.137,1889.49,79.8284,660.162,1869.18,71.5128,671.367,1686.75,-94.9538,597.851,1585.13,-340.487,487.937,1596.9,-374.732,411.329,1503.01,-630.486,437.345,1559.07,-480.209,446.938,1568.57,-400.118,444.366,1554.29,-322.328,445.417,1601.6,-194.666,446.091,1644.7,-113.522,445.831,1683.84,-47.129,441.581,1700.68,56.0837,441.97,1751.18,95.591,
120,481.165,2174.28,876.124,481.564,2099.69,878.871,480.614,1971.82,866.84,417.993,1885.7,490.337,354.365,1782.35,110.032,713.348,2246.47,842.151,669.735,2185.96,839.392,596.624,2083.26,814.811,597.764,2016.47,429.284,531.24,1770.74,121.792,226.707,1882.92,142.637,243.601,1849.92,202.251,232.215,1857.39,195.884,222.47,1861.82,185.331,208.801,1863.44,158.603,260.309,1869.36,213.533,247.831,1877.2,208.718,229.775,1882.55,189.182,217.981,1876.7,156.875,271.872,1895.29,221.67,259.389,1899.57,212.643,241.832,1900.03,190.859,227.144,1891.1,157.444,278.133,1921.61,211.148,266.426,1920.75,199.563,252.05,1915.3,180.179,236.371,1901.33,149.588,275.596,1904.78,172.863,275.489,1896.62,143.636,268.996,1880.19,118.966,247.119,1870.64,88.5562,227.184,1852.11,80.4449,221.939,1675.7,-92.6773,298.14,1613.56,-350.26,410.549,1604.48,-376.224,672.731,1911.93,125.016,674.368,1895.06,196.663,679.487,1895.42,182.534,684.587,1895.75,168.398,694.751,1896.38,140.111,667.258,1926.69,208.855,674.647,1927.63,195.256,682.419,1922.83,169.706,684.807,1908.98,137.779,664.846,1962.15,206.006,670.826,1958.54,191.624,676.023,1946.28,167.01,675.361,1923.2,137.371,657.043,1985.95,185.606,659.53,1975.28,173.278,662.074,1958.3,155.469,664.091,1931.48,129.904,606.382,1951.96,142.777,617.057,1927.18,129.533,621.153,1905.31,109.322,640.914,1888.1,81.2921,659.269,1868.12,72.8982,672.33,1687.09,-94.9611,597.605,1583.7,-339.387,488.183,1597.22,-374.551,411.302,1503.62,-630.298,437.338,1559.88,-480.095,446.749,1569.46,-399.993,443.954,1555.23,-322.2,445.619,1602.44,-194.51,446.683,1645.43,-113.312,446.603,1684.47,-46.854,441.802,1701.02,56.3807,442.469,1751.37,96.0681,
140,480.494,2174.16,875.968,481.089,2099.58,878.772,480.455,1971.68,866.999,417.728,1887.03,490.179,354.476,1782.62,110.104,713.23,2247.04,841.564,669.77,2186.4,839.257,597.204,2083.24,815.017,597.265,2017.36,429.332,531.179,1769.85,123.177,226.528,1883.52,141.904,242.592,1849.12,201.267,231.672,1856.84,194.409,222.091,1861.78,183.929,207.533,1865.07,157.833,261.113,1866.4,211.702,249.034,1874.86,206.922,230.876,1881.68,187.947,217.243,1877.94,156.052,274.424,1890.48,219.354,262.053,1895.67,210.653,243.861,1898.09,189.53,226.925,1892,156.544,283.133,1913.67,209.124,270.85,1914.64,198.161,255.109,1911.91,179.274,236.712,1901.7,148.703,280.759,1905.44,171.277,277.858,1894.45,143.141,270.334,1878.1,118.709,247.729,1869.32,88.6021,227.306,1851.37,80.3963,222.167,1675.07,-92.8317,298.096,1615.64,-351.136,410.634,1605.41,-376.094,672.116,1911.53,124.993,675.678,1896.15,196.828,680.264,1896,182.513,684.952,1895.98,168.231,694.531,1896.2,139.735,666.465,1925.27,209.562,673.219,1925.69,195.612,680.792,1921.09,169.966,684.43,1908.71,137.556,661.118,1957.97,207.71,667.357,1954.96,193.299,673.523,1944.04,168.282,674.844,1922.83,137.292,651.727,1980.62,189.33,655.234,1971.12,176.317,659.25,1955.71,157.382,663.374,1931,130.005,606.931,1949.64,146.34,616.196,1925.59,130.868,620.316,1903.97,110.399,639.804,1887.35,81.8273,658.205,1867.53,73.1486,673.449,1687.44,-95.5242,597.304,1582.6,-338.896,488.205,1597.49,-374.507,411.36,1503.25,-629.978,437.206,1560.11,-479.974,446.459,1569.98,-399.887,443.677,1555.93,-322.06,445.903,1603.26,-194.421,447.223,1646.18,-113.19,447.174,1685.08,-46.6529,441.832,1701.08,56.6425,442.496,1751.18,96.6413,
160,478.608,2173.56,875.863,479.847,2098.99,878.795,480.276,1971.06,867.399,417.541,1888,490.225,353.935,1781.73,110.726,712.089,2247.69,841.068,668.984,2186.79,839.163,597.354,2082.96,814.956,597.422,2018.03,429.11,530.565,1768.76,124.557,226.744,1883.27,141.613,244.551,1847.72,200.49,233.746,1855.01,193.008,224.01,1860.03,182.714,207.901,1864.89,157.799,264.529,1863.44,209.971,252.432,1871.78,205.02,233.725,1879.23,186.833,217.669,1877.7,155.9,278.692,1885.93,216.529,266.147,1891.4,208.258,246.993,1895.09,188.195,227.458,1891.68,156.278,288.385,1905.11,205.936,275.474,1907.66,195.996,258.327,1907.52,178.163,237.174,1901.35,148.305,286.543,1905.74,168.106,279.663,1892.38,141.743,270.951,1876.88,117.153,246.904,1869.14,87.8896,226.214,1851.37,79.9718,222.512,1674.66,-92.8797,297.927,1617.07,-351.749,410.562,1606.22,-375.997,671.574,1910.97,125.509,675.524,1897.32,197.733,679.912,1896.66,183.371,684.442,1896.17,169.046,693.779,1895.55,140.476,664.71,1924.37,210.65,671.004,1924.02,196.484,678.635,1919.26,170.884,683.699,1908.06,138.237,656.646,1954.08,209.634,663.02,1951.09,195.279,670.218,1941.16,170.126,674.102,1922.18,137.933,645.258,1973.71,193.259,650.006,1965.62,179.694,655.871,1952.24,159.734,662.734,1930.39,130.533,607.906,1947.69,148.574,615.596,1924.62,130.905,620.091,1903.25,110.247,639.951,1887.08,81.6753,658.505,1867.35,73.1296,675.04,1688.11,-96.3398,597.032,1582.3,-338.696,488.107,1598.03,-374.479,411.951,1503.07,-629.821,437.222,1560.48,-479.924,446.216,1570.58,-399.837,443.489,1556.62,-321.992,445.984,1603.94,-194.355,447.371,1646.7,-113.037,447.24,1685.36,-46.3605,441.512,1700.58,57.0319,442.004,1750.35,97.4382,
180,475.978,2172.94,875.404,478.07,2098.4,878.648,479.919,1970.43,867.941,417.616,1888.27,490.499,353.519,1781,111.362,711.528,2247.64,840.867,668.541,2186.64,839.251,597.443,2082.48,814.929,597.479,2018.74,428.883,530.068,1767.71,125.904,227.141,1882.92,141.46,245.55,1847.45,200.917,235.009,1853.96,192.4,225.348,1858.72,181.916,208.443,1864.46,157.727,266.591,1862.17,209.904,254.505,1869.98,204.129,235.718,1877.34,185.986,218.216,1877.26,155.808,281.157,1883.33,215.24,268.615,1888.63,206.858,249.097,1892.83,187.252,228.036,1891.23,156.174,291.547,1897.99,203.518,278.4,1901.7,194.278,260.534,1903.63,177.275,237.683,1900.93,148.161,290.964,1905.76,165.299,280.822,1890.27,141.256,271.591,1875.88,116.189,246.67,1869.13,87.4169,225.856,1851.45,79.6075,222.797,1674.27,-92.7723,297.702,1617.91,-352.06,410.424,1607.01,-375.883,671.253,1910.36,126.104,675.701,1898.66,198.769,679.875,1897.46,184.379,684.181,1896.42,170.015,693.057,1894.65,141.345,663.948,1924.1,211.668,669.794,1922.99,197.349,677.265,1917.84,171.779,683.078,1907.23,139.058,653.481,1950.92,211.305,659.707,1947.62,196.952,667.512,1938.3,171.748,673.543,1921.39,138.738,639.41,1966.02,196.572,645.331,1959.49,182.63,652.94,1948.37,161.886,662.376,1929.75,131.202,609.537,1946.03,150.341,615.524,1924.18,130.581,620.251,1903.1,109.682,640.531,1887.22,81.2406,659.198,1867.54,72.835,676.381,1688.87,-97.1619,596.672,1581.96,-338.485,487.949,1598.63,-374.458,412.281,1502.92,-629.608,437.12,1560.85,-479.843,445.928,1571.19,-399.767,443.292,1557.36,-321.897,446.069,1604.73,-194.284,447.53,1647.34,-112.89,447.338,1685.77,-46.0818,441.251,1700.2,57.4039,441.613,1749.64,98.2232,
