Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHandPinkyEE,,RightHandPinky3,,RightHandPinky2,,RightHandPinky1,,RightHandRingEE,,RightHandRing3,,RightHandRing2,,RightHandRing1,,RightHandMiddleEE,,RightHandMiddle3,,RightHandMiddle2,,RightHandMiddle1,,RightHandIndexEE,,RightHandIndex3,,RightHandIndex2,,RightHandIndex1,,RightHandThumbEE,,RightHandThumb3,,RightHandThumb2,,RightHandThumb1,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHandPinkyEE,,LeftHandPinky3,,LeftHandPinky2,,LeftHandPinky1,,LeftHandRingEE,,LeftHandRing3,,LeftHandRing2,,LeftHandRing1,,LeftHandMiddleEE,,LeftHandMiddle3,,LeftHandMiddle2,,LeftHandMiddle1,,LeftHandIndexEE,,LeftHandIndex3,,LeftHandIndex2,,LeftHandIndex1,,LeftHandThumbEE,,LeftHandThumb3,,LeftHandThumb2,,LeftHandThumb1,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.687327,0.422292,0.702745,0.420528,0.729,0.414388,0.727788,0.338015,0.734258,0.256,0.680324,0.450705,0.691448,0.441336,0.708741,0.422751,0.705739,0.349815,0.744891,0.269267,0.705418,0.260189,0.710894,0.273097,0.71043,0.27011,0.710046,0.267115,0.709438,0.261111,0.705476,0.277356,0.705478,0.274252,0.705896,0.268855,0.706966,0.262004,0.701032,0.27904,0.701108,0.275839,0.70204,0.270364,0.704341,0.263383,0.697285,0.277709,0.697639,0.274409,0.699003,0.26963,0.702229,0.262993,0.704473,0.269839,0.704748,0.264239,0.706531,0.258336,0.706526,0.250581,0.70933,0.246946,0.738507,0.202652,0.750127,0.147375,0.755068,0.144276,0.717689,0.290591,0.725143,0.305002,0.723716,0.303615,0.723042,0.301075,0.723447,0.294518,0.715323,0.310982,0.715414,0.30789,0.716732,0.301852,0.719751,0.294073,0.706753,0.311303,0.708286,0.307875,0.711326,0.301947,0.71584,0.29419,0.702543,0.307794,0.704657,0.304518,0.707901,0.299614,0.712882,0.292269,0.704596,0.291211,0.710232,0.287537,0.715318,0.282883,0.719313,0.277236,0.72453,0.275385,0.763175,0.226869,0.770424,0.157584,0.760513,0.146631,0.766688,0.0766433,0.761917,0.117663,0.764263,0.137305,0.771651,0.153967,0.766188,0.186041,0.75965,0.206688,0.753469,0.223406,0.754165,0.24578,0.744283,0.256929,0.732041,0.106393,0.742064,0.0994029,0.737341,0.100765,0.766476,0.103079,0.751876,0.106642,0.716492,0.436003,0.70798,0.432866,0.728542,0.422654,0.729932,0.42862,0.697255,0.448375,0.688956,0.444965,0.702466,0.4226,0.70339,0.428501,0.68535,0.455695,0.677186,0.452119,0.687073,0.4223,0.687727,0.428156,0.770424,0.157584,0.763175,0.226869,0.72453,0.275385,0.750127,0.147375,0.738507,0.202652,0.70933,0.246946,0.744891,0.269267,0.705739,0.349815,0.708741,0.422751,0.691448,0.441336,0.734258,0.256,0.727788,0.338015,0.729,0.414388,0.702745,0.420528,
20,0.687573,0.422863,0.702978,0.42093,0.729161,0.414479,0.728036,0.338047,0.733638,0.25603,0.680005,0.450496,0.691216,0.44123,0.708686,0.4228,0.705704,0.349871,0.744534,0.269206,0.705252,0.260134,0.711507,0.272732,0.710692,0.269813,0.710077,0.266852,0.709256,0.260883,0.706385,0.277216,0.705931,0.274134,0.705892,0.268707,0.706817,0.261864,0.701565,0.27915,0.701415,0.275945,0.702093,0.270403,0.704236,0.263331,0.697409,0.277876,0.697726,0.274571,0.699021,0.269763,0.702133,0.263031,0.704543,0.269848,0.704618,0.264351,0.706383,0.258449,0.706212,0.250661,0.708916,0.246901,0.73843,0.202755,0.749709,0.147576,0.754878,0.144262,0.71786,0.29052,0.725737,0.304905,0.724444,0.303301,0.72375,0.300779,0.723729,0.294432,0.716118,0.310657,0.716042,0.30776,0.717143,0.301827,0.719989,0.293999,0.707129,0.311261,0.708584,0.307853,0.711553,0.301918,0.716038,0.29413,0.70242,0.307563,0.704589,0.304327,0.707917,0.299481,0.713023,0.292217,0.704471,0.291005,0.710229,0.287511,0.715226,0.282739,0.71927,0.277114,0.724572,0.275267,0.763304,0.226792,0.770755,0.157493,0.760466,0.146649,0.766731,0.076644,0.761865,0.117664,0.764156,0.137317,0.771464,0.153988,0.765907,0.186043,0.759316,0.206676,0.753093,0.223387,0.753699,0.245774,0.743799,0.256916,0.732004,0.106326,0.742032,0.0993515,0.73733,0.100713,0.766421,0.103073,0.751881,0.106631,0.716307,0.436105,0.70781,0.432874,0.728668,0.422788,0.730248,0.428725,0.696958,0.448316,0.688678,0.444815,0.702631,0.423027,0.703742,0.428907,0.684987,0.455532,0.676843,0.451866,0.68724,0.422889,0.688078,0.42873,0.770755,0.157493,0.763304,0.226792,0.724572,0.275267,0.749709,0.147576,0.73843,0.202755,0.708916,0.246901,0.744534,0.269206,0.705704,0.349871,0.708686,0.4228,0.691216,0.44123,0.733638,0.25603,0.728036,0.338047,0.729161,0.414479,0.702978,0.42093,
40,0.687798,0.423362,0.703181,0.421258,0.729283,0.414504,0.728338,0.338079,0.732824,0.256014,0.679787,0.45039,0.691076,0.441254,0.708712,0.423,0.705747,0.35005,0.74409,0.269216,0.705144,0.260028,0.712489,0.272238,0.711241,0.269479,0.710343,0.266582,0.709287,0.260646,0.707754,0.276893,0.706747,0.273966,0.706114,0.26855,0.706811,0.261694,0.702584,0.279202,0.702098,0.276038,0.702363,0.270429,0.704205,0.263228,0.697783,0.278035,0.697995,0.274725,0.699137,0.269864,0.702034,0.262995,0.704434,0.269776,0.704252,0.264359,0.705999,0.258452,0.705745,0.25065,0.708477,0.246795,0.738452,0.202858,0.749029,0.147758,0.75454,0.1443,0.717917,0.290533,0.725993,0.305197,0.724828,0.303222,0.724121,0.30062,0.723716,0.294441,0.716501,0.310399,0.716249,0.307662,0.717178,0.301826,0.719987,0.294002,0.707081,0.31111,0.708457,0.307743,0.711418,0.301846,0.71604,0.294124,0.701857,0.307159,0.704144,0.304003,0.707658,0.299281,0.71306,0.292212,0.704693,0.291131,0.710588,0.287877,0.715503,0.282981,0.719546,0.277255,0.724861,0.275372,0.763511,0.226905,0.771418,0.15762,0.760413,0.146711,0.766706,0.0766891,0.761741,0.117707,0.763962,0.137373,0.771157,0.154052,0.765495,0.186088,0.758847,0.206707,0.752579,0.223407,0.753082,0.245784,0.743171,0.256916,0.731933,0.106279,0.741985,0.0993209,0.737257,0.100689,0.766369,0.103097,0.751756,0.106668,0.716159,0.436365,0.707642,0.43301,0.72875,0.42283,0.730522,0.428754,0.696746,0.4484,0.688445,0.444776,0.702764,0.423364,0.704064,0.42924,0.684725,0.455488,0.676561,0.451701,0.687384,0.423393,0.688409,0.429235,0.771418,0.15762,0.763511,0.226905,0.724861,0.275372,0.749029,0.147758,0.738452,0.202858,0.708477,0.246795,0.74409,0.269216,0.705747,0.35005,0.708712,0.423,0.691076,0.441254,0.732824,0.256014,0.728338,0.338079,0.729283,0.414504,0.703181,0.421258,
60,0.688031,0.423887,0.703384,0.421586,0.729386,0.414499,0.728508,0.338086,0.732062,0.255991,0.67974,0.450432,0.691066,0.44141,0.708797,0.423293,0.705778,0.350325,0.743682,0.269338,0.705127,0.260077,0.713355,0.271862,0.711674,0.269404,0.710489,0.266616,0.70924,0.260701,0.709109,0.276542,0.707556,0.273968,0.706299,0.268661,0.706784,0.26175,0.703809,0.279301,0.702918,0.276276,0.70269,0.27065,0.704199,0.263287,0.698418,0.278313,0.698454,0.275016,0.699385,0.270096,0.702043,0.263052,0.704413,0.2698,0.704179,0.26436,0.706017,0.258435,0.70573,0.250655,0.708416,0.246807,0.738219,0.202758,0.748126,0.147821,0.754176,0.144436,0.717969,0.290537,0.726213,0.305175,0.725219,0.302948,0.724523,0.30034,0.723766,0.294458,0.717123,0.309988,0.716703,0.307476,0.717402,0.301825,0.720031,0.294008,0.707511,0.310995,0.708687,0.307713,0.711479,0.301846,0.716074,0.294117,0.701623,0.306886,0.703946,0.303783,0.707539,0.299141,0.713094,0.292199,0.704912,0.291123,0.710881,0.288062,0.715636,0.283013,0.719639,0.277287,0.724988,0.275416,0.763774,0.227107,0.772062,0.157837,0.76037,0.146843,0.76659,0.0768199,0.761569,0.117829,0.763744,0.137504,0.770849,0.154182,0.765137,0.18621,0.758453,0.206823,0.752143,0.223512,0.752527,0.245863,0.742592,0.256974,0.731788,0.106337,0.741851,0.0993858,0.737115,0.100771,0.766228,0.103188,0.751594,0.106805,0.716053,0.436706,0.707468,0.433204,0.728802,0.422843,0.730791,0.428751,0.696672,0.448616,0.688298,0.444846,0.702886,0.423703,0.7044,0.429572,0.684651,0.4556,0.676411,0.451666,0.687526,0.423925,0.688763,0.429766,0.772062,0.157837,0.763774,0.227107,0.724988,0.275416,0.748126,0.147821,0.738219,0.202758,0.708416,0.246807,0.743682,0.269338,0.705778,0.350325,0.708797,0.423293,0.691066,0.44141,0.732062,0.255991,0.728508,0.338086,0.729386,0.414499,0.703384,0.421586,
80,0.688041,0.42425,0.703364,0.421798,0.729284,0.414466,0.72848,0.338099,0.73142,0.255976,0.679601,0.450477,0.690948,0.441569,0.708757,0.423582,0.705667,0.350582,0.743471,0.269581,0.704978,0.260072,0.713885,0.271392,0.71188,0.269321,0.710455,0.266679,0.709043,0.260787,0.710111,0.275945,0.708149,0.273853,0.70634,0.268764,0.706592,0.26179,0.704893,0.279113,0.703632,0.276322,0.7029,0.270776,0.704004,0.26328,0.699065,0.278377,0.698893,0.275138,0.699552,0.270199,0.701871,0.262998,0.704063,0.269789,0.703953,0.264241,0.705956,0.258319,0.705759,0.250584,0.708462,0.2468,0.738069,0.202642,0.747015,0.147902,0.753829,0.144568,0.718144,0.290596,0.726392,0.304827,0.72561,0.302523,0.724982,0.300012,0.724043,0.294586,0.717904,0.30937,0.717408,0.307148,0.717915,0.301825,0.720264,0.294101,0.708438,0.310781,0.709347,0.307702,0.711853,0.301947,0.716265,0.294177,0.701882,0.30679,0.704152,0.303723,0.707699,0.299122,0.713232,0.292223,0.705068,0.290905,0.711062,0.287933,0.715628,0.282763,0.719629,0.277215,0.725084,0.275457,0.763938,0.227229,0.772681,0.157978,0.760401,0.146925,0.766707,0.0769248,0.761516,0.117915,0.763585,0.13761,0.770547,0.154321,0.764733,0.186355,0.758016,0.206971,0.751682,0.223654,0.752051,0.24595,0.742146,0.257076,0.731824,0.106253,0.741926,0.0993247,0.73715,0.100744,0.76629,0.103208,0.751548,0.106914,0.715794,0.437036,0.707125,0.433362,0.728636,0.422813,0.730805,0.428714,0.696483,0.44884,0.688017,0.444898,0.702788,0.423916,0.704482,0.429787,0.684483,0.455724,0.676147,0.451619,0.687455,0.424287,0.688871,0.430134,0.772681,0.157978,0.763938,0.227229,0.725084,0.275457,0.747015,0.147902,0.738069,0.202642,0.708462,0.2468,0.743471,0.269581,0.705667,0.350582,0.708757,0.423582,0.690948,0.441569,0.73142,0.255976,0.72848,0.338099,0.729284,0.414466,0.703364,0.421798,
100,0.688089,0.424546,0.703388,0.42198,0.729246,0.414473,0.728368,0.338147,0.730933,0.256015,0.679591,0.45054,0.690936,0.441718,0.708789,0.423823,0.705531,0.350761,0.743539,0.269865,0.704677,0.259904,0.714138,0.270678,0.711921,0.268928,0.710296,0.266432,0.708642,0.260599,0.710846,0.275097,0.708613,0.273433,0.706319,0.268607,0.706215,0.261601,0.705915,0.278609,0.704342,0.276057,0.703093,0.270658,0.703641,0.263086,0.69999,0.278231,0.699539,0.275077,0.699795,0.27015,0.701558,0.262813,0.703585,0.269812,0.703743,0.26415,0.705879,0.258245,0.705732,0.250532,0.708426,0.246729,0.738087,0.202561,0.745842,0.147977,0.753477,0.144735,0.718345,0.290729,0.726346,0.304711,0.725747,0.302356,0.725206,0.299912,0.724239,0.29483,0.71842,0.308862,0.717912,0.306821,0.718314,0.301802,0.720449,0.29428,0.709275,0.310364,0.709935,0.307557,0.712177,0.302015,0.716435,0.294286,0.702304,0.306636,0.704485,0.303634,0.707942,0.299104,0.713403,0.292276,0.705559,0.290861,0.711481,0.287833,0.715938,0.282636,0.719902,0.277273,0.725417,0.27566,0.763921,0.227231,0.773226,0.158016,0.760384,0.14703,0.766712,0.0770548,0.761394,0.11803,0.763384,0.137737,0.770251,0.154463,0.764411,0.186507,0.757703,0.207134,0.751377,0.223822,0.751759,0.246058,0.741903,0.257217,0.731759,0.10625,0.741883,0.0993431,0.737095,0.100778,0.766228,0.10329,0.751454,0.107034,0.715613,0.437302,0.706852,0.433453,0.728526,0.422823,0.730845,0.428719,0.696406,0.449048,0.68784,0.444929,0.70274,0.424101,0.704582,0.429972,0.68445,0.455864,0.676007,0.451581,0.687433,0.424583,0.688996,0.430435,0.773226,0.158016,0.763921,0.227231,0.725417,0.27566,0.745842,0.147977,0.738087,0.202561,0.708426,0.246729,0.743539,0.269865,0.705531,0.350761,0.708789,0.423823,0.690936,0.441718,0.730933,0.256015,0.728368,0.338147,0.729246,0.414473,0.703388,0.42198,
120,0.688168,0.424643,0.703461,0.422043,0.729308,0.414505,0.728244,0.338207,0.730688,0.256098,0.679664,0.450554,0.691001,0.441806,0.708889,0.423989,0.705395,0.350778,0.743869,0.270119,0.70473,0.259807,0.714927,0.270058,0.712595,0.268544,0.710794,0.266216,0.708699,0.260538,0.712125,0.274315,0.709741,0.273012,0.707006,0.268527,0.706282,0.26153,0.707596,0.278012,0.705778,0.275728,0.703982,0.270581,0.703723,0.263009,0.701917,0.27794,0.701096,0.27496,0.700766,0.270135,0.701639,0.262718,0.70358,0.269783,0.703955,0.263887,0.706008,0.257931,0.705705,0.250324,0.708362,0.246551,0.738087,0.202434,0.745086,0.14795,0.753149,0.144886,0.718393,0.290785,0.726151,0.304963,0.725651,0.302489,0.725153,0.299993,0.724155,0.294937,0.71876,0.308736,0.718246,0.306644,0.718531,0.301718,0.72041,0.294349,0.710038,0.310022,0.710465,0.307382,0.712407,0.301998,0.716431,0.294315,0.70298,0.30652,0.704991,0.303568,0.708242,0.299081,0.713466,0.292278,0.706404,0.291324,0.712088,0.287985,0.716475,0.282779,0.720246,0.277399,0.725697,0.275818,0.763904,0.227315,0.773634,0.15816,0.760329,0.147105,0.766562,0.0771526,0.761196,0.11812,0.763156,0.137829,0.769994,0.154548,0.764227,0.18661,0.757576,0.207259,0.751291,0.223965,0.751707,0.246154,0.741909,0.25736,0.731579,0.106303,0.741705,0.0994064,0.736925,0.10084,0.766034,0.103379,0.751283,0.107119,0.715514,0.437486,0.706669,0.433477,0.728547,0.422862,0.730916,0.428751,0.696411,0.449187,0.687752,0.444907,0.70278,0.424168,0.704673,0.430035,0.684502,0.455946,0.675961,0.451501,0.687488,0.424683,0.689102,0.430532,0.773634,0.15816,0.763904,0.227315,0.725697,0.275818,0.745086,0.14795,0.738087,0.202434,0.708362,0.246551,0.743869,0.270119,0.705395,0.350778,0.708889,0.423989,0.691001,0.441806,0.730688,0.256098,0.728244,0.338207,0.729308,0.414505,0.703461,0.422043,
140,0.68816,0.424535,0.703459,0.421968,0.729335,0.414508,0.727937,0.338221,0.730637,0.256135,0.679506,0.45046,0.6909,0.441806,0.708929,0.424094,0.705175,0.350783,0.744139,0.270345,0.704566,0.259694,0.715005,0.269766,0.71262,0.268208,0.710725,0.265933,0.708276,0.260407,0.712696,0.273872,0.710198,0.272637,0.707177,0.268326,0.70596,0.261401,0.708601,0.277503,0.706608,0.275335,0.704405,0.270367,0.703489,0.26288,0.703682,0.277484,0.702478,0.274673,0.70155,0.269987,0.701535,0.262598,0.703585,0.269872,0.704487,0.263829,0.706492,0.25785,0.706009,0.250295,0.708518,0.246508,0.738231,0.202375,0.744561,0.147907,0.752934,0.144987,0.718456,0.290702,0.725968,0.305181,0.725553,0.30259,0.725111,0.300004,0.724166,0.294827,0.719092,0.308726,0.718654,0.306472,0.718878,0.301522,0.720444,0.294252,0.710931,0.309786,0.71123,0.307203,0.712882,0.301906,0.716487,0.294231,0.70418,0.306495,0.705929,0.303567,0.708818,0.299076,0.713549,0.292208,0.707152,0.291962,0.712487,0.288095,0.716804,0.282855,0.720394,0.277377,0.725791,0.27575,0.763871,0.227282,0.773921,0.158181,0.760266,0.147136,0.766677,0.0771991,0.761134,0.118165,0.763011,0.137885,0.769806,0.154623,0.764053,0.186699,0.757439,0.207364,0.751192,0.22408,0.751707,0.246213,0.741979,0.257466,0.731549,0.106235,0.741685,0.0993738,0.736945,0.100789,0.765966,0.103437,0.751327,0.107122,0.71535,0.43761,0.706482,0.433415,0.728565,0.42288,0.730901,0.428758,0.696227,0.449244,0.687542,0.444778,0.702783,0.424103,0.704643,0.429957,0.684293,0.455929,0.675724,0.451298,0.687493,0.424585,0.689074,0.430419,0.773921,0.158181,0.763871,0.227282,0.725791,0.27575,0.744561,0.147907,0.738231,0.202375,0.708518,0.246508,0.744139,0.270345,0.705175,0.350783,0.708929,0.424094,0.6909,0.441806,0.730637,0.256135,0.727937,0.338221,0.729335,0.414508,0.703459,0.421968,
160,0.68821,0.424277,0.703531,0.421804,0.729473,0.414528,0.727723,0.338261,0.730833,0.256169,0.6793,0.450249,0.690782,0.441705,0.708992,0.42409,0.705021,0.350792,0.744421,0.270516,0.704614,0.25964,0.71535,0.269677,0.713028,0.267988,0.711114,0.26574,0.708328,0.260414,0.713386,0.273625,0.7109,0.27235,0.707751,0.268176,0.706022,0.261386,0.709608,0.277032,0.707561,0.274943,0.705094,0.270168,0.703564,0.262847,0.705543,0.276794,0.704021,0.27421,0.702539,0.269758,0.701608,0.262535,0.703619,0.269688,0.704934,0.26357,0.706704,0.257528,0.705979,0.250101,0.708453,0.246363,0.738337,0.202356,0.744194,0.147871,0.752738,0.145067,0.71859,0.29073,0.725721,0.305427,0.725416,0.302778,0.725076,0.300142,0.724322,0.294878,0.719268,0.308738,0.718981,0.306353,0.719251,0.301411,0.720596,0.294293,0.711727,0.309547,0.712034,0.306991,0.713498,0.301823,0.716639,0.294262,0.705703,0.306316,0.707151,0.303474,0.7096,0.299061,0.713691,0.292227,0.70777,0.292385,0.712689,0.287994,0.716956,0.28276,0.72046,0.277339,0.725854,0.275758,0.763776,0.227245,0.773989,0.158195,0.760124,0.147181,0.766772,0.0772256,0.761046,0.118206,0.762847,0.137936,0.769624,0.154684,0.763896,0.186766,0.757333,0.207439,0.751144,0.224163,0.75182,0.246241,0.742176,0.257543,0.731478,0.106189,0.741616,0.0993702,0.736936,0.100737,0.76584,0.103537,0.751373,0.10708,0.715218,0.43761,0.706357,0.433217,0.728712,0.422916,0.730947,0.428783,0.696021,0.449196,0.687344,0.444531,0.702886,0.423951,0.704645,0.429789,0.684019,0.455798,0.675459,0.450967,0.687586,0.424336,0.689067,0.430153,0.773989,0.158195,0.763776,0.227245,0.725854,0.275758,0.744194,0.147871,0.738337,0.202356,0.708453,0.246363,0.744421,0.270516,0.705021,0.350792,0.708992,0.42409,0.690782,0.441705,0.730833,0.256169,0.727723,0.338261,0.729473,0.414528,0.703531,0.421804,
180,0.688221,0.423874,0.703571,0.421552,0.72961,0.414552,0.72768,0.338331,0.731,0.256223,0.679282,0.450138,0.690801,0.441657,0.709099,0.424074,0.704852,0.350791,0.744699,0.270692,0.704696,0.259617,0.715469,0.269808,0.713276,0.267901,0.711407,0.265609,0.708436,0.260411,0.713741,0.273684,0.711325,0.272228,0.708189,0.268048,0.706129,0.26138,0.710201,0.276823,0.708179,0.274704,0.705607,0.270011,0.703677,0.26284,0.707057,0.276178,0.705307,0.273767,0.703396,0.269528,0.701709,0.262518,0.703671,0.269464,0.705402,0.263437,0.706898,0.257332,0.705951,0.249997,0.708404,0.246279,0.738442,0.202366,0.743971,0.147857,0.752541,0.145148,0.718749,0.290792,0.725458,0.305739,0.725269,0.303034,0.725049,0.300338,0.724546,0.294944,0.719345,0.308863,0.719206,0.306362,0.719566,0.30139,0.720806,0.294362,0.712402,0.309417,0.712778,0.306832,0.714128,0.301749,0.716841,0.294335,0.707403,0.306022,0.708523,0.303301,0.710486,0.29902,0.71386,0.292298,0.708326,0.292785,0.712772,0.287894,0.716972,0.282646,0.720435,0.277302,0.725832,0.275762,0.763641,0.227196,0.774059,0.158206,0.759963,0.147227,0.766847,0.0772657,0.760949,0.118253,0.762677,0.137992,0.769432,0.154754,0.763714,0.18684,0.757197,0.207522,0.751066,0.224254,0.751909,0.246276,0.742353,0.257631,0.731427,0.106139,0.741581,0.0993605,0.736921,0.100689,0.765765,0.103628,0.751358,0.107058,0.715176,0.43758,0.706297,0.43303,0.728836,0.422953,0.730939,0.428812,0.695979,0.449183,0.687284,0.444358,0.702957,0.42371,0.704584,0.429532,0.683958,0.455746,0.675378,0.450756,0.687645,0.423945,0.688994,0.42974,0.774059,0.158206,0.763641,0.227196,0.725832,0.275762,0.743971,0.147857,0.738442,0.202366,0.708404,0.246279,0.744699,0.270692,0.704852,0.350791,0.709099,0.424074,0.690801,0.441657,0.731,0.256223,0.72768,0.338331,0.72961,0.414552,0.703571,0.421552,
