Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHandPinkyEE,,RightHandPinky3,,RightHandPinky2,,RightHandPinky1,,RightHandRingEE,,RightHandRing3,,RightHandRing2,,RightHandRing1,,RightHandMiddleEE,,RightHandMiddle3,,RightHandMiddle2,,RightHandMiddle1,,RightHandIndexEE,,RightHandIndex3,,RightHandIndex2,,RightHandIndex1,,RightHandThumbEE,,RightHandThumb3,,RightHandThumb2,,RightHandThumb1,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHandPinkyEE,,LeftHandPinky3,,LeftHandPinky2,,LeftHandPinky1,,LeftHandRingEE,,LeftHandRing3,,LeftHandRing2,,LeftHandRing1,,LeftHandMiddleEE,,LeftHandMiddle3,,LeftHandMiddle2,,LeftHandMiddle1,,LeftHandIndexEE,,LeftHandIndex3,,LeftHandIndex2,,LeftHandIndex1,,LeftHandThumbEE,,LeftHandThumb3,,LeftHandThumb2,,LeftHandThumb1,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.597592,0.275885,0.599813,0.270744,0.603438,0.260527,0.600272,0.215254,0.597804,0.164737,0.628272,0.282939,0.62367,0.276744,0.616231,0.264868,0.622239,0.219625,0.620937,0.167539,0.578666,0.173661,0.578612,0.181486,0.578094,0.179695,0.577631,0.177875,0.576812,0.174173,0.578471,0.184916,0.578092,0.182962,0.577729,0.179453,0.577655,0.174867,0.578359,0.186569,0.577951,0.184541,0.577828,0.18086,0.578464,0.175905,0.579229,0.185967,0.578764,0.183845,0.578665,0.180561,0.579421,0.175702,0.582893,0.179263,0.583673,0.175451,0.583885,0.171398,0.581818,0.166728,0.579729,0.164439,0.584746,0.133087,0.597703,0.0973185,0.61299,0.0946334,0.638623,0.179166,0.639071,0.186486,0.640251,0.185591,0.641084,0.184032,0.641768,0.180102,0.639997,0.190867,0.640601,0.188935,0.640886,0.185248,0.640219,0.180593,0.639849,0.192142,0.639827,0.189971,0.639502,0.186251,0.63869,0.181432,0.637393,0.191206,0.637369,0.189036,0.637279,0.185806,0.637064,0.181007,0.628781,0.18313,0.630557,0.179931,0.63188,0.176362,0.63503,0.172015,0.637956,0.169842,0.644247,0.138414,0.638616,0.100504,0.623649,0.0953873,0.618077,0.0549825,0.618781,0.0787797,0.61911,0.0901105,0.618473,0.0995491,0.616254,0.118393,0.614574,0.130899,0.613077,0.141265,0.611433,0.154595,0.610029,0.162276,0.618376,0.0723512,0.622193,0.0681948,0.614443,0.0689609,0.629342,0.0703301,0.607802,0.0724384,0.61946,0.270038,0.613422,0.272171,0.59978,0.26693,0.606226,0.26792,0.626809,0.278475,0.620663,0.280672,0.59634,0.27338,0.602913,0.274417,0.631433,0.283519,0.625219,0.285755,0.594152,0.277236,0.600804,0.278302,0.638616,0.100504,0.644247,0.138414,0.637956,0.169842,0.597703,0.0973185,0.584746,0.133087,0.579729,0.164439,0.620937,0.167539,0.622239,0.219625,0.616231,0.264868,0.62367,0.276744,0.597804,0.164737,0.600272,0.215254,0.603438,0.260527,0.599813,0.270744,
20,0.59809,0.276009,0.600158,0.27082,0.603523,0.260522,0.600283,0.215235,0.597788,0.164816,0.628152,0.282932,0.623589,0.276761,0.616223,0.264911,0.622235,0.219665,0.620954,0.167534,0.578612,0.173653,0.578691,0.181163,0.578023,0.179486,0.57749,0.177726,0.576703,0.174063,0.578797,0.184652,0.578168,0.182818,0.577595,0.179383,0.577564,0.174808,0.578781,0.186491,0.57822,0.18452,0.577902,0.180866,0.578388,0.175896,0.579438,0.186019,0.578941,0.183907,0.578767,0.180627,0.579373,0.175746,0.58277,0.179285,0.583648,0.175542,0.583869,0.171489,0.581865,0.166803,0.57977,0.164443,0.584658,0.133166,0.59769,0.0974535,0.612992,0.09463,0.638549,0.179122,0.638757,0.186433,0.639892,0.185409,0.64073,0.183862,0.64162,0.180053,0.639389,0.190727,0.640145,0.188893,0.640634,0.185243,0.640111,0.180548,0.639344,0.192192,0.639447,0.190011,0.639288,0.186256,0.638621,0.18139,0.637169,0.191139,0.637188,0.188975,0.637159,0.185753,0.637032,0.180968,0.628742,0.18303,0.63057,0.179913,0.631819,0.1763,0.634976,0.171959,0.637868,0.169787,0.644071,0.138387,0.638641,0.100442,0.623657,0.0953982,0.618097,0.054984,0.618796,0.0787808,0.619102,0.0901201,0.618403,0.0995703,0.616154,0.118417,0.614479,0.130923,0.613002,0.14129,0.611362,0.154642,0.610006,0.162317,0.618364,0.0723112,0.622189,0.0681645,0.614439,0.0689296,0.629356,0.0703267,0.607815,0.0724319,0.619429,0.270147,0.613377,0.272229,0.599886,0.266949,0.606357,0.267873,0.626722,0.278538,0.62056,0.280682,0.596685,0.273486,0.603287,0.274455,0.631314,0.283551,0.625083,0.285734,0.594645,0.277392,0.601326,0.278389,0.638641,0.100442,0.644071,0.138387,0.637868,0.169787,0.59769,0.0974535,0.584658,0.133166,0.57977,0.164443,0.620954,0.167534,0.622235,0.219665,0.616223,0.264911,0.623589,0.276761,0.597788,0.164816,0.600283,0.215235,0.603523,0.260522,0.600158,0.27082,
40,0.598535,0.276111,0.60045,0.270876,0.603561,0.2605,0.600383,0.215184,0.597716,0.164896,0.628108,0.282934,0.623562,0.276816,0.616243,0.265019,0.622218,0.219771,0.620913,0.16759,0.578624,0.173593,0.579198,0.180633,0.578278,0.179159,0.577602,0.1775,0.576774,0.173892,0.57953,0.184134,0.578558,0.182536,0.577649,0.179245,0.577596,0.174692,0.579536,0.18625,0.578732,0.184398,0.578107,0.180812,0.578377,0.175834,0.579856,0.185993,0.579255,0.183914,0.57893,0.180649,0.579331,0.175741,0.582742,0.179255,0.583662,0.175584,0.583876,0.17153,0.581903,0.166836,0.579867,0.1644,0.584634,0.133232,0.597691,0.097584,0.613029,0.0946594,0.638486,0.179137,0.638823,0.186555,0.639825,0.185335,0.640601,0.183758,0.64161,0.180062,0.638994,0.190625,0.639845,0.188882,0.640483,0.185273,0.64009,0.180555,0.638885,0.192221,0.639123,0.19004,0.639132,0.186266,0.638596,0.181392,0.636923,0.19103,0.636988,0.188885,0.637023,0.185698,0.636982,0.180972,0.62864,0.183101,0.630547,0.180094,0.631691,0.176438,0.634777,0.172052,0.637647,0.169861,0.643892,0.138459,0.638655,0.100491,0.623708,0.095433,0.618129,0.0550109,0.618837,0.0788066,0.619107,0.0901564,0.618313,0.0996211,0.616045,0.118472,0.614384,0.13098,0.612921,0.141349,0.611244,0.154717,0.60993,0.162387,0.618438,0.0722831,0.622254,0.0681469,0.614503,0.0689153,0.6294,0.0703404,0.607857,0.0724546,0.619395,0.270344,0.613338,0.27236,0.59993,0.266942,0.606425,0.267812,0.626672,0.278654,0.620505,0.280731,0.596972,0.273564,0.603598,0.274477,0.63126,0.283605,0.625023,0.285721,0.59508,0.27752,0.601789,0.27846,0.638655,0.100491,0.643892,0.138459,0.637647,0.169861,0.597691,0.097584,0.584634,0.133232,0.579867,0.1644,0.620913,0.16759,0.622218,0.219771,0.616243,0.265019,0.623562,0.276816,0.597716,0.164896,0.600383,0.215184,0.603561,0.2605,0.60045,0.270876,
60,0.599021,0.276211,0.600762,0.270924,0.603586,0.260469,0.600456,0.215145,0.597647,0.164966,0.628185,0.282938,0.623618,0.276889,0.616298,0.265158,0.62223,0.219927,0.620859,0.167711,0.578716,0.17361,0.57988,0.18016,0.578676,0.178986,0.577807,0.177467,0.576847,0.173919,0.580582,0.183538,0.579257,0.182307,0.577909,0.179247,0.577686,0.174715,0.580748,0.185921,0.579644,0.184275,0.578589,0.180826,0.578487,0.175853,0.580856,0.185895,0.580058,0.18389,0.579446,0.180673,0.579452,0.175755,0.583013,0.179221,0.583897,0.175549,0.584005,0.171494,0.581959,0.166831,0.579892,0.16441,0.584495,0.133199,0.597682,0.0976486,0.613097,0.0947457,0.638294,0.179174,0.638504,0.186589,0.63942,0.185225,0.640191,0.183644,0.641409,0.18011,0.638199,0.190502,0.639169,0.188878,0.640031,0.185349,0.639897,0.180595,0.638037,0.192304,0.638477,0.190147,0.638743,0.186348,0.638411,0.181424,0.636363,0.191032,0.636523,0.188889,0.636683,0.185708,0.636802,0.180999,0.628424,0.183119,0.630413,0.180199,0.631478,0.176486,0.634567,0.172103,0.637424,0.169918,0.643793,0.138566,0.638686,0.10059,0.623789,0.0955061,0.618147,0.0550859,0.618885,0.0788785,0.619128,0.0902357,0.618248,0.0997082,0.615994,0.118565,0.614354,0.131075,0.612897,0.141444,0.611153,0.154824,0.609861,0.162486,0.61849,0.0723183,0.622298,0.0681854,0.614546,0.0689648,0.629442,0.0703924,0.607895,0.0725371,0.619353,0.270583,0.613307,0.272524,0.59996,0.26693,0.606479,0.267738,0.626681,0.278794,0.620526,0.280797,0.597277,0.273638,0.60393,0.274488,0.631309,0.283667,0.625085,0.285708,0.595556,0.27765,0.602293,0.278525,0.638686,0.10059,0.643793,0.138566,0.637424,0.169918,0.597682,0.0976486,0.584495,0.133199,0.579892,0.16441,0.620859,0.167711,0.62223,0.219927,0.616298,0.265158,0.623618,0.276889,0.597647,0.164966,0.600456,0.215145,0.603586,0.260469,0.600762,0.270924,
80,0.599388,0.276301,0.600982,0.270978,0.603568,0.260475,0.600535,0.215136,0.597609,0.165025,0.628286,0.282954,0.623685,0.276984,0.616348,0.265321,0.622218,0.220102,0.620823,0.167879,0.578731,0.17362,0.580497,0.179678,0.579065,0.178835,0.578005,0.177475,0.57685,0.173996,0.581543,0.182844,0.579962,0.182025,0.578188,0.179257,0.5777,0.174759,0.581914,0.185433,0.580547,0.18404,0.579057,0.180794,0.578513,0.175865,0.581927,0.185642,0.580905,0.18375,0.579956,0.180623,0.579484,0.175732,0.583341,0.17919,0.584126,0.175454,0.584105,0.171407,0.581947,0.166784,0.57986,0.164406,0.584366,0.13315,0.597676,0.0977297,0.613183,0.0948288,0.638026,0.179246,0.637694,0.186555,0.638622,0.185118,0.639474,0.183565,0.641019,0.180237,0.636963,0.190342,0.638085,0.188858,0.639267,0.185463,0.639553,0.180697,0.636779,0.192365,0.637491,0.190292,0.638127,0.186503,0.638106,0.181504,0.635513,0.191144,0.635826,0.18899,0.636186,0.18579,0.636559,0.181051,0.628177,0.183024,0.63021,0.180145,0.631271,0.176383,0.634474,0.17208,0.637323,0.169951,0.643761,0.138625,0.638737,0.100646,0.623889,0.0955475,0.618128,0.0551476,0.618923,0.0789283,0.619145,0.0903,0.618189,0.0998,0.615993,0.118668,0.614393,0.131183,0.612942,0.141555,0.611104,0.154923,0.609822,0.162595,0.618556,0.0722678,0.622346,0.0681498,0.614594,0.0689488,0.629467,0.0704033,0.607922,0.0726023,0.619279,0.270859,0.61325,0.272712,0.599935,0.266953,0.606473,0.267716,0.626685,0.278967,0.620549,0.28088,0.597488,0.273714,0.604162,0.274516,0.631373,0.283752,0.625169,0.285704,0.595913,0.277762,0.602672,0.278588,0.638737,0.100646,0.643761,0.138625,0.637323,0.169951,0.597676,0.0977297,0.584366,0.13315,0.57986,0.164406,0.620823,0.167879,0.622218,0.220102,0.616348,0.265321,0.623685,0.276984,0.597609,0.165025,0.600535,0.215136,0.603568,0.260475,0.600982,0.270978,
100,0.599697,0.276361,0.60117,0.271018,0.603557,0.26049,0.600588,0.215167,0.597607,0.165095,0.628419,0.28294,0.623774,0.277041,0.616413,0.265436,0.622178,0.220241,0.620819,0.168039,0.578684,0.17355,0.580758,0.179139,0.579226,0.178545,0.578051,0.177323,0.576732,0.173938,0.582088,0.182104,0.580397,0.181614,0.578345,0.179126,0.577603,0.174694,0.582689,0.184828,0.581169,0.18366,0.579367,0.180635,0.57843,0.175793,0.582808,0.185257,0.581603,0.183494,0.58036,0.180485,0.579437,0.175654,0.583669,0.179195,0.584363,0.175374,0.584261,0.171339,0.582052,0.166735,0.579967,0.164346,0.584309,0.133104,0.597639,0.0978113,0.613233,0.0949344,0.63783,0.179343,0.637114,0.186626,0.638056,0.185135,0.638971,0.183595,0.640752,0.180412,0.635941,0.190227,0.637152,0.188826,0.638584,0.185558,0.639301,0.180834,0.635549,0.192312,0.636506,0.190368,0.637513,0.186644,0.637863,0.181601,0.634529,0.191233,0.635033,0.189082,0.635647,0.185872,0.63635,0.181107,0.627961,0.182988,0.630016,0.180081,0.631135,0.176304,0.634458,0.172089,0.637328,0.170033,0.643783,0.138625,0.638772,0.100648,0.623949,0.0956058,0.618108,0.0552225,0.618929,0.0789961,0.619127,0.0903783,0.618115,0.0998947,0.615991,0.118772,0.614437,0.131292,0.612999,0.141667,0.611069,0.155016,0.609811,0.162703,0.618569,0.0722666,0.622351,0.0681606,0.614599,0.0689691,0.629467,0.0704499,0.607922,0.0726747,0.619203,0.271083,0.613199,0.272843,0.599917,0.266986,0.60647,0.267712,0.626702,0.2791,0.620592,0.28092,0.597667,0.273773,0.604357,0.274536,0.631461,0.283806,0.625284,0.285664,0.596214,0.277842,0.602991,0.278628,0.638772,0.100648,0.643783,0.138625,0.637328,0.170033,0.597639,0.0978113,0.584309,0.133104,0.579967,0.164346,0.620819,0.168039,0.622178,0.220241,0.616413,0.265436,0.623774,0.277041,0.597607,0.165095,0.600588,0.215167,0.603557,0.26049,0.60117,0.271018,
120,0.5998,0.276367,0.601231,0.27102,0.603549,0.260501,0.600598,0.215219,0.597681,0.165157,0.628559,0.282874,0.623872,0.277041,0.616486,0.265489,0.622037,0.220313,0.620888,0.168142,0.578716,0.173475,0.581306,0.178547,0.579715,0.178128,0.578423,0.177058,0.576775,0.173884,0.58294,0.181287,0.58119,0.181058,0.578858,0.178899,0.577655,0.174631,0.583795,0.184021,0.582145,0.183084,0.579998,0.180361,0.578498,0.175721,0.584081,0.184582,0.582654,0.183026,0.581032,0.180234,0.5795,0.175571,0.584376,0.17904,0.584736,0.17511,0.58442,0.171095,0.581975,0.166616,0.579855,0.164255,0.584271,0.133029,0.597607,0.0978179,0.613252,0.0950307,0.637672,0.179403,0.637099,0.186797,0.637987,0.185238,0.638877,0.183668,0.640666,0.180501,0.635523,0.19021,0.636702,0.188788,0.638192,0.185573,0.639175,0.180905,0.634729,0.192213,0.635798,0.190368,0.637032,0.186717,0.637694,0.181655,0.633604,0.1913,0.634273,0.189158,0.635119,0.185943,0.636144,0.181146,0.627784,0.183205,0.629796,0.180149,0.630957,0.176366,0.634291,0.17216,0.637201,0.170121,0.643909,0.138655,0.638742,0.100717,0.623975,0.0956488,0.618091,0.0552768,0.618913,0.0790509,0.619084,0.0904378,0.618042,0.0999553,0.616002,0.118839,0.6145,0.131366,0.613087,0.141746,0.611088,0.155074,0.609867,0.162778,0.618546,0.0722989,0.62233,0.0681977,0.614578,0.0690064,0.629451,0.0705009,0.607904,0.0727263,0.619143,0.271234,0.613164,0.272908,0.599909,0.267009,0.606466,0.267719,0.626731,0.27917,0.620649,0.280903,0.597726,0.273785,0.604421,0.274531,0.631559,0.283803,0.62541,0.285574,0.596314,0.277856,0.603096,0.278626,0.638742,0.100717,0.643909,0.138655,0.637201,0.170121,0.597607,0.0978179,0.584271,0.133029,0.579855,0.164255,0.620888,0.168142,0.622037,0.220313,0.616486,0.265489,0.623872,0.277041,0.597681,0.165157,0.600598,0.215219,0.603549,0.260501,0.601231,0.27102,
140,0.599719,0.276331,0.601175,0.270994,0.603531,0.260504,0.60054,0.215287,0.59769,0.165183,0.628543,0.282859,0.623872,0.277063,0.616557,0.265518,0.621957,0.220372,0.620879,0.168249,0.578683,0.173425,0.581201,0.178371,0.579666,0.177917,0.578383,0.176889,0.576577,0.173879,0.583121,0.180901,0.581408,0.180721,0.579027,0.178717,0.577535,0.174602,0.584246,0.183485,0.582589,0.182645,0.580313,0.180113,0.578453,0.17567,0.58492,0.183909,0.583376,0.182535,0.581512,0.179955,0.57954,0.175496,0.585044,0.178969,0.585097,0.174948,0.584644,0.170952,0.582084,0.166548,0.579888,0.164206,0.584316,0.132977,0.597565,0.097809,0.613245,0.0950965,0.637594,0.179366,0.637258,0.186907,0.638084,0.185284,0.638926,0.183668,0.640644,0.180442,0.635426,0.190187,0.636531,0.18868,0.637991,0.185465,0.63913,0.180856,0.634259,0.192077,0.635353,0.190274,0.636704,0.186682,0.63763,0.181614,0.632904,0.191301,0.633704,0.189175,0.634743,0.185957,0.636052,0.181116,0.627849,0.183484,0.629686,0.180193,0.630849,0.176397,0.634143,0.172161,0.637061,0.170099,0.644066,0.138618,0.638708,0.100721,0.623973,0.0956686,0.618102,0.0553055,0.618889,0.0790778,0.619035,0.0904752,0.617991,0.100007,0.616024,0.118897,0.614557,0.131428,0.613149,0.141812,0.611088,0.155109,0.609868,0.162834,0.618478,0.0722585,0.62228,0.0681782,0.614527,0.0689758,0.62943,0.0705341,0.607883,0.0727281,0.61909,0.271361,0.613115,0.272928,0.5999,0.26702,0.606455,0.26773,0.626672,0.279267,0.620594,0.280892,0.597675,0.273763,0.604368,0.27451,0.63151,0.283859,0.625366,0.285521,0.596238,0.277821,0.603017,0.278591,0.638708,0.100721,0.644066,0.138618,0.637061,0.170099,0.597565,0.097809,0.584316,0.132977,0.579888,0.164206,0.620879,0.168249,0.621957,0.220372,0.616557,0.265518,0.623872,0.277063,0.59769,0.165183,0.60054,0.215287,0.603531,0.260504,0.601175,0.270994,
160,0.599496,0.276241,0.601032,0.27093,0.603517,0.260495,0.600498,0.215354,0.597632,0.165195,0.628391,0.28284,0.623766,0.277069,0.616581,0.265494,0.621969,0.220398,0.6208,0.168336,0.578718,0.173378,0.581488,0.178221,0.579982,0.17767,0.578676,0.176666,0.576629,0.173868,0.583637,0.180564,0.581926,0.180355,0.579457,0.178474,0.577596,0.174575,0.584916,0.182931,0.583229,0.182155,0.580794,0.179812,0.578531,0.175626,0.585812,0.183068,0.584146,0.181904,0.582037,0.179592,0.579611,0.175434,0.585811,0.178698,0.585388,0.174679,0.584762,0.170701,0.581985,0.166442,0.579748,0.164141,0.58437,0.132953,0.597517,0.0977997,0.613219,0.0951498,0.63752,0.179383,0.637208,0.187087,0.638016,0.185423,0.638842,0.18377,0.64054,0.180477,0.635187,0.190229,0.636242,0.188639,0.63771,0.185422,0.639029,0.180884,0.633682,0.191975,0.634791,0.190184,0.636268,0.186661,0.637528,0.181637,0.632071,0.191203,0.633024,0.189129,0.634299,0.185956,0.635965,0.18113,0.627983,0.183635,0.629618,0.180125,0.630831,0.176329,0.634169,0.172127,0.637105,0.170089,0.644286,0.138575,0.638672,0.100729,0.623951,0.0956994,0.618186,0.0553247,0.618884,0.0791026,0.61899,0.0905098,0.617953,0.100049,0.616022,0.118943,0.614566,0.131478,0.61315,0.141865,0.611052,0.155122,0.609811,0.162872,0.618423,0.072231,0.622256,0.0681759,0.614502,0.0689441,0.629444,0.070591,0.607895,0.0727027,0.618984,0.271428,0.613003,0.272875,0.599898,0.267014,0.606443,0.267741,0.626509,0.279348,0.620425,0.280853,0.597541,0.273696,0.604223,0.274461,0.631331,0.283916,0.625181,0.285455,0.596023,0.277724,0.60279,0.278512,0.638672,0.100729,0.644286,0.138575,0.637105,0.170089,0.597517,0.0977997,0.58437,0.132953,0.579748,0.164141,0.6208,0.168336,0.621969,0.220398,0.616581,0.265494,0.623766,0.277069,0.597632,0.165195,0.600498,0.215354,0.603517,0.260495,0.601032,0.27093,
180,0.599182,0.276102,0.600824,0.270842,0.60348,0.260496,0.6005,0.215402,0.597588,0.16522,0.628321,0.282805,0.62371,0.277058,0.616601,0.265457,0.621968,0.220424,0.620736,0.168423,0.578779,0.173343,0.581619,0.178267,0.580172,0.177551,0.578883,0.176511,0.57671,0.17384,0.58393,0.180504,0.582239,0.180168,0.579762,0.178284,0.577678,0.174545,0.585299,0.182652,0.583618,0.181852,0.581124,0.179589,0.578617,0.175593,0.586396,0.182379,0.584671,0.181367,0.582418,0.179273,0.579688,0.175398,0.586406,0.178433,0.58559,0.174505,0.584874,0.170534,0.581958,0.166381,0.579702,0.164098,0.584415,0.132947,0.597472,0.0977996,0.613184,0.0952043,0.637476,0.17941,0.637199,0.1873,0.637985,0.185594,0.63879,0.183897,0.640441,0.180511,0.635074,0.190318,0.636081,0.188655,0.637531,0.185414,0.638944,0.180919,0.633277,0.191912,0.634367,0.1901,0.635917,0.186623,0.637452,0.181673,0.631345,0.190989,0.632438,0.188997,0.633925,0.185912,0.635916,0.181163,0.628207,0.183759,0.62962,0.180057,0.630863,0.176254,0.634252,0.172092,0.637201,0.170075,0.644472,0.138532,0.638624,0.100736,0.623919,0.0957314,0.618232,0.0553503,0.618863,0.0791309,0.61894,0.0905474,0.617912,0.100097,0.616019,0.118996,0.614574,0.131534,0.613152,0.141923,0.611021,0.15514,0.609765,0.162916,0.618396,0.0722014,0.622246,0.0681701,0.614492,0.0689152,0.629442,0.0706425,0.607891,0.0726896,0.618879,0.271459,0.612906,0.272812,0.599871,0.267022,0.606401,0.267775,0.626393,0.279396,0.620318,0.280804,0.597342,0.273604,0.604009,0.274395,0.631229,0.28394,0.625088,0.285383,0.595718,0.277576,0.60247,0.278391,0.638624,0.100736,0.644472,0.138532,0.637201,0.170075,0.597472,0.0977996,0.584415,0.132947,0.579702,0.164098,0.620736,0.168423,0.621968,0.220424,0.616601,0.265457,0.62371,0.277058,0.597588,0.16522,0.6005,0.215402,0.60348,0.260496,0.600824,0.270842,
