Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHandPinkyEE,,RightHandPinky3,,RightHandPinky2,,RightHandPinky1,,RightHandRingEE,,RightHandRing3,,RightHandRing2,,RightHandRing1,,RightHandMiddleEE,,RightHandMiddle3,,RightHandMiddle2,,RightHandMiddle1,,RightHandIndexEE,,RightHandIndex3,,RightHandIndex2,,RightHandIndex1,,RightHandThumbEE,,RightHandThumb3,,RightHandThumb2,,RightHandThumb1,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHandPinkyEE,,LeftHandPinky3,,LeftHandPinky2,,LeftHandPinky1,,LeftHandRingEE,,LeftHandRing3,,LeftHandRing2,,LeftHandRing1,,LeftHandMiddleEE,,LeftHandMiddle3,,LeftHandMiddle2,,LeftHandMiddle1,,LeftHandIndexEE,,LeftHandIndex3,,LeftHandIndex2,,LeftHandIndex1,,LeftHandThumbEE,,LeftHandThumb3,,LeftHandThumb2,,LeftHandThumb1,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.376258,0.511225,0.370057,0.520387,0.358835,0.532793,0.372134,0.428917,0.383895,0.316144,0.316157,0.49669,0.322573,0.50098,0.334479,0.503698,0.327583,0.400597,0.325621,0.317703,0.43004,0.323487,0.429382,0.346479,0.430858,0.342182,0.432209,0.337863,0.434666,0.329172,0.428999,0.349281,0.430163,0.345045,0.431522,0.337629,0.43238,0.328128,0.428841,0.34886,0.430066,0.344603,0.430891,0.337254,0.430167,0.327764,0.426745,0.343573,0.428105,0.339444,0.428822,0.333425,0.427836,0.324978,0.419292,0.333181,0.417966,0.32441,0.418014,0.31661,0.423517,0.306984,0.428925,0.304998,0.421678,0.246752,0.392051,0.152945,0.3518,0.142313,0.29425,0.314969,0.28989,0.336126,0.28805,0.332453,0.286735,0.328098,0.285575,0.319418,0.29108,0.337784,0.290014,0.333405,0.289331,0.326302,0.29008,0.318702,0.294262,0.334212,0.293992,0.33079,0.293961,0.325277,0.294529,0.318552,0.300671,0.330373,0.300239,0.327396,0.299667,0.322978,0.298919,0.316375,0.318266,0.319002,0.313277,0.315347,0.309332,0.310544,0.301902,0.302218,0.29419,0.299423,0.268522,0.244871,0.282858,0.15324,0.323477,0.14229,0.341322,0.0350953,0.337506,0.0997772,0.33452,0.130368,0.332844,0.157853,0.337539,0.207887,0.341835,0.238598,0.345722,0.262617,0.347916,0.298173,0.352549,0.310854,0.34659,0.0820653,0.33564,0.0712119,0.355271,0.0743461,0.31063,0.0753408,0.368805,0.08453,0.325064,0.522466,0.339783,0.520267,0.366645,0.550211,0.351302,0.548532,0.314563,0.509546,0.328752,0.507635,0.377338,0.528241,0.362847,0.526715,0.308634,0.501875,0.322523,0.500124,0.383309,0.515942,0.369284,0.514497,0.282858,0.15324,0.268522,0.244871,0.29419,0.299423,0.392051,0.152945,0.421678,0.246752,0.428925,0.304998,0.325621,0.317703,0.327583,0.400597,0.334479,0.503698,0.322573,0.50098,0.383895,0.316144,0.372134,0.428917,0.358835,0.532793,0.370057,0.520387,
20,0.375177,0.511477,0.369268,0.520616,0.358609,0.532943,0.372074,0.429154,0.383991,0.315841,0.316475,0.496369,0.322794,0.500781,0.334504,0.503725,0.327597,0.400649,0.325683,0.317407,0.430162,0.323353,0.429264,0.346268,0.431074,0.341982,0.432573,0.337625,0.434933,0.328813,0.428301,0.349365,0.430024,0.345101,0.431851,0.337537,0.432597,0.327909,0.427886,0.348961,0.429453,0.3447,0.430718,0.337275,0.430343,0.327691,0.426261,0.343696,0.427692,0.339568,0.428579,0.333537,0.42794,0.325019,0.419578,0.333356,0.418013,0.324519,0.41804,0.316704,0.423388,0.306883,0.428807,0.304654,0.4219,0.246952,0.392102,0.153194,0.351837,0.142261,0.294348,0.315028,0.290335,0.336631,0.288546,0.332784,0.287223,0.328427,0.285779,0.319585,0.292048,0.338398,0.290721,0.33401,0.289699,0.326714,0.290222,0.318825,0.295136,0.334839,0.294645,0.331277,0.294315,0.325555,0.294605,0.318635,0.301164,0.330251,0.30063,0.327307,0.299909,0.322937,0.29894,0.316404,0.318393,0.31872,0.313253,0.3153,0.309493,0.310373,0.302034,0.302092,0.294366,0.299373,0.268866,0.244954,0.282669,0.15315,0.32347,0.142306,0.341257,0.0350918,0.337479,0.0997727,0.334568,0.130377,0.333077,0.157884,0.337869,0.20787,0.342156,0.238526,0.345994,0.262488,0.348196,0.297989,0.3527,0.310592,0.34663,0.0819693,0.335662,0.0711373,0.355287,0.0742689,0.310615,0.0753298,0.368771,0.0845106,0.325169,0.522476,0.339913,0.520192,0.366375,0.55035,0.35094,0.548781,0.314816,0.509362,0.329024,0.507371,0.376551,0.52844,0.361982,0.527009,0.308967,0.501577,0.322873,0.499749,0.382243,0.516158,0.368146,0.514799,0.282669,0.15315,0.268866,0.244954,0.294366,0.299373,0.392102,0.153194,0.4219,0.246952,0.428807,0.304654,0.325683,0.317407,0.327597,0.400649,0.334504,0.503725,0.322794,0.500781,0.383991,0.315841,0.372074,0.429154,0.358609,0.532943,0.369268,0.520616,
40,0.374213,0.51169,0.3686,0.520799,0.358499,0.533038,0.3718,0.429315,0.384245,0.315411,0.316619,0.49614,0.32288,0.500736,0.334444,0.503972,0.327609,0.400925,0.325901,0.317228,0.430136,0.323116,0.428149,0.345676,0.430527,0.341592,0.432347,0.337283,0.434786,0.328406,0.426679,0.349077,0.429172,0.345012,0.431753,0.337396,0.432536,0.327619,0.426191,0.348974,0.428301,0.34479,0.430257,0.337292,0.430374,0.327528,0.425315,0.343767,0.426977,0.339666,0.428201,0.333604,0.428034,0.324943,0.419645,0.333208,0.417972,0.324295,0.418014,0.316475,0.423281,0.306566,0.428559,0.304158,0.421955,0.247147,0.392139,0.153354,0.351811,0.142252,0.294455,0.31513,0.290091,0.337057,0.288553,0.332942,0.287363,0.328535,0.285804,0.319601,0.292732,0.338675,0.29126,0.334295,0.289991,0.32688,0.290264,0.318848,0.296068,0.335089,0.295337,0.331403,0.294676,0.325556,0.294655,0.318652,0.301848,0.329733,0.301185,0.326895,0.300276,0.322702,0.299031,0.316463,0.318531,0.319078,0.313173,0.315953,0.30966,0.310929,0.302351,0.302577,0.294721,0.299835,0.269172,0.245327,0.282354,0.153432,0.323357,0.14237,0.341175,0.0351669,0.337404,0.0998231,0.334602,0.130438,0.333391,0.157971,0.338249,0.207885,0.342506,0.238469,0.346309,0.262362,0.348621,0.297795,0.353006,0.310323,0.346475,0.0818876,0.33552,0.0710845,0.355148,0.0742239,0.310521,0.0753591,0.36868,0.0845598,0.32526,0.522727,0.340019,0.520271,0.366259,0.550421,0.350735,0.548994,0.314965,0.509361,0.329186,0.507211,0.3759,0.528578,0.361255,0.527272,0.309144,0.501401,0.323061,0.49942,0.381302,0.516321,0.367135,0.515079,0.282354,0.153432,0.269172,0.245327,0.294721,0.299835,0.392139,0.153354,0.421955,0.247147,0.428559,0.304158,0.325901,0.317228,0.327609,0.400925,0.334444,0.503972,0.32288,0.500736,0.384245,0.315411,0.3718,0.429315,0.358499,0.533038,0.3686,0.520799,
60,0.373163,0.511885,0.367889,0.52095,0.358425,0.533096,0.371607,0.429366,0.384487,0.315001,0.316486,0.496045,0.322763,0.500831,0.334293,0.504336,0.327559,0.401279,0.326127,0.317239,0.429913,0.323093,0.426587,0.345001,0.429605,0.341371,0.431863,0.337228,0.434603,0.328389,0.424291,0.348406,0.427569,0.34486,0.431142,0.33743,0.432315,0.327601,0.423431,0.348731,0.426209,0.344787,0.429135,0.337366,0.430112,0.327509,0.423043,0.343615,0.425144,0.33962,0.427011,0.333617,0.427751,0.324921,0.419015,0.332972,0.417427,0.324035,0.417715,0.316343,0.423148,0.306516,0.428495,0.304118,0.422324,0.246986,0.392229,0.153282,0.351705,0.142377,0.294829,0.315343,0.290675,0.337476,0.289264,0.33321,0.288077,0.328796,0.286197,0.319844,0.294154,0.339296,0.292481,0.334974,0.290826,0.327435,0.290643,0.319064,0.297613,0.336,0.296547,0.332113,0.295434,0.325964,0.295019,0.318837,0.303039,0.329831,0.302181,0.32698,0.301001,0.322801,0.299385,0.316632,0.31891,0.319373,0.313351,0.31645,0.310058,0.31123,0.302755,0.302852,0.29514,0.300153,0.26927,0.245775,0.282,0.153836,0.323159,0.142528,0.341149,0.0353882,0.337317,0.099992,0.334598,0.130605,0.333634,0.158147,0.338462,0.207997,0.342665,0.238517,0.346456,0.262348,0.348958,0.297711,0.353283,0.310161,0.346382,0.0819627,0.335444,0.0711767,0.355065,0.074342,0.310461,0.0754918,0.368594,0.0847671,0.325351,0.523131,0.340105,0.520406,0.366182,0.550445,0.350564,0.549183,0.314954,0.509545,0.329175,0.507142,0.37521,0.528676,0.360482,0.527514,0.309066,0.501401,0.322986,0.499177,0.380277,0.516459,0.366035,0.515351,0.282,0.153836,0.26927,0.245775,0.29514,0.300153,0.392229,0.153282,0.422324,0.246986,0.428495,0.304118,0.326127,0.317239,0.327559,0.401279,0.334293,0.504336,0.322763,0.500831,0.384487,0.315001,0.371607,0.429366,0.358425,0.533096,0.367889,0.52095,
80,0.37239,0.511831,0.367408,0.52087,0.358486,0.532975,0.371424,0.429253,0.384641,0.314644,0.316332,0.495851,0.322656,0.50083,0.334179,0.504592,0.327595,0.401548,0.326252,0.317507,0.429869,0.32298,0.42517,0.34402,0.42869,0.340993,0.43138,0.337105,0.434571,0.32839,0.42211,0.347216,0.425945,0.344379,0.430476,0.337339,0.432264,0.327525,0.420784,0.348011,0.424145,0.344436,0.428048,0.337239,0.430037,0.327352,0.420626,0.343091,0.423221,0.339269,0.42584,0.333392,0.427669,0.324706,0.41825,0.332423,0.416904,0.323512,0.417492,0.316046,0.423183,0.306437,0.428574,0.304163,0.42267,0.24683,0.392324,0.153196,0.351551,0.142492,0.295313,0.315753,0.292315,0.337986,0.290802,0.3337,0.289412,0.329341,0.286888,0.320519,0.296444,0.340202,0.294457,0.336022,0.292198,0.328442,0.291258,0.319625,0.299831,0.337448,0.298297,0.333392,0.296541,0.326867,0.29557,0.319294,0.304641,0.330654,0.3035,0.327671,0.301944,0.323324,0.299832,0.316957,0.319383,0.319401,0.313724,0.316561,0.310507,0.311101,0.302954,0.30284,0.295314,0.30034,0.269264,0.246024,0.281611,0.154115,0.322895,0.142613,0.341158,0.0355434,0.33723,0.100113,0.33459,0.130743,0.33386,0.158335,0.338556,0.208093,0.342659,0.238541,0.346436,0.26232,0.349173,0.297639,0.353456,0.310106,0.346225,0.0818298,0.335317,0.0710795,0.354945,0.0742947,0.310376,0.0755166,0.368524,0.0849338,0.32555,0.523435,0.340284,0.52038,0.366264,0.550263,0.350576,0.549157,0.314985,0.509652,0.329194,0.506938,0.374755,0.528533,0.359966,0.52751,0.308988,0.501325,0.322898,0.498801,0.379528,0.516345,0.365229,0.515367,0.281611,0.154115,0.269264,0.246024,0.295314,0.30034,0.392324,0.153196,0.42267,0.24683,0.428574,0.304163,0.326252,0.317507,0.327595,0.401548,0.334179,0.504592,0.322656,0.50083,0.384641,0.314644,0.371424,0.429253,0.358486,0.532975,0.367408,0.52087,
100,0.371736,0.51181,0.366995,0.520845,0.358517,0.532964,0.371312,0.429156,0.384688,0.314421,0.316086,0.495732,0.322477,0.500869,0.334022,0.504827,0.3277,0.401734,0.326223,0.317949,0.429976,0.322586,0.424614,0.342847,0.428341,0.340265,0.43128,0.336581,0.434837,0.32796,0.420919,0.345895,0.424975,0.343626,0.430117,0.336937,0.432485,0.327095,0.419058,0.347175,0.422754,0.343901,0.427349,0.336892,0.430225,0.326914,0.418662,0.342622,0.421657,0.338924,0.424931,0.333095,0.427778,0.324286,0.41748,0.331845,0.416363,0.323034,0.417132,0.31575,0.422942,0.306253,0.428325,0.303941,0.422829,0.246751,0.392507,0.153103,0.351488,0.142675,0.295639,0.3162,0.293545,0.338431,0.291937,0.334148,0.290377,0.329841,0.287351,0.321182,0.298394,0.340894,0.296209,0.336823,0.293452,0.329291,0.291697,0.320181,0.302051,0.338585,0.300089,0.334481,0.297665,0.327706,0.296002,0.319745,0.306466,0.331616,0.304979,0.328483,0.302949,0.323932,0.300196,0.317299,0.319692,0.31978,0.314008,0.316815,0.310703,0.311209,0.302897,0.303049,0.295177,0.30074,0.269223,0.246003,0.281298,0.154242,0.322746,0.142744,0.341199,0.0357505,0.337237,0.100283,0.334681,0.130922,0.334122,0.158538,0.338631,0.208229,0.342612,0.238634,0.346351,0.262389,0.349315,0.297682,0.35352,0.310192,0.346209,0.0818237,0.335313,0.0711065,0.35494,0.0743449,0.310391,0.0756409,0.368529,0.0851229,0.325736,0.52373,0.340442,0.520326,0.36632,0.550187,0.350576,0.549212,0.31496,0.509811,0.329149,0.506765,0.374365,0.528451,0.359527,0.527544,0.308825,0.501335,0.322722,0.49849,0.378894,0.516271,0.364549,0.515401,0.281298,0.154242,0.269223,0.246003,0.295177,0.30074,0.392507,0.153103,0.422829,0.246751,0.428325,0.303941,0.326223,0.317949,0.3277,0.401734,0.334022,0.504827,0.322477,0.500869,0.384688,0.314421,0.371312,0.429156,0.358517,0.532964,0.366995,0.520845,
120,0.371512,0.511861,0.366852,0.520905,0.358522,0.533087,0.3713,0.429124,0.384524,0.31433,0.315806,0.49561,0.322266,0.500887,0.333837,0.505015,0.32802,0.401834,0.325954,0.318409,0.429912,0.322445,0.423383,0.341883,0.427238,0.339644,0.43044,0.336217,0.434746,0.327864,0.419003,0.344719,0.423187,0.342958,0.428955,0.336767,0.432372,0.326982,0.416574,0.3463,0.420565,0.343396,0.425932,0.336743,0.43008,0.326788,0.415825,0.342202,0.419316,0.338739,0.423432,0.333051,0.427645,0.324137,0.415856,0.331128,0.415528,0.322433,0.416792,0.315221,0.423139,0.305997,0.428604,0.303736,0.422941,0.246574,0.392654,0.152926,0.351498,0.142848,0.295943,0.316444,0.293629,0.338669,0.292105,0.334342,0.290585,0.330015,0.287551,0.321363,0.299147,0.341345,0.297026,0.337231,0.294181,0.329685,0.291966,0.320373,0.303481,0.339371,0.301352,0.335232,0.298559,0.328267,0.296344,0.319942,0.308106,0.332695,0.306343,0.329375,0.303915,0.324551,0.300593,0.317526,0.319794,0.320936,0.314275,0.317502,0.310904,0.311808,0.303126,0.303516,0.295338,0.301182,0.268939,0.246007,0.28119,0.154532,0.322692,0.142837,0.341274,0.0359225,0.337323,0.100417,0.334843,0.131051,0.334376,0.158658,0.338643,0.208322,0.342474,0.238725,0.346143,0.262489,0.34927,0.297779,0.353371,0.310346,0.346299,0.0819029,0.335405,0.0712054,0.355022,0.0744425,0.310491,0.0757803,0.368598,0.0852579,0.325872,0.523971,0.340549,0.520242,0.366332,0.550278,0.350569,0.549339,0.314893,0.509939,0.329063,0.506585,0.37423,0.528489,0.359374,0.527614,0.308624,0.501332,0.322506,0.49819,0.378676,0.516308,0.364315,0.515468,0.28119,0.154532,0.268939,0.246007,0.295338,0.301182,0.392654,0.152926,0.422941,0.246574,0.428604,0.303736,0.325954,0.318409,0.32802,0.401834,0.333837,0.505015,0.322266,0.500887,0.384524,0.31433,0.3713,0.429124,0.358522,0.533087,0.366852,0.520905,
140,0.371684,0.511832,0.366976,0.52089,0.358559,0.533151,0.371473,0.428969,0.384505,0.314348,0.315884,0.495404,0.322293,0.500806,0.333674,0.505074,0.328238,0.401794,0.325886,0.318882,0.429989,0.322206,0.423666,0.341602,0.427386,0.339202,0.430556,0.335783,0.435196,0.327582,0.418625,0.344256,0.42272,0.342483,0.428584,0.336414,0.432644,0.326697,0.415581,0.345762,0.419589,0.342921,0.425238,0.336397,0.43018,0.32649,0.413965,0.341854,0.417722,0.338507,0.42237,0.332874,0.427555,0.323859,0.414317,0.330628,0.414708,0.322333,0.416288,0.315182,0.422896,0.30603,0.428537,0.303731,0.422833,0.246509,0.392808,0.152775,0.351554,0.142973,0.296087,0.316445,0.293348,0.338684,0.291932,0.334318,0.290498,0.329958,0.287599,0.321252,0.299238,0.341604,0.297251,0.337397,0.294485,0.329809,0.292051,0.320312,0.304165,0.340004,0.302016,0.335832,0.299071,0.328703,0.296462,0.319926,0.309145,0.33393,0.307196,0.330375,0.304492,0.325178,0.300759,0.317566,0.319417,0.322044,0.314381,0.317935,0.311025,0.312158,0.303389,0.30369,0.295603,0.301266,0.268602,0.24582,0.281149,0.154626,0.322713,0.142876,0.341212,0.0359847,0.337397,0.100489,0.335005,0.131139,0.334553,0.158764,0.338622,0.20839,0.342355,0.238786,0.346003,0.262564,0.349264,0.297868,0.353346,0.310539,0.346471,0.0818152,0.335533,0.0711645,0.355144,0.0743738,0.310561,0.0758722,0.368642,0.0852677,0.326015,0.524063,0.340694,0.520067,0.366349,0.55034,0.350598,0.549354,0.315054,0.509943,0.329224,0.506335,0.374342,0.528485,0.359497,0.527568,0.308773,0.501218,0.322656,0.497831,0.378839,0.516297,0.364487,0.515415,0.281149,0.154626,0.268602,0.24582,0.295603,0.301266,0.392808,0.152775,0.422833,0.246509,0.428537,0.303731,0.325886,0.318882,0.328238,0.401794,0.333674,0.505074,0.322293,0.500806,0.384505,0.314348,0.371473,0.428969,0.358559,0.533151,0.366976,0.52089,
160,0.372151,0.511869,0.367281,0.520965,0.358567,0.533349,0.371595,0.428906,0.384624,0.314568,0.31623,0.495213,0.322533,0.500742,0.333611,0.505088,0.32825,0.401689,0.32598,0.319358,0.429914,0.322122,0.422995,0.341407,0.426667,0.338825,0.429894,0.335458,0.435075,0.327576,0.417436,0.343822,0.421543,0.342,0.427614,0.336146,0.432504,0.326656,0.414069,0.345057,0.418155,0.342333,0.424164,0.336081,0.430005,0.326417,0.411985,0.341169,0.41602,0.338069,0.421216,0.332662,0.427401,0.323746,0.412573,0.329657,0.414063,0.321953,0.416043,0.314726,0.423144,0.305812,0.428879,0.303598,0.422696,0.246484,0.392963,0.152666,0.351654,0.143076,0.296191,0.316613,0.293523,0.338923,0.292111,0.334561,0.290675,0.330202,0.287756,0.321493,0.299672,0.341961,0.297742,0.33771,0.29494,0.330135,0.292202,0.320533,0.305101,0.340696,0.302911,0.336532,0.299759,0.329327,0.296616,0.320133,0.310375,0.335276,0.308197,0.331514,0.305146,0.325958,0.300888,0.317737,0.318946,0.322752,0.314468,0.317966,0.311022,0.312125,0.303315,0.303647,0.29549,0.301263,0.268149,0.245554,0.281207,0.154675,0.322809,0.142932,0.340967,0.0360173,0.337429,0.100549,0.335157,0.131214,0.334697,0.158843,0.338662,0.208444,0.342352,0.238853,0.346005,0.262667,0.349329,0.298006,0.35344,0.310818,0.346621,0.0817562,0.335609,0.0711634,0.35521,0.0742984,0.310562,0.0760217,0.368609,0.0851997,0.326268,0.524114,0.340964,0.519873,0.366331,0.550556,0.350614,0.54946,0.315429,0.50996,0.32961,0.506118,0.374628,0.528595,0.359813,0.527578,0.309191,0.501111,0.323081,0.497496,0.379288,0.516375,0.364964,0.5154,0.281207,0.154675,0.268149,0.245554,0.29549,0.301263,0.392963,0.152666,0.422696,0.246484,0.428879,0.303598,0.32598,0.319358,0.32825,0.401689,0.333611,0.505088,0.322533,0.500742,0.384624,0.314568,0.371595,0.428906,0.358567,0.533349,0.367281,0.520965,
180,0.372815,0.511812,0.367735,0.520992,0.358627,0.53359,0.371591,0.428968,0.384712,0.314789,0.31637,0.495167,0.322638,0.50078,0.333547,0.505133,0.328295,0.40158,0.32604,0.319824,0.429779,0.322084,0.422671,0.34155,0.426232,0.338669,0.429428,0.33525,0.434892,0.327565,0.416739,0.343846,0.420826,0.341785,0.426927,0.335943,0.43232,0.326639,0.413193,0.344753,0.417279,0.341998,0.423431,0.335861,0.429812,0.326396,0.410692,0.340667,0.414867,0.337732,0.420385,0.332502,0.427231,0.323712,0.411232,0.328804,0.413613,0.321852,0.415801,0.314448,0.423216,0.305666,0.428994,0.303483,0.422579,0.246514,0.393099,0.15262,0.351777,0.143184,0.296224,0.316805,0.293614,0.339197,0.292211,0.334844,0.290782,0.330491,0.287875,0.321779,0.299872,0.342276,0.297998,0.338002,0.295202,0.330443,0.292301,0.3208,0.305724,0.341293,0.303545,0.337133,0.300272,0.329887,0.296701,0.320393,0.311356,0.336473,0.30898,0.332547,0.305631,0.326692,0.300929,0.317951,0.318307,0.323315,0.314448,0.317878,0.310959,0.311956,0.303152,0.303512,0.295296,0.301169,0.267793,0.245287,0.281292,0.154726,0.322932,0.14299,0.340823,0.0360736,0.337505,0.100622,0.335328,0.131298,0.334848,0.158935,0.33871,0.208504,0.342358,0.23892,0.346009,0.262767,0.349384,0.298137,0.353509,0.311091,0.346697,0.0816876,0.335642,0.0711512,0.355242,0.0742281,0.310587,0.0761595,0.368624,0.0851655,0.326499,0.524208,0.34119,0.519732,0.366374,0.550796,0.350707,0.549564,0.315664,0.510082,0.32984,0.506015,0.375062,0.528655,0.36029,0.527517,0.309399,0.501149,0.323284,0.497316,0.379933,0.516364,0.365649,0.515275,0.281292,0.154726,0.267793,0.245287,0.295296,0.301169,0.393099,0.15262,0.422579,0.246514,0.428994,0.303483,0.32604,0.319824,0.328295,0.40158,0.333547,0.505133,0.322638,0.50078,0.384712,0.314789,0.371591,0.428968,0.358627,0.53359,0.367735,0.520992,
