Timestamps [ms],RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHandPinkyEE,,,RightHandPinky3,,,RightHandPinky2,,,RightHandPinky1,,,RightHandRingEE,,,RightHandRing3,,,RightHandRing2,,,RightHandRing1,,,RightHandMiddleEE,,,RightHandMiddle3,,,RightHandMiddle2,,,RightHandMiddle1,,,RightHandIndexEE,,,RightHandIndex3,,,RightHandIndex2,,,RightHandIndex1,,,RightHandThumbEE,,,RightHandThumb3,,,RightHandThumb2,,,RightHandThumb1,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHandPinkyEE,,,LeftHandPinky3,,,LeftHandPinky2,,,LeftHandPinky1,,,LeftHandRingEE,,,LeftHandRing3,,,LeftHandRing2,,,LeftHandRing1,,,LeftHandMiddleEE,,,LeftHandMiddle3,,,LeftHandMiddle2,,,LeftHandMiddle1,,,LeftHandIndexEE,,,LeftHandIndex3,,,LeftHandIndex2,,,LeftHandIndex1,,,LeftHandThumbEE,,,LeftHandThumb3,,,LeftHandThumb2,,,LeftHandThumb1,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
0,-987.976,2942.74,705.35,-1057.42,2922.2,691.412,-1172.56,2884.83,653.321,-1143.18,2806.6,274.904,-1077.53,2729.42,-115.912,-880.836,2682.42,785.547,-942.046,2712.51,757.496,-1040.06,2761.29,693.323,-968.187,2660.31,326.147,-1044.6,2563.37,-58.2601,-990.209,2848.37,-128.916,-1028.36,2844.65,-76.0396,-1019.26,2856.08,-80.3878,-1013.34,2864.46,-91.6713,-1011.34,2870.23,-121.545,-1015.79,2832.29,-66.8176,-1005.78,2844.24,-65.6973,-994.448,2860.56,-84.4789,-997.349,2861.91,-119.487,-999.772,2821.78,-60.4881,-989.473,2833.97,-59.2287,-978.337,2851.45,-78.0787,-982.264,2854.63,-115.36,-982.257,2817.39,-61.0528,-972.07,2830.05,-63.2742,-964.507,2843.4,-82.5189,-971.197,2843.54,-118.821,-975.685,2829.69,-81.2056,-979.159,2813.43,-106.541,-990.544,2802.45,-132.384,-1000.27,2806.69,-169.52,-1019.88,2820.23,-184.937,-1150.9,2768.33,-384.737,-1135.7,2617.12,-612.344,-1118.9,2503.85,-605.231,-943.847,2472.67,7.4502,-978.347,2485.47,53.519,-965.565,2479.68,59.4827,-956.171,2469.03,53.9293,-957.715,2453.39,27.8038,-969.354,2507.22,59.4246,-956.229,2501.22,65.4066,-940.96,2481.57,54.0682,-947.466,2465.46,23.5115,-957.242,2526.3,61.9852,-943.744,2518.5,65.6191,-929.8,2497.75,52.9769,-936.121,2478.28,21.409,-948.073,2536.26,50.6801,-934.511,2527.31,52.9802,-923.133,2508.75,41.5067,-928.797,2488.34,11.2771,-943.453,2520.7,33.0995,-948.874,2515.99,3.93857,-959.285,2505.19,-22.0764,-961.352,2477.7,-48.7261,-973.529,2452.25,-51.8201,-1094.66,2352.52,-239.332,-1108.77,2337.14,-512.217,-1101.71,2429.04,-580.531,-1110.54,2401.82,-865.493,-1113.8,2437.35,-701.337,-1132.65,2452.12,-620.855,-1168.02,2467.75,-548.759,-1152.02,2514.9,-417.1,-1130.44,2548.55,-330.925,-1109.4,2577.21,-259.614,-1119.84,2610.41,-157.159,-1080.66,2634.4,-110.444,
20,-986.939,2942,704.49,-1056.57,2921.8,690.995,-1172.13,2884.93,653.691,-1141.59,2806.46,275.417,-1081.33,2729.14,-116.239,-880.857,2682.64,785.873,-941.829,2712.75,757.331,-1039.36,2761.45,692.363,-967.572,2658.66,325.675,-1048.38,2563.22,-58.2092,-989.991,2848.03,-129.313,-1029.62,2846.85,-77.8506,-1019.95,2858.04,-81.543,-1013.37,2866.06,-92.7162,-1010.69,2870.55,-122.756,-1017.11,2833.66,-67.6378,-1006.84,2845.37,-66.4472,-994.72,2861.12,-85.2272,-996.936,2861.95,-120.301,-1000.38,2821.47,-60.8024,-989.791,2833.43,-59.7006,-978.323,2850.71,-78.5353,-982.092,2854.41,-115.785,-983.106,2816.38,-61.0804,-972.605,2828.78,-63.3638,-964.712,2842.07,-82.5086,-971.249,2842.98,-118.828,-976.432,2828.97,-80.6829,-980.075,2812.58,-105.906,-991.398,2801.61,-131.785,-1000.47,2805.67,-169.105,-1019.53,2819.32,-185.117,-1150.06,2768.31,-385.467,-1136.3,2616.42,-612.718,-1119.27,2503.21,-605.262,-944.33,2472.47,7.89224,-979.886,2484.21,53.665,-967.096,2478.6,59.7817,-957.368,2468.22,54.3031,-957.979,2452.79,28.0108,-970.684,2506.55,59.2822,-957.514,2500.81,65.4289,-941.811,2481.36,54.3576,-947.784,2464.95,23.8481,-958.14,2526.67,61.1052,-944.527,2519.17,64.9405,-930.325,2498.26,52.8652,-936.471,2477.83,21.8782,-948.684,2537.25,50.1565,-935.075,2528.37,52.4359,-923.701,2509.56,41.3724,-929.256,2488.08,11.8679,-944.849,2521.46,33.5957,-949.817,2517.29,4.27151,-960.249,2506.35,-21.6777,-962.398,2478.56,-48.001,-974.584,2453.16,-51.4593,-1094.79,2352.73,-239.202,-1108.57,2336.72,-512.067,-1101.48,2428.59,-580.418,-1111.32,2400.82,-865.719,-1113.83,2436.56,-701.595,-1132.53,2451.26,-621.064,-1168.45,2466.6,-549.176,-1153.99,2513.92,-417.401,-1133.18,2547.8,-331.133,-1112.62,2576.64,-259.752,-1123.41,2610.01,-157.385,-1084.37,2634.12,-110.611,
40,-986.996,2940.56,704.783,-1056.85,2920.92,691.612,-1172.86,2884.88,654.893,-1139.18,2805.45,277.087,-1086.8,2729.23,-115.915,-882.682,2680.57,787.079,-942.958,2711.55,757.994,-1039.09,2761.55,691.942,-967.222,2658.11,325.452,-1055.12,2563.36,-57.0421,-990.233,2848.42,-129.622,-1030.36,2847.07,-79.27,-1020.9,2858.66,-82.2264,-1014.32,2866.82,-93.2896,-1011.74,2870.29,-123.474,-1017.13,2833.78,-68.1849,-1007.29,2845.85,-66.9624,-995.611,2861.88,-85.7843,-997.674,2862.25,-120.876,-998.962,2820.83,-61.0742,-988.836,2833.2,-60.2452,-978.344,2851.07,-79.0997,-982.557,2855.35,-116.239,-981.66,2815.88,-61.3044,-971.685,2828.66,-63.7934,-964.549,2842.53,-82.8271,-971.305,2844.27,-119.076,-976.062,2829.42,-80.2175,-979.036,2812.78,-105.362,-990.043,2801.38,-131.192,-999.202,2804.92,-168.546,-1018.76,2817.54,-184.788,-1149.19,2768.5,-385.697,-1135.01,2615.88,-612.43,-1118.11,2502.67,-604.702,-944.052,2471.75,8.06274,-979.826,2480.87,54.3237,-966.886,2475.4,60.2433,-956.856,2465.51,54.4178,-956.94,2451,27.5975,-970.456,2503.67,60.1927,-957.099,2498.15,66.1227,-941.038,2479.31,54.5157,-946.938,2463.41,23.7213,-957.692,2524.76,61.6739,-943.854,2517.56,65.2719,-929.433,2496.96,52.9255,-935.747,2476.43,22.0329,-948.158,2536.5,51.2022,-934.428,2527.69,52.9403,-923.147,2509,41.5655,-928.913,2487.23,12.3225,-945.685,2520.92,35.3472,-950.443,2518.47,5.7959,-961.407,2507.96,-20.1141,-964.012,2480.57,-46.814,-976.209,2455.31,-51.1522,-1095.57,2353.15,-238.494,-1109.56,2336.13,-511.286,-1101.1,2427.99,-579.494,-1111.34,2399.54,-865.39,-1112.97,2435.67,-701.338,-1131.61,2450.65,-620.847,-1168.46,2466.3,-549.499,-1156.2,2513.65,-417.51,-1136.57,2547.56,-330.979,-1116.89,2576.47,-259.377,-1128.8,2610.13,-157.233,-1090.24,2634.24,-110.063,
60,-988.342,2937.4,707.484,-1058.48,2918.92,694.153,-1175,2884.77,657.25,-1136.16,2805.56,279.893,-1094.43,2728.74,-114.266,-885.312,2677.04,787.657,-944.796,2709.16,758.187,-1039.32,2760.94,691.179,-967.129,2659.1,324.301,-1065.54,2562.45,-55.1428,-990.388,2848.76,-129.953,-1030.49,2847.04,-80.4827,-1021.36,2859.04,-82.7559,-1014.89,2867.4,-93.7388,-1012.63,2869.95,-124.039,-1016.63,2833.78,-68.6252,-1007.24,2846.21,-67.4165,-996.125,2862.53,-86.3334,-998.251,2862.49,-121.423,-997.293,2820.4,-61.319,-987.669,2833.18,-60.8374,-978.191,2851.53,-79.7729,-982.842,2856.26,-116.805,-979.91,2815.4,-61.588,-970.547,2828.57,-64.4102,-964.255,2842.95,-83.3672,-971.214,2845.54,-119.526,-975.603,2829.84,-79.758,-977.804,2812.9,-104.784,-988.717,2801.16,-130.5,-998.121,2804.13,-167.842,-1018.3,2815.66,-184.136,-1148.92,2768.97,-385.479,-1133.18,2615.75,-611.695,-1115.32,2502.68,-603.939,-944.532,2471.48,8.59976,-981.367,2480.14,53.9192,-968.578,2474.72,60.1991,-958.346,2464.89,54.6205,-957.658,2450.51,27.7418,-971.554,2503.19,59.8429,-958.314,2497.74,66.093,-942.033,2478.84,54.8972,-947.453,2462.82,24.079,-958.359,2524.67,61.027,-944.574,2517.55,64.976,-930.016,2496.71,53.2096,-936.031,2475.66,22.608,-948.211,2537.13,50.9348,-934.624,2528.12,52.7508,-923.506,2509.09,41.806,-929.07,2486.56,13.1007,-947.255,2521.31,36.2107,-950.748,2520.17,6.40424,-961.832,2509.55,-19.4066,-964.751,2481.97,-45.8847,-977.458,2457.06,-50.721,-1096.35,2353.57,-237.628,-1110.52,2335.96,-510.375,-1099.83,2427.84,-578.24,-1109.43,2398.68,-864.944,-1110.48,2435.23,-700.982,-1129.32,2450.65,-620.619,-1167.58,2466.9,-550.153,-1158.5,2514.2,-417.889,-1140.69,2547.91,-330.885,-1122.45,2576.55,-258.798,-1136.47,2610.12,-156.889,-1098.81,2633.77,-108.766,
80,-990.024,2935.21,709.421,-1060.32,2917.41,695.97,-1177.11,2884.37,658.909,-1133.2,2805.74,281.985,-1101.44,2728.92,-113.101,-888.457,2673.08,788.187,-946.984,2706.66,758.42,-1039.7,2760.64,690.631,-967.894,2660.45,323.225,-1075.89,2562.35,-53.2289,-990.73,2849.02,-130.06,-1030.63,2846.14,-81.3207,-1021.97,2858.58,-82.9751,-1015.75,2867.27,-93.845,-1013.8,2869.32,-124.205,-1016.13,2833.14,-68.9072,-1007.27,2845.95,-67.6537,-996.877,2862.74,-86.5698,-999.078,2862.54,-121.654,-996.037,2819.93,-61.4648,-987.024,2833.16,-61.2366,-978.522,2851.97,-80.1744,-983.357,2857.06,-117.135,-978.476,2814.95,-61.7952,-969.847,2828.55,-64.8989,-964.384,2843.42,-83.7326,-971.307,2846.82,-119.832,-975.517,2830.1,-79.1376,-976.612,2812.98,-104.116,-987.403,2801.01,-129.774,-996.974,2803.46,-167.111,-1017.84,2813.83,-183.328,-1149.16,2769.9,-384.831,-1131.1,2616.05,-610.454,-1111.83,2503.2,-602.994,-944.881,2471.49,8.68399,-982.253,2479.53,53.244,-969.54,2474.31,59.8427,-959.101,2464.58,54.4688,-957.929,2450.25,27.5815,-972.29,2502.72,59.3007,-959.086,2497.46,65.7908,-942.533,2478.64,54.8557,-947.67,2462.55,24.0267,-959.103,2524.32,60.426,-945.294,2517.4,64.628,-930.454,2496.58,53.1743,-936.161,2475.33,22.6572,-948.661,2537.53,50.5743,-935.102,2528.48,52.4006,-923.96,2509.33,41.6752,-929.234,2486.35,13.2749,-949.168,2521.6,36.6362,-951.385,2521.78,6.6868,-962.683,2510.88,-18.9142,-965.73,2483.23,-45.3065,-978.709,2458.52,-50.4641,-1097,2353.63,-236.975,-1111.8,2336.13,-509.694,-1098.35,2428.08,-576.97,-1107.77,2398.98,-864.641,-1107.77,2435.52,-700.673,-1126.64,2451.27,-620.383,-1166.25,2468.22,-550.832,-1160.3,2515.21,-418.281,-1144.3,2548.6,-330.8,-1127.51,2576.99,-258.265,-1143.7,2610.75,-156.741,-1107.01,2634,-107.69,
100,-990.695,2935.35,709.406,-1061.01,2917.58,696.012,-1177.84,2884.51,659.098,-1130.18,2804.79,282.858,-1105.83,2730.7,-113.274,-891.097,2670.05,788.929,-948.716,2704.85,758.795,-1039.75,2760.51,690.087,-967.624,2660.62,322.659,-1083.54,2564.22,-51.8735,-990.536,2848.99,-130.023,-1030.27,2845.93,-81.8008,-1021.74,2858.5,-83.0287,-1015.56,2867.34,-93.8069,-1013.78,2869.1,-124.195,-1015.57,2832.95,-69.0166,-1006.86,2845.86,-67.736,-996.673,2862.78,-86.6471,-998.944,2862.54,-121.727,-995.636,2819.82,-61.4272,-986.816,2833.18,-61.39,-978.512,2852.05,-80.3585,-983.099,2857.33,-117.324,-978.055,2814.41,-61.8039,-969.704,2828.13,-65.1407,-964.427,2843.15,-83.9058,-970.959,2847.19,-120.013,-975.762,2829.76,-78.3817,-976.131,2812.52,-103.298,-987.148,2800.62,-128.895,-996.686,2802.77,-166.259,-1017.88,2812.62,-182.369,-1149.48,2771.08,-384.204,-1129.82,2616.28,-609.037,-1108.53,2503.76,-602.03,-945.569,2472.19,8.75064,-983.738,2480.27,52.0523,-971.196,2475.36,59.198,-960.531,2465.64,54.2724,-958.775,2451,27.5869,-973.831,2503.52,58.153,-960.755,2498.54,65.1021,-943.838,2479.69,54.8063,-948.446,2463.25,24.0756,-960.887,2524.98,59.3916,-947.117,2518.3,64.0781,-931.838,2497.48,53.2077,-936.872,2475.97,22.7539,-950.277,2538.62,49.6941,-936.728,2529.62,51.8443,-925.31,2510.39,41.5715,-929.865,2486.97,13.4038,-951.761,2522.53,36.2985,-952.349,2523.47,6.28687,-963.487,2511.99,-19.1338,-966.201,2484.09,-45.2892,-979.282,2459.45,-50.5115,-1097.51,2353.23,-236.31,-1113.18,2336.36,-509.021,-1097.45,2428.34,-575.765,-1107.71,2399.56,-864.359,-1105.96,2435.95,-700.366,-1124.51,2452.1,-620.08,-1165.05,2470.02,-551.315,-1161.4,2516.77,-418.598,-1146.68,2549.93,-330.804,-1130.91,2578.29,-258.028,-1148.68,2612.77,-157.014,-1112.68,2635.9,-107.387,
120,-990.789,2936.22,708.209,-1061.08,2918.26,694.984,-1177.88,2884.77,658.34,-1128.53,2803.77,282.595,-1108.56,2733.18,-114.424,-892.829,2669.25,789.59,-949.99,2704.59,759.213,-1040.21,2760.67,689.782,-967.608,2660.03,322.656,-1089.24,2567.12,-50.9438,-990.326,2848.75,-129.452,-1029.78,2845.11,-81.4358,-1021.25,2857.71,-82.28,-1015.07,2866.75,-92.895,-1013.5,2868.83,-123.274,-1014.97,2831.95,-68.6818,-1006.25,2844.84,-67.2498,-996.163,2862.03,-85.9639,-998.62,2862.29,-121.031,-995.636,2818.96,-61.2163,-986.834,2832.33,-61.1443,-978.438,2851.34,-79.935,-982.705,2857.09,-116.869,-978.191,2813.15,-61.7745,-969.897,2826.91,-65.0899,-964.528,2842.15,-83.6472,-970.598,2846.96,-119.74,-976.142,2828.5,-77.491,-976.044,2811.51,-102.583,-987.431,2800.09,-128.237,-996.983,2802.51,-165.581,-1018.43,2812.33,-181.368,-1149.65,2772.02,-383.697,-1128.83,2616.35,-607.83,-1105.7,2504.17,-601.22,-946.22,2473.02,8.92163,-984.616,2481.41,51.438,-972.158,2476.9,58.9836,-961.333,2467.18,54.4337,-959.352,2452.04,28.0414,-974.883,2504.74,57.3093,-961.857,2500.11,64.5883,-944.661,2481.22,54.8456,-949.055,2464.27,24.3617,-962.36,2525.99,58.5357,-948.577,2519.59,63.5709,-932.915,2498.82,53.1651,-937.511,2477,22.8638,-951.987,2539.74,48.7611,-938.369,2530.92,51.1976,-926.607,2511.7,41.307,-930.542,2487.9,13.3662,-954.019,2523.5,35.681,-953.444,2524.62,5.67529,-964.496,2512.49,-19.4771,-966.953,2484.2,-45.2338,-979.987,2459.46,-50.1275,-1097.4,2352.39,-235.953,-1114.02,2336.35,-508.658,-1096.88,2428.49,-574.835,-1108.15,2400.41,-864.235,-1104.67,2436.42,-700.187,-1122.83,2452.85,-619.867,-1164.01,2471.68,-551.729,-1162.04,2518.21,-418.9,-1148.24,2551.24,-330.908,-1133.21,2579.76,-258.037,-1152.13,2615.32,-157.607,-1116.64,2638.54,-107.658,
140,-990.836,2938.8,706.609,-1060.93,2919.93,693.591,-1177.37,2884.88,657.292,-1127.6,2802.98,281.796,-1108.77,2735.6,-115.834,-893.268,2669.87,789.771,-950.372,2705.26,759.343,-1040.54,2760.89,689.488,-967.328,2659.33,322.737,-1092.65,2569.91,-50.4965,-990.297,2848.81,-129.193,-1029.56,2844.62,-81.2927,-1021.1,2857.29,-81.9308,-1014.98,2866.47,-92.4524,-1013.53,2868.76,-122.823,-1014.61,2831.47,-68.566,-1005.96,2844.39,-67.0592,-996.024,2861.79,-85.6644,-998.588,2862.32,-120.721,-995.89,2818.94,-61.1475,-987.162,2832.36,-61.0413,-978.691,2851.41,-79.7526,-982.597,2857.24,-116.715,-978.671,2813.04,-61.8506,-970.431,2826.85,-65.0913,-964.909,2842.17,-83.5373,-970.456,2847.18,-119.688,-976.613,2828.08,-76.9108,-975.994,2811.25,-102.102,-987.52,2800.01,-127.774,-997.04,2802.43,-165.126,-1018.71,2812.07,-180.71,-1149.79,2772.91,-383.358,-1128.79,2616.6,-607.029,-1104.02,2504.76,-600.74,-947.013,2473.52,9.22003,-985.876,2483.13,50.7748,-973.637,2478.71,58.714,-962.847,2468.76,54.5857,-960.704,2453.07,28.5258,-975.985,2506.33,56.4208,-963.167,2501.75,64.0912,-946.011,2482.48,55.0372,-950.183,2465.09,24.7722,-963.503,2527.15,57.7671,-949.896,2520.71,63.2149,-934.207,2499.68,53.3889,-938.437,2477.63,23.2081,-953.2,2540.54,47.9925,-939.709,2531.65,50.8581,-927.821,2512.27,41.4438,-931.183,2488.25,13.6161,-955.441,2524.22,35.006,-953.589,2525.12,5.0448,-964.349,2512.71,-20.0972,-966.848,2484.02,-45.4055,-980.172,2459.39,-50.0392,-1096.76,2351.54,-235.932,-1114.17,2336.47,-508.642,-1096.78,2428.93,-574.298,-1109.31,2401.38,-864.239,-1104.27,2437.09,-700.165,-1121.99,2453.71,-619.786,-1163.49,2473.2,-552.026,-1162.47,2519.63,-419.15,-1149.11,2552.62,-331.078,-1134.39,2581.31,-258.208,-1153.73,2617.99,-158.264,-1118.38,2641.17,-108.198,
160,-990.875,2940.97,705.525,-1060.77,2921.35,692.517,-1176.82,2885.01,656.232,-1127.3,2802.99,280.729,-1107.89,2737.33,-117.161,-893.713,2670.44,789.741,-950.803,2705.89,759.36,-1041.08,2761.09,689.298,-966.907,2659.34,322.79,-1094.51,2572.06,-50.1742,-990.739,2848.53,-128.701,-1029.82,2843.85,-80.8621,-1021.4,2856.56,-81.3036,-1015.34,2865.88,-91.7366,-1014.01,2868.36,-122.098,-1014.81,2830.55,-68.2148,-1006.2,2843.49,-66.6153,-996.385,2861.11,-85.0782,-999.031,2861.97,-120.122,-996.619,2818.38,-60.9061,-987.934,2831.82,-60.7007,-979.375,2850.97,-79.2763,-982.991,2856.95,-116.244,-979.708,2812.51,-61.8377,-971.455,2826.37,-64.8589,-965.723,2841.81,-83.1399,-970.826,2846.95,-119.337,-977.372,2827.23,-76.3174,-976.414,2810.69,-101.689,-987.962,2799.64,-127.432,-997.522,2802.26,-164.761,-1019.34,2811.86,-180.16,-1150,2773.86,-383.302,-1129.63,2616.71,-606.439,-1103.16,2505.24,-600.428,-946.984,2473.71,8.99493,-985.832,2483.56,50.6535,-973.587,2479.02,58.5157,-962.865,2469.01,54.3456,-960.777,2453.31,28.2892,-975.91,2506.59,56.2579,-963.118,2501.93,63.9219,-946.031,2482.61,54.8463,-950.203,2465.29,24.5446,-963.585,2527.19,57.8493,-950.02,2520.63,63.2634,-934.349,2499.64,53.3369,-938.404,2477.77,22.9906,-953.697,2540.31,48.1488,-940.235,2531.38,51.0091,-928.208,2512.13,41.5025,-931.097,2488.37,13.4046,-955.85,2524.12,34.8596,-953.362,2525.15,4.94852,-963.952,2513,-20.3899,-966.728,2484.28,-45.648,-980.149,2459.71,-50.293,-1096.06,2350.71,-235.938,-1114.24,2336.58,-508.649,-1097.21,2429.27,-574.084,-1110.43,2402.58,-864.377,-1104.41,2437.83,-700.236,-1121.84,2454.5,-619.804,-1163.45,2474.44,-552.245,-1162.81,2520.6,-419.27,-1149.57,2553.48,-331.139,-1134.9,2582.28,-258.304,-1154.28,2619.97,-158.744,-1118.9,2643.12,-108.693,
180,-990.952,2942.83,705.219,-1060.61,2922.45,692.11,-1176.2,2884.84,655.659,-1127.26,2803.31,279.975,-1106.32,2738.16,-117.921,-892.968,2671.31,789.313,-950.323,2706.56,759.204,-1041.21,2760.92,689.282,-966.489,2659.59,322.773,-1095.08,2573.1,-50.0377,-991.132,2848.62,-128.595,-1029.9,2843.93,-80.6956,-1021.57,2856.69,-81.0422,-1015.59,2866.04,-91.4951,-1014.49,2868.31,-121.882,-1014.87,2830.43,-68.0285,-1006.34,2843.42,-66.4606,-996.692,2861.11,-84.9437,-999.463,2862.01,-119.976,-996.993,2818.53,-60.7872,-988.381,2832.03,-60.5966,-979.862,2851.18,-79.1852,-983.375,2857.08,-116.174,-980.376,2812.8,-62.0089,-972.132,2826.69,-64.861,-966.289,2842.18,-83.0753,-971.166,2847.16,-119.325,-977.673,2827.18,-76.1387,-976.55,2810.8,-101.611,-988.02,2799.68,-127.356,-997.81,2802.31,-164.624,-1019.76,2811.78,-179.92,-1150.11,2774.19,-383.332,-1131.03,2616.75,-606.384,-1103.05,2505.65,-600.392,-946.574,2473.26,8.64627,-985.428,2483.85,50.7095,-973.19,2478.8,58.2733,-962.721,2468.62,53.9129,-960.783,2453.01,27.7903,-975.139,2506.57,56.2735,-962.42,2501.5,63.7999,-945.719,2481.93,54.5475,-949.986,2464.81,24.1404,-962.617,2526.86,58.0808,-949.2,2519.88,63.3352,-933.9,2498.71,53.2108,-937.962,2477.09,22.6872,-952.901,2539.58,48.4964,-939.629,2530.33,51.2399,-927.778,2511.06,41.5652,-930.441,2487.61,13.1796,-955.07,2523.56,34.7516,-951.96,2524.71,4.90317,-962.445,2513.13,-20.7473,-965.974,2484.48,-45.9904,-979.818,2460.18,-50.8073,-1095.22,2350.28,-236.244,-1113.69,2336.51,-508.953,-1097.94,2429.58,-574.168,-1111.55,2403.37,-864.556,-1105,2438.4,-700.389,-1122.24,2455.15,-619.932,-1163.77,2475.38,-552.407,-1162.98,2521.3,-419.35,-1149.59,2554.04,-331.189,-1134.78,2582.83,-258.38,-1153.98,2621.14,-159.021,-1118.46,2644.13,-108.993,
