Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHandPinkyEE,,RightHandPinky3,,RightHandPinky2,,RightHandPinky1,,RightHandRingEE,,RightHandRing3,,RightHandRing2,,RightHandRing1,,RightHandMiddleEE,,RightHandMiddle3,,RightHandMiddle2,,RightHandMiddle1,,RightHandIndexEE,,RightHandIndex3,,RightHandIndex2,,RightHandIndex1,,RightHandThumbEE,,RightHandThumb3,,RightHandThumb2,,RightHandThumb1,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHandPinkyEE,,LeftHandPinky3,,LeftHandPinky2,,LeftHandPinky1,,LeftHandRingEE,,LeftHandRing3,,LeftHandRing2,,LeftHandRing1,,LeftHandMiddleEE,,LeftHandMiddle3,,LeftHandMiddle2,,LeftHandMiddle1,,LeftHandIndexEE,,LeftHandIndex3,,LeftHandIndex2,,LeftHandIndex1,,LeftHandThumbEE,,LeftHandThumb3,,LeftHandThumb2,,LeftHandThumb1,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.59472,0.275263,0.596755,0.270256,0.599971,0.260448,0.597941,0.215611,0.595249,0.16686,0.630052,0.281375,0.624985,0.27637,0.616477,0.26642,0.618422,0.222378,0.618634,0.168863,0.579437,0.171371,0.581802,0.177099,0.580174,0.177166,0.578707,0.176174,0.576951,0.172638,0.583659,0.178111,0.582145,0.178911,0.579391,0.177379,0.57804,0.172909,0.585187,0.178908,0.583644,0.179746,0.580732,0.178238,0.579068,0.173507,0.585704,0.179089,0.583976,0.179501,0.581584,0.177704,0.58035,0.172908,0.583426,0.177117,0.584679,0.173209,0.58525,0.169245,0.583466,0.164422,0.581243,0.162542,0.5815,0.132714,0.593405,0.0969384,0.608648,0.0933647,0.63338,0.176266,0.632799,0.181862,0.63386,0.182731,0.635191,0.18186,0.636467,0.177874,0.63017,0.183625,0.631256,0.184502,0.633653,0.182708,0.634812,0.178003,0.627812,0.184942,0.629062,0.185467,0.63155,0.183432,0.633126,0.17847,0.626204,0.184078,0.627563,0.184389,0.629772,0.182512,0.631522,0.177696,0.627758,0.18136,0.627435,0.177284,0.627987,0.173269,0.630815,0.168733,0.634027,0.167119,0.640488,0.136577,0.63405,0.0992484,0.619544,0.0937435,0.613874,0.0527337,0.61444,0.0773822,0.614988,0.0890268,0.615064,0.0992283,0.613137,0.118741,0.611572,0.131602,0.610189,0.142268,0.60911,0.156474,0.607623,0.164047,0.610054,0.0719128,0.614818,0.0674174,0.607048,0.0680716,0.624579,0.0690013,0.602929,0.0707895,0.620687,0.271332,0.614996,0.274118,0.596776,0.267051,0.603134,0.267654,0.628485,0.277819,0.622685,0.280679,0.593518,0.273098,0.600001,0.273738,0.633361,0.281648,0.627492,0.284555,0.591448,0.276806,0.598008,0.27747,0.63405,0.0992484,0.640488,0.136577,0.634027,0.167119,0.593405,0.0969384,0.5815,0.132714,0.581243,0.162542,0.618634,0.168863,0.618422,0.222378,0.616477,0.26642,0.624985,0.27637,0.595249,0.16686,0.597941,0.215611,0.599971,0.260448,0.596755,0.270256,
20,0.594785,0.275186,0.596791,0.270231,0.59997,0.260508,0.597975,0.215714,0.595274,0.16673,0.630033,0.281419,0.624951,0.276367,0.616431,0.266343,0.618623,0.222285,0.618635,0.168783,0.579467,0.171312,0.581464,0.17692,0.579888,0.177075,0.578467,0.176099,0.576867,0.17251,0.583459,0.178026,0.581978,0.178832,0.579294,0.177297,0.578006,0.172815,0.585217,0.178843,0.583698,0.179659,0.580812,0.178154,0.579082,0.173449,0.585834,0.179029,0.584139,0.179431,0.581756,0.177652,0.580422,0.172885,0.583537,0.177141,0.584812,0.173239,0.585379,0.169273,0.583612,0.164434,0.581354,0.162493,0.581477,0.132631,0.593484,0.0968562,0.60873,0.0933321,0.633416,0.176305,0.632957,0.181798,0.633999,0.182693,0.6353,0.18185,0.63655,0.177873,0.630244,0.18355,0.6313,0.184459,0.633683,0.182716,0.634887,0.17802,0.627729,0.184821,0.628946,0.185384,0.631474,0.183423,0.633199,0.178506,0.626052,0.184031,0.627402,0.184343,0.629655,0.18251,0.631571,0.177752,0.627663,0.181418,0.627265,0.177352,0.627837,0.173342,0.630714,0.168837,0.633907,0.167177,0.640461,0.136601,0.634113,0.099253,0.619609,0.0937417,0.613999,0.0526598,0.614538,0.0773128,0.615096,0.0889632,0.615202,0.0991229,0.613247,0.118642,0.611651,0.131509,0.610246,0.142178,0.609143,0.156364,0.607642,0.163941,0.609842,0.071775,0.614664,0.0672969,0.60693,0.0679458,0.624598,0.0689284,0.603039,0.0707003,0.620588,0.271251,0.614899,0.274023,0.596734,0.267127,0.603098,0.267739,0.628425,0.277817,0.622627,0.280663,0.593532,0.273079,0.600024,0.273728,0.633326,0.281695,0.627459,0.284588,0.591497,0.276731,0.598066,0.277403,0.634113,0.099253,0.640461,0.136601,0.633907,0.167177,0.593484,0.0968562,0.581477,0.132631,0.581354,0.162493,0.618635,0.168783,0.618623,0.222285,0.616431,0.266343,0.624951,0.276367,0.595274,0.16673,0.597975,0.215714,0.59997,0.260508,0.596791,0.270231,
40,0.59497,0.275175,0.596916,0.270264,0.600011,0.260613,0.598153,0.21595,0.595271,0.166662,0.630319,0.281418,0.625114,0.27636,0.616408,0.266308,0.618688,0.222251,0.618617,0.168794,0.579407,0.171282,0.58139,0.176733,0.579788,0.176989,0.578353,0.176032,0.576879,0.172387,0.583426,0.17796,0.5819,0.178774,0.579181,0.177233,0.57795,0.172737,0.585288,0.178819,0.583707,0.179604,0.580747,0.178094,0.578947,0.173414,0.585889,0.179017,0.584138,0.179394,0.581686,0.177632,0.580247,0.172899,0.583494,0.177225,0.584803,0.173339,0.585427,0.16937,0.583725,0.164505,0.581592,0.162485,0.581443,0.13262,0.593565,0.0968808,0.608825,0.0933923,0.63352,0.176307,0.63342,0.181764,0.63444,0.182642,0.63567,0.181778,0.636787,0.177779,0.630655,0.183569,0.631679,0.184462,0.633969,0.182681,0.635096,0.177968,0.628003,0.184836,0.629175,0.185386,0.631657,0.183406,0.633396,0.178492,0.626188,0.184152,0.627513,0.184399,0.62974,0.182529,0.631703,0.177788,0.627783,0.181604,0.627151,0.177578,0.627662,0.173578,0.630469,0.169031,0.633614,0.167263,0.640419,0.136699,0.634209,0.0993282,0.619723,0.0938453,0.614184,0.0526502,0.614671,0.0773121,0.615189,0.0889719,0.615231,0.0990674,0.61327,0.118593,0.611675,0.131475,0.610266,0.142154,0.609114,0.156289,0.607627,0.163897,0.609881,0.0716688,0.614731,0.067216,0.607007,0.0678574,0.62472,0.0689209,0.603188,0.0706706,0.620478,0.271176,0.614837,0.273975,0.596709,0.267236,0.603083,0.267868,0.628533,0.277783,0.622787,0.280657,0.593623,0.273109,0.600126,0.273777,0.633569,0.281673,0.627758,0.284595,0.591659,0.276715,0.598241,0.277406,0.634209,0.0993282,0.640419,0.136699,0.633614,0.167263,0.593565,0.0968808,0.581443,0.13262,0.581592,0.162485,0.618617,0.168794,0.618688,0.222251,0.616408,0.266308,0.625114,0.27636,0.595271,0.166662,0.598153,0.21595,0.600011,0.260613,0.596916,0.270264,
60,0.595439,0.275334,0.597234,0.270428,0.600092,0.260793,0.59823,0.216375,0.595384,0.166695,0.630766,0.281264,0.625408,0.276234,0.616459,0.266194,0.618525,0.222146,0.618739,0.168782,0.579352,0.171248,0.581353,0.176576,0.579723,0.176925,0.578266,0.175983,0.576907,0.172283,0.58341,0.177916,0.58184,0.17873,0.579081,0.177175,0.577902,0.172663,0.585332,0.178811,0.583687,0.179556,0.580665,0.178029,0.578811,0.173369,0.585938,0.179005,0.584126,0.179339,0.581613,0.177585,0.580066,0.17289,0.583455,0.177309,0.584805,0.173445,0.585477,0.169479,0.583849,0.164588,0.581855,0.162508,0.581388,0.13267,0.593607,0.0969857,0.608857,0.0935122,0.63357,0.176355,0.633491,0.181648,0.634515,0.18257,0.635745,0.181746,0.636851,0.177762,0.630699,0.183479,0.631723,0.184413,0.634035,0.182689,0.635182,0.17798,0.62799,0.184733,0.629162,0.185329,0.631694,0.183419,0.633515,0.178532,0.626095,0.184139,0.627448,0.184386,0.629734,0.182554,0.631816,0.177861,0.627746,0.181692,0.626941,0.177712,0.62747,0.173719,0.630304,0.169189,0.633383,0.167357,0.640382,0.136817,0.634252,0.0994392,0.61979,0.0940182,0.614326,0.0526688,0.614754,0.0773479,0.615208,0.0890131,0.615135,0.0990097,0.613177,0.11854,0.611617,0.131445,0.610254,0.142145,0.609102,0.156191,0.607704,0.163873,0.609932,0.0716249,0.614802,0.0671923,0.607079,0.0678211,0.624815,0.0689586,0.603283,0.0706722,0.620448,0.271008,0.614873,0.273854,0.596743,0.267425,0.603137,0.26804,0.628767,0.277617,0.623092,0.28054,0.593912,0.273282,0.600437,0.273932,0.633969,0.281489,0.628232,0.284461,0.592105,0.276884,0.598711,0.277556,0.634252,0.0994392,0.640382,0.136817,0.633383,0.167357,0.593607,0.0969857,0.581388,0.13267,0.581855,0.162508,0.618739,0.168782,0.618525,0.222146,0.616459,0.266194,0.625408,0.276234,0.595384,0.166695,0.59823,0.216375,0.600092,0.260793,0.597234,0.270428,
80,0.595766,0.275421,0.597471,0.270515,0.600187,0.260887,0.598275,0.216716,0.595396,0.166705,0.631262,0.28107,0.625715,0.276094,0.616478,0.266107,0.618315,0.222034,0.618757,0.168803,0.579316,0.171237,0.581441,0.176435,0.579776,0.176867,0.578282,0.175946,0.576985,0.172214,0.583481,0.177869,0.581864,0.17869,0.579049,0.177135,0.57789,0.172617,0.585386,0.178805,0.583676,0.179519,0.580595,0.177986,0.578698,0.173344,0.585988,0.178995,0.584111,0.179292,0.58154,0.177552,0.579892,0.172895,0.583442,0.1774,0.584814,0.173561,0.585519,0.169595,0.583958,0.164682,0.582117,0.162554,0.581293,0.132785,0.593609,0.0971783,0.608831,0.0936814,0.633568,0.176359,0.633544,0.181518,0.63455,0.182486,0.635774,0.181696,0.636877,0.177726,0.63074,0.183374,0.631744,0.184345,0.634056,0.182664,0.635215,0.177958,0.628012,0.184625,0.629166,0.185261,0.631707,0.183399,0.633561,0.178523,0.626028,0.184096,0.627386,0.184342,0.629693,0.182535,0.631848,0.177872,0.627707,0.18171,0.626731,0.177792,0.627302,0.173812,0.630146,0.169289,0.633184,0.167419,0.640386,0.136896,0.634238,0.0995302,0.619807,0.0942104,0.614303,0.0527197,0.614737,0.0774087,0.615144,0.0890835,0.614945,0.0989809,0.613024,0.118509,0.611516,0.131434,0.610195,0.142151,0.609002,0.1561,0.607683,0.163853,0.609911,0.0715664,0.614783,0.0671499,0.607056,0.0677946,0.624801,0.0689774,0.603259,0.0707338,0.620343,0.270897,0.614853,0.273776,0.596809,0.267522,0.603212,0.268128,0.62899,0.277455,0.623406,0.280413,0.594131,0.273374,0.600668,0.274014,0.634399,0.281276,0.628756,0.284284,0.592419,0.276976,0.599037,0.277637,0.634238,0.0995302,0.640386,0.136896,0.633184,0.167419,0.593609,0.0971783,0.581293,0.132785,0.582117,0.162554,0.618757,0.168803,0.618315,0.222034,0.616478,0.266107,0.625715,0.276094,0.595396,0.166705,0.598275,0.216716,0.600187,0.260887,0.597471,0.270515,
100,0.595749,0.275395,0.597452,0.270497,0.600175,0.260885,0.598422,0.216879,0.595162,0.166657,0.631649,0.280951,0.625942,0.27601,0.616479,0.266039,0.618276,0.221979,0.618517,0.16888,0.57932,0.171245,0.581451,0.176375,0.579783,0.176863,0.578274,0.175957,0.577014,0.172207,0.583501,0.177862,0.581873,0.178686,0.579041,0.177132,0.577887,0.172611,0.585401,0.178815,0.583667,0.179505,0.580579,0.177965,0.578656,0.173335,0.586056,0.178985,0.584157,0.17925,0.581569,0.177519,0.579837,0.172893,0.583512,0.177478,0.584901,0.173659,0.585598,0.169699,0.584076,0.164772,0.582306,0.162632,0.581164,0.132907,0.593626,0.0973869,0.608799,0.0938546,0.633469,0.176377,0.633398,0.181356,0.634376,0.1824,0.635614,0.181675,0.63677,0.177734,0.630585,0.183219,0.631566,0.184254,0.633903,0.182663,0.635116,0.177972,0.627879,0.184471,0.629015,0.185176,0.631575,0.183401,0.633471,0.178542,0.625845,0.183982,0.627204,0.184271,0.629538,0.182526,0.631763,0.177897,0.627553,0.181637,0.626487,0.17778,0.62714,0.173806,0.630028,0.169313,0.633054,0.167435,0.640455,0.136961,0.634216,0.0996219,0.619817,0.0943914,0.614233,0.0527856,0.614698,0.0774733,0.615053,0.089169,0.614697,0.0989966,0.612806,0.118516,0.611335,0.131453,0.610023,0.142178,0.608719,0.156049,0.607433,0.163847,0.609944,0.0714318,0.614799,0.0670426,0.60706,0.0677205,0.624778,0.0689671,0.603206,0.0708143,0.620174,0.270848,0.614756,0.273715,0.596752,0.267502,0.603154,0.26814,0.629114,0.277382,0.623609,0.280329,0.594091,0.27334,0.600627,0.274012,0.634712,0.281167,0.629152,0.284164,0.59239,0.276933,0.599007,0.277627,0.634216,0.0996219,0.640455,0.136961,0.633054,0.167435,0.593626,0.0973869,0.581164,0.132907,0.582306,0.162632,0.618517,0.16888,0.618276,0.221979,0.616479,0.266039,0.625942,0.27601,0.595162,0.166657,0.598422,0.216879,0.600175,0.260885,0.597452,0.270497,
120,0.595604,0.275281,0.597338,0.270398,0.600121,0.260807,0.598541,0.216864,0.594808,0.166546,0.631756,0.280929,0.625979,0.275997,0.616447,0.26599,0.618353,0.22196,0.618141,0.168982,0.579371,0.171313,0.581566,0.176403,0.579908,0.17694,0.578378,0.176062,0.577078,0.172321,0.583639,0.177882,0.582018,0.178725,0.579158,0.177203,0.577942,0.172697,0.585518,0.178811,0.583784,0.179506,0.580684,0.177996,0.578701,0.173394,0.58622,0.17894,0.584317,0.179208,0.581707,0.177514,0.579874,0.172928,0.583705,0.177538,0.585055,0.173717,0.585689,0.169759,0.584133,0.164843,0.582378,0.162739,0.581063,0.133005,0.593657,0.0975587,0.60878,0.0939979,0.633358,0.176415,0.63322,0.181297,0.634156,0.182405,0.635407,0.181732,0.636639,0.177817,0.63039,0.183128,0.631332,0.184217,0.633693,0.182704,0.634983,0.178032,0.627709,0.184361,0.628817,0.185121,0.631386,0.183418,0.633331,0.178579,0.625655,0.18386,0.627,0.184193,0.629345,0.182508,0.631633,0.17791,0.627389,0.181538,0.626306,0.177717,0.627056,0.173757,0.63001,0.169308,0.633058,0.16747,0.640578,0.136977,0.63422,0.0996655,0.619829,0.0945285,0.614119,0.0528422,0.614646,0.0775207,0.614968,0.0892369,0.61447,0.0990149,0.612606,0.118526,0.611155,0.131468,0.609825,0.142196,0.608364,0.156004,0.607075,0.163829,0.609963,0.0712906,0.614794,0.0669231,0.607044,0.067644,0.624733,0.0689296,0.603133,0.0708945,0.61996,0.270883,0.614573,0.273672,0.596661,0.267407,0.603059,0.26808,0.629055,0.277428,0.623586,0.280296,0.593962,0.273223,0.600493,0.273931,0.634759,0.281199,0.629236,0.284117,0.592237,0.276801,0.59885,0.277531,0.63422,0.0996655,0.640578,0.136977,0.633058,0.16747,0.593657,0.0975587,0.581063,0.133005,0.582378,0.162739,0.618141,0.168982,0.618353,0.22196,0.616447,0.26599,0.625979,0.275997,0.594808,0.166546,0.598541,0.216864,0.600121,0.260807,0.597338,0.270398,
140,0.59524,0.275172,0.597093,0.270296,0.600078,0.260712,0.598615,0.216772,0.594456,0.166451,0.63168,0.280949,0.625896,0.276016,0.61641,0.26595,0.618447,0.221955,0.617777,0.169067,0.579372,0.171349,0.581632,0.176408,0.579973,0.176973,0.578428,0.17611,0.577103,0.172375,0.583703,0.177888,0.582081,0.17874,0.579198,0.177236,0.577949,0.172739,0.585523,0.178813,0.583785,0.179512,0.580682,0.178015,0.578687,0.173421,0.586232,0.178915,0.584325,0.179193,0.581709,0.17752,0.579847,0.172946,0.583781,0.177585,0.585105,0.17377,0.585715,0.169813,0.584159,0.164898,0.582434,0.162808,0.580961,0.13308,0.593651,0.0976773,0.608723,0.0940971,0.633293,0.176453,0.632961,0.181244,0.633895,0.182399,0.635187,0.181772,0.636503,0.177886,0.630144,0.183045,0.631089,0.18418,0.633519,0.182741,0.634875,0.178088,0.627522,0.184276,0.628646,0.185083,0.631267,0.183446,0.63325,0.178625,0.625517,0.18376,0.626882,0.184143,0.629263,0.182516,0.631588,0.17794,0.627262,0.181442,0.626219,0.17765,0.627008,0.173688,0.630029,0.169281,0.633069,0.167475,0.640699,0.136956,0.634205,0.0996712,0.619788,0.0946208,0.613981,0.0528888,0.614558,0.077553,0.61486,0.0892875,0.614263,0.0990399,0.612412,0.118544,0.610967,0.131488,0.609616,0.142213,0.607999,0.155988,0.606718,0.163821,0.60987,0.0711589,0.614691,0.0668125,0.606941,0.0675694,0.62463,0.0688916,0.603031,0.0709552,0.619746,0.27097,0.614358,0.273635,0.596599,0.267281,0.602981,0.268007,0.62889,0.277539,0.623422,0.280282,0.593715,0.27309,0.600228,0.273854,0.634636,0.281303,0.629117,0.284095,0.591875,0.276663,0.598469,0.277449,0.634205,0.0996712,0.640699,0.136956,0.633069,0.167475,0.593651,0.0976773,0.580961,0.13308,0.582434,0.162808,0.617777,0.169067,0.618447,0.221955,0.61641,0.26595,0.625896,0.276016,0.594456,0.166451,0.598615,0.216772,0.600078,0.260712,0.597093,0.270296,
160,0.594941,0.275111,0.596889,0.270223,0.600031,0.260619,0.59858,0.216655,0.594193,0.166364,0.631603,0.280943,0.625815,0.276018,0.616378,0.265913,0.618449,0.221976,0.6175,0.169146,0.579425,0.171393,0.581745,0.176429,0.580088,0.177019,0.57853,0.176172,0.577181,0.172442,0.583833,0.177895,0.582212,0.178759,0.579307,0.177277,0.578015,0.172793,0.585605,0.178807,0.583867,0.179518,0.580757,0.178044,0.578742,0.173462,0.586302,0.178874,0.584397,0.179181,0.581771,0.177539,0.57989,0.172974,0.583911,0.177613,0.585192,0.173793,0.585775,0.169834,0.584195,0.164929,0.582481,0.162858,0.580842,0.133121,0.593656,0.097756,0.608671,0.0941646,0.633262,0.176431,0.632901,0.181245,0.633849,0.182386,0.635146,0.18175,0.636463,0.177862,0.630104,0.183035,0.63106,0.184166,0.633495,0.182721,0.634842,0.178066,0.627519,0.184286,0.628658,0.185083,0.631271,0.183434,0.633223,0.178603,0.625548,0.18376,0.626918,0.184139,0.62928,0.182509,0.631566,0.177919,0.627267,0.18141,0.626214,0.177644,0.626964,0.17367,0.629987,0.169262,0.633019,0.167454,0.640816,0.136934,0.634188,0.0996745,0.619747,0.0946616,0.613806,0.0529264,0.614455,0.0775745,0.614753,0.0893186,0.614092,0.099061,0.61228,0.118562,0.610853,0.131506,0.609485,0.14223,0.607729,0.15599,0.606451,0.163819,0.60978,0.0710844,0.614584,0.0667447,0.606832,0.0675373,0.624511,0.0688535,0.602908,0.0710154,0.619539,0.271066,0.614154,0.273603,0.596551,0.267161,0.60292,0.267923,0.628727,0.277639,0.623264,0.280252,0.593516,0.272994,0.600013,0.273794,0.634513,0.281384,0.629001,0.284045,0.591583,0.27658,0.59816,0.277404,0.634188,0.0996745,0.640816,0.136934,0.633019,0.167454,0.593656,0.097756,0.580842,0.133121,0.582481,0.162858,0.6175,0.169146,0.618449,0.221976,0.616378,0.265913,0.625815,0.276018,0.594193,0.166364,0.59858,0.216655,0.600031,0.260619,0.596889,0.270223,
180,0.594705,0.275127,0.596745,0.270215,0.600035,0.260573,0.598517,0.216577,0.594063,0.16633,0.631485,0.280952,0.625729,0.276041,0.616397,0.265901,0.618419,0.221995,0.617368,0.169189,0.579419,0.171401,0.581742,0.176451,0.580081,0.177053,0.578518,0.176202,0.577196,0.172457,0.583855,0.177912,0.582227,0.178772,0.579312,0.177287,0.578016,0.172803,0.58559,0.178819,0.583845,0.179528,0.580735,0.178052,0.578728,0.173467,0.586261,0.178847,0.584357,0.179177,0.581728,0.177547,0.579864,0.172976,0.583925,0.177627,0.58518,0.173804,0.585773,0.169844,0.584193,0.164942,0.582501,0.162878,0.5808,0.133128,0.593652,0.0977562,0.608618,0.094187,0.633315,0.176379,0.632868,0.181272,0.633873,0.182357,0.635187,0.181683,0.636488,0.177786,0.630114,0.183055,0.631119,0.184152,0.63358,0.182665,0.634895,0.178001,0.627577,0.184328,0.628766,0.185086,0.631395,0.183395,0.633309,0.178549,0.625662,0.183797,0.62707,0.184146,0.629429,0.182489,0.631666,0.177877,0.627344,0.181395,0.626281,0.177655,0.626946,0.173662,0.629955,0.169241,0.632942,0.167412,0.640872,0.13689,0.634194,0.0996338,0.619699,0.0946587,0.613687,0.0529398,0.614369,0.0775764,0.61466,0.0893263,0.613961,0.0990751,0.612186,0.118577,0.610778,0.131521,0.609412,0.142242,0.607572,0.156003,0.606313,0.163826,0.609699,0.071034,0.614494,0.0666995,0.606743,0.0675095,0.624416,0.0688266,0.602815,0.0710363,0.619408,0.271202,0.614007,0.273595,0.596567,0.267089,0.602922,0.267878,0.628576,0.27777,0.623099,0.280237,0.593381,0.272966,0.599864,0.273795,0.634364,0.28149,0.628837,0.284004,0.591357,0.276578,0.597917,0.277431,0.634194,0.0996338,0.640872,0.13689,0.632942,0.167412,0.593652,0.0977562,0.5808,0.133128,0.582501,0.162878,0.617368,0.169189,0.618419,0.221995,0.616397,0.265901,0.625729,0.276041,0.594063,0.16633,0.598517,0.216577,0.600035,0.260573,0.596745,0.270215,
