Timestamps [ms],RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHandPinkyEE,,,RightHandPinky3,,,RightHandPinky2,,,RightHandPinky1,,,RightHandRingEE,,,RightHandRing3,,,RightHandRing2,,,RightHandRing1,,,RightHandMiddleEE,,,RightHandMiddle3,,,RightHandMiddle2,,,RightHandMiddle1,,,RightHandIndexEE,,,RightHandIndex3,,,RightHandIndex2,,,RightHandIndex1,,,RightHandThumbEE,,,RightHandThumb3,,,RightHandThumb2,,,RightHandThumb1,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHandPinkyEE,,,LeftHandPinky3,,,LeftHandPinky2,,,LeftHandPinky1,,,LeftHandRingEE,,,LeftHandRing3,,,LeftHandRing2,,,LeftHandRing1,,,LeftHandMiddleEE,,,LeftHandMiddle3,,,LeftHandMiddle2,,,LeftHandMiddle1,,,LeftHandIndexEE,,,LeftHandIndex3,,,LeftHandIndex2,,,LeftHandIndex1,,,LeftHandThumbEE,,,LeftHandThumb3,,,LeftHandThumb2,,,LeftHandThumb1,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
0,270.653,3200.47,864.371,345.13,3183.53,858.432,470.434,3155.46,828.61,439.826,3108.76,437.068,504.521,3036.71,31.4183,475.115,3582.7,784.757,528.648,3528.04,788.697,614.317,3428.44,777.785,567.148,3319.85,400.415,593.858,3183.75,7.11029,294.105,3001.87,50.9314,336.035,3020.79,88.4512,322.223,3015.78,91.6815,310.845,3006.7,87.879,300.186,2986.18,68.626,328.297,3037.77,91.7989,314.544,3035.16,98.2133,294.774,3018.31,91.0461,292.655,2996,64.6292,316.172,3053.39,93.0882,301.809,3049.7,98.4127,283.23,3031.13,90.0338,283.582,3006.41,62.4601,297.016,3064.98,97.4221,284.421,3055.25,94.8333,275.117,3037.41,81.3989,280.163,3014.66,53.5892,291.408,3044.89,80.6448,301.907,3042.65,53.7474,316.607,3034.21,30.2657,323.471,3010.13,3.06305,335.833,2985.87,1.46057,471.183,2864.27,-170.353,531.48,2875.51,-444.45,580.405,2965.79,-480.696,516.109,3393.74,15.2476,525.628,3362.86,49.4166,519.691,3373.08,58.7257,520.506,3387.82,55.8247,534.091,3398.33,31.1186,506.762,3364.71,53.8745,499.869,3373.95,64.0847,503.375,3399.6,56.6059,521.847,3400.5,27.311,486.018,3371.41,59.478,480.09,3384.07,66.7548,487.065,3408,54.972,508.577,3404.28,25.0643,460.918,3388.85,71.0735,465.238,3402.51,63.6719,477.996,3411.42,45.1488,499.069,3402.17,17.0941,466.864,3385.74,45.7735,482.081,3370.84,26.3648,495.995,3355.84,6.07648,516.877,3352.81,-24.0745,543.883,3350.28,-26.9999,658.225,3241.59,-221.265,665.689,3130.14,-478.973,621.029,3031.53,-490.858,668.456,2998.35,-751.744,625.707,2990.62,-595.267,622.297,2980.88,-514.752,649.325,2975.61,-440.614,635.377,3004.66,-308.414,615.31,3030.51,-222.615,595.538,3053.95,-151.951,601.144,3067.48,-48.3782,566.508,3095.98,-3.2832,
20,270.744,3200.88,863.936,345.314,3184.32,858.123,470.743,3156.56,828.539,439.284,3107.97,437.294,503.556,3034.59,31.8157,475.023,3582.72,784.655,528.306,3527.82,788.559,613.616,3427.93,777.485,565.001,3318.35,400.587,592.926,3181.61,7.58362,291.182,3002.11,50.272,334.032,3017.59,88.8202,319.911,3013.45,91.942,307.994,3005.23,87.8459,296.314,2985.99,67.8814,326.888,3036.25,91.8687,312.913,3034.1,97.9615,292.484,3018.24,90.4063,289.282,2996.18,63.8863,314.817,3054.17,92.2514,300.181,3050.75,96.9766,281.271,3032.56,88.4913,280.71,3007,61.7041,295.945,3066.29,96.0246,283.105,3056.94,93.2367,273.386,3039.19,79.989,277.784,3015.48,52.8748,291.027,3047.51,79.9139,301.891,3043.66,53.3465,316.178,3034.01,30.0778,321.554,3009.53,2.89612,332.85,2984.76,1.2063,467.966,2861.63,-169.697,530.88,2873.34,-443.185,579.858,2963.34,-480.057,515.97,3392.92,14.8105,526.581,3360.72,50.2602,521.223,3371.72,59.0132,521.877,3386.37,55.6496,534.075,3397.56,30.5245,507.08,3363.08,53.4958,500.341,3372.46,63.6848,503.692,3398.14,56.2637,521.815,3399.76,26.7816,484.703,3369.77,59.0768,478.838,3382.77,65.7771,486.222,3406.58,53.9831,508.544,3403.57,24.5935,459.352,3387.2,70.2266,463.965,3400.68,62.6702,477.096,3409.68,44.4532,498.975,3401.44,16.7037,466.728,3382.79,46.795,481.538,3368.39,26.714,495.499,3353.92,6.07556,516.315,3351.68,-24.191,543.29,3349.02,-27.2763,658.135,3239.75,-220.915,665.714,3127.41,-478.234,620.412,3029.11,-490.268,668.175,2996.16,-751.052,625.224,2988.23,-594.641,621.732,2978.44,-514.135,648.777,2973.25,-439.997,634.833,3002.37,-307.811,614.716,3028.26,-222.035,594.877,3051.73,-151.4,600.318,3065.32,-47.8275,565.6,3093.84,-2.80933,
40,271.347,3199.95,864.032,346.061,3184,858.355,471.649,3156.83,828.897,438.429,3106.69,437.993,502.89,3031.94,32.7955,475.405,3582.23,784.893,528.59,3527.22,788.664,613.873,3427.35,777.222,563.082,3316.31,401.041,591.883,3179.14,8.25055,287.062,3001.37,49.0793,329.474,3013.5,89.7214,315.115,3009.84,92.314,302.992,3002.33,87.5197,291.175,2984.56,66.3063,322.828,3033.51,92.9094,308.552,3031.37,98.2672,287.989,3016.3,89.5476,284.533,2995.04,62.4106,310.674,3053.79,92.3959,295.797,3050.09,96.0429,277.137,3032.06,86.7286,276.303,3006.14,60.2928,291.976,3065.95,95.3318,279.184,3056.75,91.895,269.582,3039.14,78.3738,273.897,3014.97,51.6559,288.891,3049.08,79.7709,300.491,3043.99,53.7266,314.725,3033.78,30.6661,319.291,3009.59,3.08209,330.056,2984.62,0.959106,463.896,2857.64,-168.122,531.675,2870.1,-440.412,579.052,2960.3,-478.869,516.418,3392.45,14.0938,527.948,3359.44,51.3742,523.598,3371.51,59.2293,524.409,3385.94,55.0552,535.084,3396.97,29.1749,507.956,3362.92,53.4988,501.817,3372.77,63.6124,505.561,3398.25,55.6942,522.81,3399.47,25.6741,484.01,3370.32,59.2994,478.738,3383.94,65.214,487.033,3407.14,52.8295,509.625,3403.67,23.6978,458.835,3388.47,69.9214,464.068,3401.43,61.877,477.613,3409.8,43.6667,499.782,3401.62,16.1312,467.386,3381.52,49.0928,480.89,3366.95,28.2243,494.19,3352.38,7.23132,514.311,3349.96,-23.4887,541.088,3346.26,-27.1698,658.127,3237.73,-219.911,665.435,3124.13,-476.684,619.021,3026.41,-489.175,666.636,2994.26,-750.047,623.951,2985.72,-593.595,620.68,2975.78,-513.099,648.041,2970.74,-439.067,634.367,2999.62,-306.8,614.271,3025.38,-220.981,594.404,3048.83,-150.347,599.678,3062.7,-46.803,564.817,3091.26,-1.91907,
60,271.941,3199.42,864.021,346.749,3183.81,858.619,472.428,3156.69,829.511,437.27,3105.77,438.878,502.509,3028.98,34.1882,476.097,3582.01,785.092,529.143,3526.86,788.775,614.426,3427.03,777.02,560.917,3313.88,401.843,590.578,3176.65,9.14197,283.011,2999.58,48.3698,325.016,3011.26,89.8273,310.69,3007.33,92.2022,298.703,2999.81,87.1006,287.279,2982.51,65.2943,318.22,3031.95,93.2719,303.886,3029.19,98.1727,283.768,3013.84,88.9153,280.436,2992.9,61.5195,305.232,3053.93,91.9279,290.479,3049.21,94.8314,272.73,3030.38,85.3207,271.963,3003.84,59.5098,286.491,3065.34,94.1785,274.161,3055.62,90.4962,265.112,3037.57,77.1743,269.469,3012.79,51.0278,285.88,3050.21,79.7487,297.665,3044.02,54.0289,311.622,3033.64,30.8707,315.729,3009.61,3.08154,327.151,2984.96,0.593506,459.286,2853.52,-166.409,532.823,2866.28,-437.186,578.15,2956.79,-477.351,517.06,3391.68,13.9344,528.023,3357.41,52.5464,524.48,3370.24,59.5574,525.699,3384.5,54.916,535.932,3395.65,28.9123,507.843,3362.04,53.1549,502.088,3372.13,63.2609,506.597,3397.52,55.4426,523.774,3398.62,25.3768,482.352,3370.25,58.6884,477.656,3384.32,64.008,487.292,3407.04,51.7197,510.783,3403.36,23.3346,456.902,3388.83,68.3072,463.094,3401.34,60.2202,477.631,3409.33,42.6127,500.846,3401.6,15.8165,467.067,3379.43,50.6546,479.645,3365.08,29.0674,492.807,3350.73,7.82965,513.023,3348.64,-22.8511,539.605,3343.69,-26.487,657.745,3236.01,-219.032,664.865,3120.47,-474.943,617.29,3023.37,-487.863,664.992,2991.34,-748.804,622.51,2982.59,-592.308,619.474,2972.73,-511.792,647.194,2968.06,-437.869,633.789,2996.83,-305.552,613.709,3022.48,-219.695,593.814,3045.89,-149.056,599.066,3060.09,-45.5551,564.051,3088.57,-0.741577,
80,272.121,3198.99,863.727,346.988,3183.55,858.71,472.711,3156.06,830.131,435.402,3104.82,439.74,502.189,3026.18,35.6573,475.128,3581.19,785.277,528.537,3526.39,788.818,614.763,3427.42,776.619,558.193,3311.12,402.857,589.226,3174.37,10.0927,279.502,2997.42,48.512,321.578,3011.29,89.235,307.502,3006.68,91.8575,295.811,2998.56,86.9811,284.864,2980.65,65.427,314.229,3032.1,92.7452,300.095,3028.45,97.6415,280.666,3012.04,88.7493,277.42,2990.64,61.6962,299.897,3054.88,90.5901,285.604,3048.83,93.3134,269.036,3028.65,84.4622,268.335,3001.08,59.7444,281.116,3065.21,92.3503,269.478,3054.57,88.9774,261.092,3035.63,76.4805,265.271,3009.87,51.2697,282.872,3051.52,79.4415,294.252,3044.18,53.842,307.565,3033.6,30.397,311.205,3009.15,2.91125,323.956,2985.17,0.362854,454.371,2849.6,-164.68,533.926,2862.49,-433.745,577.22,2953.18,-475.683,517.1,3390.06,14.1117,528.273,3354.94,53.3227,525.243,3368.2,59.7523,526.596,3382.35,54.8253,536.285,3393.81,28.7456,508.337,3360.19,52.9714,502.831,3370.22,63.2741,507.432,3395.66,55.6738,524.142,3397,25.3553,481.574,3368.51,58.6902,477.211,3382.79,63.7324,487.375,3405.35,51.5701,511.227,3402,23.4468,455.329,3386.71,67.6637,462.063,3398.95,59.6157,477.133,3407,42.4912,501.139,3400.36,16.1052,466.732,3375.53,52.9044,478.466,3361.75,30.4873,491.574,3347.95,8.85919,511.551,3346.63,-22.0209,537.959,3341.05,-25.9931,657.448,3234.79,-218.496,664.48,3116.56,-473.175,615.593,3020.16,-486.481,663.685,2987.15,-747.45,621.174,2978.93,-590.933,618.279,2969.48,-510.364,646.316,2965.26,-436.533,633.199,2994.11,-304.203,613.145,3019.75,-218.337,593.221,3043.17,-147.709,598.47,3057.71,-44.2553,563.295,3086.08,0.49823,
100,272.469,3198.83,863.755,347.349,3183.31,859.177,473.042,3155.04,831.233,433.355,3103.67,441.093,502.537,3023.18,37.7791,474.442,3580.58,785.515,528.171,3526.09,789.002,615.345,3428,776.431,555.902,3308.71,404.062,587.868,3172.2,11.2883,275.982,2995.47,48.4705,317.139,3011,89.3053,303.27,3005.78,91.8982,291.966,2997.16,86.9668,281.956,2978.83,65.3121,309.335,3031.64,93.0203,295.335,3027.21,97.6537,276.691,3010,88.5854,274.076,2988.47,61.5703,294.121,3054.65,90.3771,280.264,3047.52,92.6807,264.81,3026.46,83.8289,264.511,2998.47,59.5899,275.493,3064.2,91.4496,264.541,3052.87,88.0146,256.875,3033.42,75.8352,261.123,3007.17,51.1503,279.338,3051.97,79.8039,290.73,3044.15,54.3502,303.852,3033.72,30.733,307.628,3009.15,3.37592,321.575,2985.84,0.790527,449.37,2846.06,-162.777,535.125,2858.8,-429.937,576.052,2949.76,-473.646,517.319,3388.45,14.9526,527.337,3352.47,54.2475,524.817,3365.98,60.3695,526.64,3380.06,55.3892,536.675,3391.64,29.4949,508.191,3358.46,53.084,502.895,3368.34,63.6322,507.99,3393.82,56.4886,524.63,3395.21,26.1342,480.674,3367.01,58.8816,476.742,3381.43,63.8649,487.675,3403.83,52.0856,511.881,3400.63,24.2488,453.725,3384.93,67.0204,461.134,3396.96,59.2515,476.9,3405.06,42.7896,501.715,3399.29,16.9537,465.818,3372.94,54.5931,476.973,3359.52,31.6699,490.07,3346,9.85925,510.196,3345.05,-20.9372,536.39,3338.59,-24.9804,656.867,3233.69,-217.612,663.484,3113,-471.153,613.615,3017.15,-484.716,662.097,2982.56,-745.811,619.542,2975.31,-589.259,616.818,2966.43,-508.619,645.239,2962.63,-434.913,632.583,2991.43,-302.527,612.655,3017,-216.613,592.779,3040.4,-145.965,598.207,3055.41,-42.587,562.871,3083.6,2.16003,
120,272.789,3198.7,863.678,347.654,3182.96,859.632,473.303,3153.72,832.501,431.714,3102.45,442.548,503.831,3019.95,40.1537,473.703,3579.84,786.003,527.821,3525.72,789.336,616.108,3428.7,776.236,553.567,3306.71,405.251,587.174,3169.92,12.7137,272.981,2993.52,49.3843,313.499,3011.64,89.3425,299.897,3005.93,92.2903,288.948,2996.7,87.6817,279.761,2977.44,66.4677,305.177,3032.08,92.9368,291.414,3027.04,97.6627,273.493,3008.85,89.0657,271.406,2986.62,62.5789,289.356,3054.54,89.9249,275.959,3046.59,92.2607,261.385,3024.71,83.9383,261.347,2996.09,60.4441,270.882,3063.45,90.4764,260.536,3051.49,87.3255,253.41,3031.45,75.7971,257.537,3004.48,51.8777,276.139,3052.19,80.0881,287.205,3043.92,54.6339,300.013,3033.36,30.9011,303.982,3008.16,4.14581,319.107,2985.57,1.9093,444.707,2842.98,-160.939,535.899,2855.46,-426.305,574.57,2946.6,-471.651,516.652,3385.97,16.9598,525.046,3348.79,55.4905,522.602,3362.27,61.7199,524.804,3376.42,57.1102,535.784,3388.63,31.8986,506.865,3355.02,53.5574,501.351,3364.43,64.428,506.632,3390.14,58.3668,523.85,3392.43,28.3911,478.731,3363.03,59.1824,474.892,3377.39,64.4252,486.285,3400.09,53.6874,511.209,3398.05,26.3795,450.885,3379.99,66.3033,458.743,3392.2,59.2833,475.193,3401.03,43.9014,501.159,3396.98,18.8821,463.346,3368.93,55.3626,474.943,3356.22,32.2496,488.6,3343.36,10.3842,509.6,3343.33,-19.8386,535.773,3336.58,-23.5348,656.03,3232.69,-216.852,662.301,3109.62,-469.251,611.237,3014.43,-483.051,660.03,2977.33,-744.366,617.483,2971.69,-587.745,614.998,2963.66,-507.008,643.897,2960.33,-433.465,631.929,2989.06,-301.002,612.295,3014.52,-214.984,592.618,3037.81,-144.247,598.558,3053.12,-40.9415,563.187,3081,3.97534,
140,273.136,3198.14,863.955,347.96,3182.17,860.084,473.523,3152.13,833.429,429.549,3101.43,443.661,506.312,3016.06,42.7291,473.008,3579.06,786.585,527.453,3525.26,789.751,616.79,3429.29,776.107,551.496,3305.08,406.334,586.909,3167.34,14.2871,270.375,2991.47,50.8005,310.021,3011.5,90.1282,296.585,3005.58,93.4058,285.901,2995.92,89.0651,277.551,2975.91,68.198,301.288,3031.84,93.5579,287.67,3026.46,98.3289,270.329,3007.56,90.0742,268.904,2984.71,64.0779,285.516,3053.39,90.4428,272.378,3045.02,92.8113,258.305,3022.71,84.7742,258.522,2993.76,61.6877,267.22,3061.98,90.5214,257.256,3049.66,87.5214,250.462,3029.3,76.3779,254.501,3001.88,52.9542,273.294,3051.37,81.1125,284.133,3042.99,55.5957,296.895,3032.35,31.8788,301.34,3006.62,5.70367,317.331,2984.59,3.97687,440.856,2840.45,-159.092,536.709,2852.76,-422.818,573.112,2944,-469.813,516.341,3383.49,18.7208,523.322,3345.63,56.6663,521.203,3359.13,62.9553,523.87,3373.26,58.5391,535.528,3385.57,33.6815,506.107,3352.11,54.4374,500.699,3361.3,65.5437,506.388,3387.07,60.0991,523.692,3389.68,30.2,477.796,3359.95,60.4918,474.43,3374.37,65.8752,486.293,3397.04,55.5967,511.194,3395.63,28.2277,449.952,3376.45,66.9579,458.111,3388.72,60.3995,474.846,3397.92,45.5555,501.123,3394.86,20.7212,461.716,3367.1,56.5853,473.468,3354.37,33.5634,486.905,3341.46,11.5859,508.256,3341.3,-18.3895,534.257,3333.94,-22.131,655.226,3231.59,-215.824,661.071,3106.8,-467.388,608.854,3012.28,-481.469,657.802,2972.22,-743.143,615.342,2968.55,-586.44,613.165,2961.49,-505.603,642.632,2958.51,-432.271,631.584,2986.93,-299.659,612.384,3012.11,-213.462,593.009,3035.15,-142.557,599.687,3050.67,-39.3287,564.302,3078.02,5.89587,
160,273.803,3198.61,864.013,348.529,3182.15,860.297,473.966,3151.06,834.267,428.644,3100.73,444.607,508.884,3012.35,45.0074,472.739,3578.46,787.237,527.406,3524.87,790.196,617.594,3429.79,775.918,549.494,3303.71,407.284,586.974,3164.81,15.8418,268.452,2989.4,52.3621,307.288,3010.81,91.1054,293.916,3004.94,94.7286,283.368,2995.01,90.6679,275.714,2974.36,70.1744,298.272,3031.22,94.2512,284.707,3025.76,99.0768,267.738,3006.37,91.1815,266.929,2982.86,65.7466,283.058,3051.66,91.1283,269.969,3043.25,93.6159,256.01,3020.78,85.8292,256.376,2991.62,63.0162,264.963,3060.19,90.8748,255.131,3047.74,88.0065,248.412,3027.2,77.1347,252.305,2999.47,54.0618,271.301,3049.89,82.1776,281.919,3041.5,56.5731,294.786,3030.66,33.0043,299.769,3004.4,7.45941,316.3,2982.72,6.41919,438.161,2839.08,-158.329,537.779,2849.96,-420.72,571.683,2941.92,-468.169,516.181,3380.83,20.4648,521.372,3341.96,57.6479,519.775,3355.48,64.0382,523.053,3369.57,59.8781,535.435,3382,35.4375,504.969,3348.77,55.3044,499.856,3357.9,66.6028,506.337,3383.61,61.8079,523.762,3386.6,32.0146,476.663,3356.88,62.0925,474.152,3371.44,67.5728,486.793,3393.87,57.6941,511.496,3393.04,30.1237,449.696,3373.47,68.1241,458.204,3385.73,62.0146,475.161,3395.15,47.5588,501.402,3392.74,22.6149,460.241,3366.26,57.6547,472.091,3353.26,34.8353,484.849,3340.12,12.592,506.506,3339.44,-17.1558,532.21,3331.15,-21.0045,654.472,3230.39,-214.719,659.766,3104.56,-465.776,606.627,3010.58,-480.034,655.64,2966.9,-742.099,613.256,2965.69,-585.336,611.387,2959.77,-504.401,641.427,2957.04,-431.292,631.426,2985.08,-298.516,612.715,3009.95,-212.122,593.664,3032.7,-141.036,601.013,3048.32,-37.8688,565.624,3075.16,7.6601,
180,274.358,3199.16,864.024,349,3182.34,860.221,474.349,3150.56,834.601,427.945,3099.8,445.124,511.141,3009.35,46.5963,472.795,3578.24,787.616,527.556,3524.73,790.34,618.355,3430.33,775.412,547.578,3302.43,407.916,587.456,3162.62,17.032,266.942,2987.09,53.749,304.806,3008.76,92.6365,291.402,3003.06,96.4012,280.924,2993.05,92.355,273.985,2972.21,71.7891,295.596,3029.3,95.7137,281.99,3023.84,100.415,265.286,3004.27,92.4135,265.196,2980.59,67.124,281.199,3048.68,92.8078,268.001,3040.43,95.2663,253.95,3018.1,87.2463,254.598,2989.19,64.1143,263.346,3057.29,92.4744,253.489,3044.89,89.4444,246.747,3024.48,78.3513,250.634,2996.95,55.0345,269.637,3047.22,84.0905,280.203,3039.3,58.3149,293.411,3028.6,34.8645,299.087,3002.31,9.50854,315.912,2980.84,8.94257,436.796,2838.39,-157.554,538.674,2847.64,-419.138,570.605,2940.21,-466.793,514.874,3377.89,21.6674,519.792,3338.62,58.7576,518.166,3352.22,64.9604,521.454,3366.32,60.8416,534.052,3379.17,36.7296,503.64,3345.01,56.2496,498.473,3354.2,67.4659,504.788,3379.99,62.8347,522.385,3383.73,33.2281,474.971,3352.61,63.725,472.893,3367.35,68.8802,485.514,3389.75,58.9194,510.115,3390.13,31.2474,448.79,3368.57,69.0253,457.132,3381.03,63.0978,473.878,3391.02,48.7821,500.059,3389.78,23.6901,458.366,3363.52,58.3224,470.871,3350.34,35.9623,483.386,3337.16,13.6093,505.478,3336.3,-15.8123,531.22,3328.06,-19.4962,654.374,3229.3,-213.676,658.859,3102.59,-464.308,604.543,3009.33,-478.855,653.191,2962,-741.402,611.216,2963.29,-584.531,609.834,2958.56,-503.507,640.578,2956.1,-430.681,631.772,2983.63,-297.714,613.541,3008.12,-211.11,594.769,3030.58,-139.857,602.48,3046.28,-36.7288,567.026,3072.75,8.96649,
