Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHandPinkyEE,,RightHandPinky3,,RightHandPinky2,,RightHandPinky1,,RightHandRingEE,,RightHandRing3,,RightHandRing2,,RightHandRing1,,RightHandMiddleEE,,RightHandMiddle3,,RightHandMiddle2,,RightHandMiddle1,,RightHandIndexEE,,RightHandIndex3,,RightHandIndex2,,RightHandIndex1,,RightHandThumbEE,,RightHandThumb3,,RightHandThumb2,,RightHandThumb1,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHandPinkyEE,,LeftHandPinky3,,LeftHandPinky2,,LeftHandPinky1,,LeftHandRingEE,,LeftHandRing3,,LeftHandRing2,,LeftHandRing1,,LeftHandMiddleEE,,LeftHandMiddle3,,LeftHandMiddle2,,LeftHandMiddle1,,LeftHandIndexEE,,LeftHandIndex3,,LeftHandIndex2,,LeftHandIndex1,,LeftHandThumbEE,,LeftHandThumb3,,LeftHandThumb2,,LeftHandThumb1,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.707218,0.347757,0.709688,0.349595,0.714002,0.349857,0.715586,0.29249,0.733306,0.23147,0.670359,0.36537,0.68189,0.368145,0.70264,0.369879,0.694611,0.303456,0.705112,0.230508,0.756508,0.231347,0.753236,0.237282,0.752846,0.239171,0.754974,0.239029,0.759093,0.235034,0.75046,0.237508,0.749884,0.239481,0.753923,0.238836,0.757536,0.234024,0.746686,0.238398,0.747335,0.239741,0.751838,0.2383,0.755916,0.233339,0.745275,0.238272,0.747126,0.238689,0.751094,0.236559,0.754579,0.231497,0.751168,0.236488,0.750574,0.231867,0.750715,0.227748,0.754344,0.222507,0.758577,0.222553,0.770487,0.190568,0.759353,0.138162,0.741536,0.131395,0.670407,0.237576,0.676277,0.248165,0.67343,0.247286,0.671204,0.24537,0.668872,0.240222,0.677187,0.249674,0.674187,0.2496,0.670164,0.246253,0.669238,0.240037,0.677445,0.250857,0.674397,0.250401,0.67051,0.246808,0.66945,0.240271,0.676755,0.25022,0.67388,0.248928,0.671063,0.24536,0.670214,0.238979,0.673715,0.243094,0.675573,0.238498,0.677381,0.233964,0.676201,0.227808,0.674576,0.226085,0.687385,0.184443,0.707589,0.133361,0.728126,0.13067,0.731775,0.085046,0.734463,0.11258,0.737284,0.125437,0.740759,0.138531,0.736149,0.165575,0.732084,0.183134,0.728356,0.197429,0.727468,0.217353,0.721985,0.226512,0.718803,0.117576,0.717273,0.109873,0.726018,0.111426,0.71869,0.103432,0.743994,0.108009,0.697787,0.381623,0.703128,0.380104,0.719584,0.360007,0.709854,0.360663,0.67826,0.373666,0.68366,0.372275,0.714699,0.353839,0.705318,0.354489,0.667048,0.368792,0.672478,0.367476,0.711985,0.350045,0.702801,0.350691,0.707589,0.133361,0.687385,0.184443,0.674576,0.226085,0.759353,0.138162,0.770487,0.190568,0.758577,0.222553,0.705112,0.230508,0.694611,0.303456,0.70264,0.369879,0.68189,0.368145,0.733306,0.23147,0.715586,0.29249,0.714002,0.349857,0.709688,0.349595,
20,0.707386,0.347688,0.70976,0.34954,0.713937,0.349826,0.715905,0.292575,0.733301,0.231561,0.670257,0.36532,0.681797,0.368095,0.702562,0.369818,0.694533,0.303398,0.704983,0.230441,0.757591,0.232321,0.754409,0.238457,0.754367,0.240423,0.756579,0.240169,0.760303,0.235822,0.751626,0.238734,0.751306,0.240778,0.755469,0.240025,0.758756,0.234954,0.747969,0.239598,0.748725,0.240986,0.753302,0.239517,0.757174,0.234427,0.746498,0.239517,0.748432,0.239947,0.752434,0.237799,0.755777,0.232683,0.752439,0.237731,0.751582,0.233049,0.751482,0.228844,0.754791,0.223367,0.75891,0.223091,0.770643,0.190866,0.75954,0.138363,0.741655,0.13156,0.67018,0.237524,0.675824,0.24827,0.673034,0.247254,0.670872,0.245261,0.668564,0.240033,0.676855,0.249791,0.673862,0.249641,0.669898,0.246214,0.668976,0.239935,0.677217,0.250909,0.674178,0.250438,0.6703,0.246821,0.669233,0.240262,0.676644,0.250238,0.673745,0.248999,0.670886,0.245441,0.670038,0.23904,0.673589,0.24329,0.67542,0.238647,0.677211,0.234039,0.676014,0.227771,0.674317,0.225886,0.686823,0.184065,0.707614,0.133263,0.728155,0.130794,0.734048,0.0855719,0.735151,0.112815,0.737322,0.125551,0.740743,0.138559,0.736219,0.165614,0.732177,0.183191,0.728442,0.197495,0.72742,0.217422,0.721923,0.226543,0.720859,0.117994,0.71922,0.110184,0.728261,0.111995,0.719576,0.103404,0.745789,0.10872,0.69772,0.381566,0.703048,0.380038,0.71941,0.360037,0.709661,0.360574,0.678175,0.37362,0.683564,0.372221,0.714729,0.353843,0.705329,0.354378,0.666951,0.368745,0.67237,0.367421,0.712134,0.350032,0.702932,0.350567,0.707614,0.133263,0.686823,0.184065,0.674317,0.225886,0.75954,0.138363,0.770643,0.190866,0.75891,0.223091,0.704983,0.230441,0.694533,0.303398,0.702562,0.369818,0.681797,0.368095,0.733301,0.231561,0.715905,0.292575,0.713937,0.349826,0.70976,0.34954,
40,0.707817,0.347695,0.710039,0.349572,0.713998,0.349899,0.716349,0.2928,0.733341,0.231691,0.670523,0.365465,0.682042,0.368187,0.702757,0.369854,0.694405,0.303424,0.70489,0.230466,0.758663,0.23368,0.755371,0.239966,0.755672,0.241962,0.757974,0.241621,0.761397,0.237033,0.752577,0.240265,0.752513,0.242358,0.75682,0.241551,0.759895,0.236288,0.749098,0.240984,0.749921,0.242448,0.754604,0.241052,0.758377,0.235898,0.747593,0.240937,0.74959,0.241442,0.753674,0.239361,0.756972,0.234233,0.753468,0.239278,0.752484,0.234497,0.752292,0.230194,0.755453,0.224556,0.759442,0.224024,0.770868,0.191385,0.759808,0.138768,0.741669,0.131823,0.669954,0.23743,0.6753,0.248259,0.672574,0.247124,0.670481,0.245061,0.668232,0.239747,0.676469,0.24986,0.67349,0.249644,0.669595,0.246132,0.668701,0.239769,0.676963,0.250971,0.673934,0.250496,0.670071,0.24684,0.669017,0.240222,0.676533,0.250288,0.67361,0.249114,0.670709,0.245554,0.669877,0.239099,0.673512,0.243559,0.675294,0.238852,0.677065,0.23413,0.675848,0.227709,0.67406,0.225607,0.685933,0.183605,0.707831,0.13328,0.728147,0.130922,0.736886,0.0864057,0.735961,0.113167,0.737327,0.125701,0.740697,0.138566,0.736196,0.165619,0.732159,0.183226,0.728433,0.197557,0.727351,0.217484,0.721881,0.226616,0.723378,0.118673,0.721655,0.110726,0.730983,0.112872,0.72078,0.10346,0.747871,0.109732,0.697946,0.381623,0.703313,0.380077,0.719315,0.360204,0.709534,0.360565,0.678424,0.373725,0.683849,0.372309,0.71495,0.353961,0.705518,0.354328,0.667218,0.368903,0.67267,0.367562,0.712539,0.350122,0.703304,0.350492,0.707831,0.13328,0.685933,0.183605,0.67406,0.225607,0.759808,0.138768,0.770868,0.191385,0.759442,0.224024,0.70489,0.230466,0.694405,0.303424,0.702757,0.369854,0.682042,0.368187,0.733341,0.231691,0.716349,0.2928,0.713998,0.349899,0.710039,0.349572,
60,0.708245,0.347789,0.710285,0.349669,0.713988,0.350001,0.716745,0.293011,0.733376,0.23185,0.670543,0.365611,0.682117,0.368249,0.702904,0.369839,0.694303,0.303497,0.704741,0.230411,0.759697,0.23522,0.756269,0.241627,0.756905,0.243609,0.759278,0.243176,0.762457,0.238404,0.753463,0.242004,0.753672,0.244127,0.758095,0.243245,0.760988,0.237793,0.750222,0.242575,0.751089,0.244136,0.755851,0.242817,0.75952,0.237553,0.748701,0.242599,0.750735,0.243207,0.754875,0.241183,0.758105,0.235978,0.754296,0.241045,0.753237,0.236141,0.753035,0.231723,0.756137,0.225931,0.76002,0.225128,0.771138,0.191943,0.760162,0.139213,0.741677,0.132083,0.669695,0.237271,0.674844,0.248082,0.672156,0.246888,0.670111,0.244784,0.66793,0.239412,0.676085,0.249784,0.67311,0.249541,0.669263,0.245975,0.668421,0.239544,0.676654,0.250929,0.673627,0.250474,0.66977,0.246794,0.668758,0.240111,0.676322,0.250244,0.673373,0.249148,0.67043,0.245595,0.66964,0.239079,0.673358,0.243749,0.67508,0.238984,0.676849,0.234137,0.675621,0.22758,0.673802,0.225285,0.684947,0.183099,0.708147,0.133394,0.728096,0.131064,0.740047,0.0872724,0.73684,0.113528,0.737291,0.125849,0.740581,0.13856,0.736138,0.165596,0.732123,0.183227,0.72841,0.197585,0.727239,0.217501,0.721804,0.226657,0.726432,0.119414,0.724577,0.111359,0.734191,0.113773,0.722201,0.103644,0.750165,0.110675,0.698175,0.381645,0.703488,0.380035,0.719089,0.360431,0.709276,0.360557,0.678548,0.373821,0.683923,0.372342,0.715111,0.354175,0.705646,0.354317,0.667283,0.369087,0.672689,0.367682,0.712926,0.350329,0.703659,0.35048,0.708147,0.133394,0.684947,0.183099,0.673802,0.225285,0.760162,0.139213,0.771138,0.191943,0.76002,0.225128,0.704741,0.230411,0.694303,0.303497,0.702904,0.369839,0.682117,0.368249,0.733376,0.23185,0.716745,0.293011,0.713988,0.350001,0.710285,0.349669,
80,0.708741,0.347918,0.710606,0.349801,0.714065,0.350141,0.716996,0.293253,0.733445,0.232045,0.670553,0.365858,0.682193,0.368359,0.70307,0.369797,0.694167,0.303482,0.704641,0.230345,0.76078,0.236861,0.757007,0.243389,0.757953,0.245304,0.760419,0.244789,0.763478,0.239929,0.754255,0.243826,0.754741,0.245939,0.759309,0.244983,0.762083,0.239412,0.751348,0.244206,0.752272,0.24586,0.75714,0.24463,0.760704,0.239277,0.749888,0.244287,0.751975,0.245006,0.756185,0.243048,0.759323,0.237763,0.755057,0.242831,0.753994,0.237809,0.753837,0.233302,0.756965,0.227438,0.760697,0.226453,0.771412,0.192528,0.760585,0.139678,0.741694,0.132392,0.669272,0.236971,0.673924,0.247836,0.671293,0.246586,0.669324,0.244429,0.667321,0.238979,0.675249,0.249626,0.672307,0.249328,0.668571,0.245661,0.667891,0.23918,0.675937,0.250812,0.672942,0.250323,0.669167,0.246556,0.6683,0.239815,0.675763,0.250111,0.672832,0.249022,0.669931,0.245417,0.669276,0.238852,0.673172,0.243754,0.674843,0.238999,0.676647,0.234088,0.675456,0.227427,0.673553,0.224992,0.68401,0.182554,0.70858,0.133551,0.728034,0.131259,0.743034,0.0882396,0.73766,0.113961,0.737236,0.126038,0.740449,0.13855,0.736115,0.165559,0.732146,0.18322,0.728453,0.197611,0.727188,0.217514,0.721775,0.226704,0.729621,0.12034,0.727598,0.11221,0.737439,0.114788,0.723658,0.104083,0.752308,0.111561,0.698444,0.381648,0.703691,0.379993,0.718939,0.360693,0.709099,0.360581,0.678684,0.373964,0.684,0.37244,0.71534,0.354424,0.705849,0.354337,0.667349,0.369366,0.672698,0.367917,0.713378,0.350571,0.704083,0.350498,0.70858,0.133551,0.68401,0.182554,0.673553,0.224992,0.760585,0.139678,0.771412,0.192528,0.760697,0.226453,0.704641,0.230345,0.694167,0.303482,0.70307,0.369797,0.682193,0.368359,0.733445,0.232045,0.716996,0.293253,0.714065,0.350141,0.710606,0.349801,
100,0.708819,0.34789,0.710638,0.349791,0.71408,0.350168,0.717055,0.293427,0.733426,0.23223,0.670465,0.365963,0.682161,0.368351,0.703113,0.369696,0.694063,0.303475,0.704477,0.230248,0.761798,0.238437,0.757706,0.245117,0.758915,0.246935,0.761455,0.246335,0.764444,0.24142,0.755027,0.24562,0.755768,0.247692,0.760448,0.246627,0.763116,0.240968,0.752456,0.245837,0.753442,0.247563,0.758387,0.246368,0.761817,0.240906,0.751079,0.245963,0.753213,0.24677,0.757464,0.244833,0.760466,0.239436,0.755742,0.244527,0.754688,0.239416,0.754574,0.234856,0.757736,0.228953,0.761328,0.227833,0.771646,0.193025,0.761062,0.140038,0.741751,0.132662,0.668808,0.236616,0.672906,0.247464,0.670328,0.246208,0.668427,0.244019,0.666606,0.238506,0.674328,0.249343,0.671437,0.249022,0.667811,0.24528,0.667287,0.238762,0.67516,0.250611,0.672216,0.250095,0.668536,0.246243,0.667801,0.23945,0.675154,0.249939,0.672269,0.248829,0.669437,0.245158,0.668904,0.238546,0.673113,0.243717,0.674688,0.238963,0.676496,0.233994,0.675296,0.227249,0.673269,0.224697,0.683111,0.181971,0.709194,0.133686,0.728099,0.131382,0.745606,0.0889205,0.738452,0.114272,0.737322,0.126184,0.740464,0.138557,0.736104,0.165517,0.732108,0.183186,0.728398,0.197597,0.727053,0.217474,0.721667,0.226721,0.732376,0.120985,0.730248,0.11281,0.740201,0.115493,0.725092,0.104414,0.754072,0.112176,0.698572,0.38158,0.703756,0.379869,0.71874,0.360802,0.708898,0.360505,0.678705,0.373986,0.683962,0.372407,0.715281,0.354499,0.705786,0.354234,0.667314,0.369507,0.672609,0.368001,0.713403,0.350627,0.704105,0.350381,0.709194,0.133686,0.683111,0.181971,0.673269,0.224697,0.761062,0.140038,0.771646,0.193025,0.761328,0.227833,0.704477,0.230248,0.694063,0.303475,0.703113,0.369696,0.682161,0.368351,0.733426,0.23223,0.717055,0.293427,0.71408,0.350168,0.710638,0.349791,
120,0.708996,0.347907,0.710736,0.349819,0.714097,0.350222,0.716873,0.293572,0.733322,0.232386,0.670271,0.365982,0.682014,0.368273,0.703038,0.36956,0.694093,0.303363,0.704324,0.230053,0.762608,0.239988,0.758368,0.246788,0.759742,0.248523,0.762313,0.247855,0.765266,0.242902,0.755715,0.247361,0.756625,0.249394,0.761346,0.24823,0.763956,0.242501,0.753368,0.247489,0.754385,0.249276,0.759348,0.248085,0.762682,0.242493,0.752039,0.247646,0.754176,0.248531,0.75843,0.246591,0.761326,0.241059,0.756228,0.246189,0.755195,0.241011,0.755148,0.236407,0.758371,0.230473,0.761909,0.229248,0.771988,0.193617,0.761464,0.140542,0.74186,0.132913,0.668299,0.23619,0.67178,0.246993,0.669265,0.245753,0.667436,0.243544,0.665794,0.237983,0.67332,0.248938,0.670504,0.248615,0.666998,0.244815,0.666614,0.238275,0.674318,0.250305,0.671449,0.249756,0.667884,0.245825,0.667258,0.238995,0.67449,0.249691,0.671681,0.248528,0.668951,0.244785,0.668516,0.23814,0.673115,0.24361,0.674582,0.238844,0.676368,0.233839,0.675131,0.227037,0.672949,0.224398,0.68228,0.181358,0.709859,0.133776,0.728246,0.131513,0.747341,0.0894351,0.73904,0.114542,0.73747,0.126327,0.740609,0.138559,0.736266,0.16547,0.732235,0.183145,0.728474,0.197568,0.726986,0.21742,0.721558,0.22669,0.734457,0.121521,0.732219,0.113337,0.742231,0.116028,0.726152,0.104797,0.7553,0.112561,0.698539,0.381459,0.703667,0.37973,0.718553,0.360936,0.708708,0.360456,0.678589,0.37392,0.683795,0.372323,0.715292,0.354611,0.705792,0.354169,0.667161,0.369542,0.672406,0.368018,0.713532,0.350729,0.704228,0.350309,0.709859,0.133776,0.68228,0.181358,0.672949,0.224398,0.761464,0.140542,0.771988,0.193617,0.761909,0.229248,0.704324,0.230053,0.694093,0.303363,0.703038,0.36956,0.682014,0.368273,0.733322,0.232386,0.716873,0.293572,0.714097,0.350222,0.710736,0.349819,
140,0.709036,0.347874,0.710746,0.349817,0.714106,0.350279,0.716685,0.293738,0.733046,0.232484,0.670091,0.365977,0.681862,0.368181,0.702926,0.369418,0.694048,0.303269,0.704054,0.229884,0.763226,0.241503,0.758616,0.248198,0.760066,0.24994,0.762692,0.249313,0.765772,0.244399,0.756013,0.248795,0.756992,0.250853,0.761799,0.249773,0.764514,0.244029,0.753861,0.248889,0.75488,0.250779,0.759907,0.249728,0.763291,0.244059,0.752625,0.249048,0.754751,0.250086,0.759069,0.248259,0.761991,0.242636,0.756526,0.247677,0.755636,0.242414,0.755708,0.237736,0.759099,0.231826,0.762584,0.230561,0.77229,0.194109,0.761841,0.140948,0.742021,0.133171,0.667667,0.23564,0.670497,0.246387,0.668055,0.245152,0.666315,0.242915,0.664898,0.237306,0.672093,0.248402,0.669351,0.248068,0.665998,0.244199,0.665816,0.237642,0.673187,0.249897,0.670398,0.249292,0.666996,0.245263,0.666544,0.238398,0.673495,0.249378,0.670784,0.248119,0.668211,0.244282,0.667935,0.237607,0.672785,0.243465,0.674281,0.238666,0.676102,0.23366,0.674929,0.226803,0.672692,0.224055,0.681616,0.180778,0.710508,0.133793,0.728469,0.131611,0.748615,0.0897814,0.739573,0.114758,0.737715,0.12647,0.740808,0.138601,0.736364,0.165456,0.73224,0.183123,0.728403,0.197545,0.726784,0.217374,0.721308,0.226651,0.735933,0.12186,0.733639,0.113673,0.743666,0.116373,0.727022,0.105068,0.756206,0.11284,0.698464,0.381329,0.703555,0.379584,0.718368,0.361054,0.708527,0.360413,0.678462,0.373839,0.683634,0.372225,0.715215,0.354678,0.70572,0.354082,0.667013,0.369551,0.672227,0.36801,0.713523,0.350767,0.704223,0.350196,0.710508,0.133793,0.681616,0.180778,0.672692,0.224055,0.761841,0.140948,0.77229,0.194109,0.762584,0.230561,0.704054,0.229884,0.694048,0.303269,0.702926,0.369418,0.681862,0.368181,0.733046,0.232484,0.716685,0.293738,0.714106,0.350279,0.710746,0.349817,
160,0.708829,0.347803,0.710595,0.34978,0.714094,0.350322,0.716402,0.293895,0.732734,0.232618,0.66996,0.365985,0.681734,0.368115,0.702798,0.369316,0.69398,0.303172,0.703715,0.229736,0.763675,0.242883,0.759041,0.249572,0.760508,0.251305,0.763134,0.250679,0.766259,0.245766,0.75643,0.250184,0.757415,0.252252,0.762219,0.251181,0.764976,0.245411,0.75431,0.250306,0.755317,0.252242,0.760327,0.251212,0.763726,0.24546,0.753104,0.250429,0.755177,0.251552,0.759492,0.249753,0.762408,0.244044,0.756841,0.249078,0.75598,0.24378,0.756094,0.23907,0.759553,0.233159,0.763085,0.231862,0.772553,0.194609,0.762197,0.141363,0.742216,0.133458,0.667027,0.235065,0.669294,0.245743,0.666918,0.244515,0.665261,0.242258,0.664047,0.236614,0.670935,0.247798,0.66826,0.247465,0.665041,0.243547,0.665036,0.236986,0.672102,0.249413,0.669386,0.248757,0.666131,0.244653,0.665822,0.237767,0.672518,0.24899,0.669901,0.247636,0.667474,0.243724,0.66732,0.237035,0.672309,0.243275,0.67393,0.238428,0.675766,0.233449,0.674676,0.226553,0.672427,0.223717,0.681038,0.180267,0.711035,0.133844,0.728701,0.131736,0.749478,0.0900526,0.740017,0.114975,0.737981,0.126645,0.740991,0.138688,0.736416,0.165483,0.73219,0.183135,0.728272,0.197552,0.726512,0.217355,0.721,0.226641,0.736921,0.122104,0.734599,0.113924,0.744625,0.116624,0.727672,0.10531,0.756847,0.113077,0.69835,0.38123,0.703437,0.37949,0.718211,0.361122,0.708385,0.360388,0.678341,0.373773,0.683509,0.372163,0.714998,0.354677,0.705517,0.35399,0.666898,0.369563,0.672108,0.368026,0.713275,0.350735,0.703988,0.350075,0.711035,0.133844,0.681038,0.180267,0.672427,0.223717,0.762197,0.141363,0.772553,0.194609,0.763085,0.231862,0.703715,0.229736,0.69398,0.303172,0.702798,0.369316,0.681734,0.368115,0.732734,0.232618,0.716402,0.293895,0.714094,0.350322,0.710595,0.34978,
180,0.708835,0.347628,0.710582,0.349664,0.714086,0.350339,0.716146,0.294074,0.732492,0.23277,0.669926,0.366034,0.681674,0.368097,0.702692,0.369271,0.693875,0.303097,0.703329,0.229621,0.763984,0.244133,0.75946,0.250755,0.760936,0.252511,0.763549,0.251889,0.766649,0.246938,0.756858,0.251428,0.757833,0.253539,0.762616,0.25248,0.765333,0.246638,0.754705,0.25168,0.755723,0.253664,0.760705,0.252624,0.764053,0.246747,0.75352,0.251808,0.755557,0.253004,0.759847,0.251203,0.762694,0.245372,0.757235,0.250461,0.756299,0.245142,0.75634,0.240365,0.759744,0.234386,0.763311,0.232976,0.772753,0.195098,0.762464,0.141782,0.74241,0.133743,0.666421,0.234462,0.668547,0.245019,0.666168,0.243838,0.664524,0.241589,0.663408,0.235936,0.670166,0.247077,0.667498,0.246796,0.664298,0.242893,0.664381,0.23633,0.671317,0.248792,0.668612,0.248136,0.665395,0.244024,0.66514,0.237128,0.671735,0.248454,0.669147,0.247063,0.66677,0.243131,0.666653,0.236434,0.671682,0.24295,0.673512,0.238029,0.675327,0.233072,0.674295,0.22616,0.672136,0.223273,0.680593,0.179784,0.7114,0.133803,0.728904,0.131861,0.750109,0.09025,0.740397,0.11517,0.73823,0.126822,0.741111,0.138792,0.736373,0.165526,0.732046,0.18316,0.728064,0.197573,0.726169,0.217347,0.720674,0.226651,0.737556,0.122245,0.735237,0.114069,0.74525,0.116786,0.728181,0.105475,0.757315,0.113292,0.698239,0.381184,0.703358,0.379464,0.718059,0.361162,0.708242,0.360317,0.67827,0.373749,0.683468,0.372159,0.71492,0.354601,0.705447,0.353808,0.666862,0.369608,0.6721,0.368089,0.713243,0.350605,0.703963,0.349841,0.7114,0.133803,0.680593,0.179784,0.672136,0.223273,0.762464,0.141782,0.772753,0.195098,0.763311,0.232976,0.703329,0.229621,0.693875,0.303097,0.702692,0.369271,0.681674,0.368097,0.732492,0.23277,0.716146,0.294074,0.714086,0.350339,0.710582,0.349664,
