Timestamps [ms],RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHandPinkyEE,,,RightHandPinky3,,,RightHandPinky2,,,RightHandPinky1,,,RightHandRingEE,,,RightHandRing3,,,RightHandRing2,,,RightHandRing1,,,RightHandMiddleEE,,,RightHandMiddle3,,,RightHandMiddle2,,,RightHandMiddle1,,,RightHandIndexEE,,,RightHandIndex3,,,RightHandIndex2,,,RightHandIndex1,,,RightHandThumbEE,,,RightHandThumb3,,,RightHandThumb2,,,RightHandThumb1,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHandPinkyEE,,,LeftHandPinky3,,,LeftHandPinky2,,,LeftHandPinky1,,,LeftHandRingEE,,,LeftHandRing3,,,LeftHandRing2,,,LeftHandRing1,,,LeftHandMiddleEE,,,LeftHandMiddle3,,,LeftHandMiddle2,,,LeftHandMiddle1,,,LeftHandIndexEE,,,LeftHandIndex3,,,LeftHandIndex2,,,LeftHandIndex1,,,LeftHandThumbEE,,,LeftHandThumb3,,,LeftHandThumb2,,,LeftHandThumb1,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
0,-501.376,2161.96,1041.53,-425.235,2167.25,1025.47,-299.159,2174.14,979.962,-212.291,2151.79,596.962,-36.0443,2074.2,224.063,-194.926,2462.82,992.24,-137.875,2409.76,995.878,-42.5666,2316.05,983.667,-49.5603,2315.39,590.368,11.9458,2232.33,183.605,-226.29,1887.38,284.548,-202.536,1916.49,310.038,-211.78,1916.36,322.438,-218.095,1902.5,325.095,-209.446,1881.16,304.436,-218.957,1926.04,312.218,-228.267,1927.01,324.984,-238.007,1901.19,327.377,-222.545,1884.45,300,-237.985,1940.68,317.784,-248.393,1934.31,328.441,-254.339,1906.71,325.854,-237.187,1887.76,297.633,-253.18,1943.28,318.99,-261.693,1930.42,325.081,-262.941,1906.95,316.945,-246.174,1890.99,287.679,-251.789,1910.34,314.191,-243.362,1914.11,285.282,-228.534,1916.33,258.895,-209.532,1900.61,229.037,-184.549,1886.73,228.54,-28.2594,1868.14,40.9841,-31.101,1899.92,-235.949,-10.522,1992.12,-287.04,-27.4217,2406.12,197.008,3.78644,2389.11,253.031,-2.25409,2402,246.981,-5.77344,2411.57,235.356,-6.34631,2420.22,205.664,-10.574,2382.21,265.107,-17.7293,2396.23,263.491,-23.9294,2413.76,242.954,-19.5902,2415.45,207.64,-27.3938,2377.92,275.44,-34.1941,2392.12,271.62,-39.1676,2409.14,249.49,-33.654,2411.57,211.895,-43.3192,2377.65,274.81,-48.6364,2390.8,266.218,-50.8752,2402.83,244.562,-44.7113,2404.42,207.795,-63.9486,2384.59,237.356,-51.8832,2374.45,211.607,-38.6178,2365.02,186.179,-26.7119,2369.91,149.833,-5.22919,2381.97,135.335,88.9032,2314.81,-80.4838,23.5815,2170.46,-309.847,9.27472,2064.19,-303.695,-106.506,1985.94,-524.835,-32.3328,2010.69,-385.785,13.5839,2018.41,-321.053,55.5184,2021.89,-255.744,47.1987,2054.1,-126.281,33.8032,2078.22,-40.3981,20.3337,2099.63,30.9207,37.2508,2119.49,130.308,4.38412,2142,179.325,
20,-502.42,2160.59,1041.66,-426.319,2166.5,1025.62,-300.276,2174.21,980.153,-211.789,2150.2,597.625,-35.3873,2074.48,224.414,-195.023,2463.36,991.867,-138.049,2410.22,995.557,-42.8724,2316.37,983.369,-49.9007,2315.7,590.07,11.3789,2232.79,183.241,-218.646,1884.69,289.532,-193.406,1913.92,315.827,-201.674,1912.25,328.791,-207.497,1898.06,330.789,-200.48,1878.21,308.131,-210.463,1923.24,318.473,-219.078,1923.06,331.753,-227.912,1896.86,333.461,-213.891,1881.36,304.62,-230.437,1936.82,324.267,-240.311,1930.05,335.182,-245.538,1902.33,332.359,-228.713,1884.43,303.269,-246.399,1939.48,325.889,-254.421,1926.33,332.04,-255.104,1902.9,323.717,-238.363,1887.77,293.998,-243.925,1906.71,320.877,-237,1911.4,291.703,-223.295,1914.53,264.807,-205.636,1900,233.552,-180.47,1886.67,231.066,-25.6082,1868.49,42.2888,-31.5193,1898.92,-234.748,-11.7655,1991.18,-286.064,-26.4063,2407.49,196.319,7.28888,2392.28,252.43,0.948242,2404.71,245.762,-3.11887,2413.78,233.914,-5.23477,2421.92,204.146,-7.60138,2384.66,264.788,-14.9049,2398.56,262.803,-21.7086,2415.59,242.034,-18.346,2417.01,206.602,-25.1083,2379.65,275.01,-32.0943,2393.75,271.159,-37.4169,2410.61,248.995,-32.2128,2413,211.354,-40.8574,2378.78,274.272,-46.5499,2392,266.031,-49.2296,2404.16,244.496,-43.3091,2405.67,207.687,-61.8286,2385.84,237.875,-50.1636,2375.72,211.933,-37.5314,2366.2,186.22,-26.7977,2370.84,149.478,-5.95523,2383.02,134.169,86.5866,2316.77,-82.6188,21.355,2169.64,-310.228,7.16156,2063.42,-302.988,-111.114,1973.29,-520.228,-35.0845,2006.48,-383.97,11.7465,2017.66,-320.405,54.3576,2021.59,-255.562,47.259,2053.79,-126.027,34.3075,2077.95,-40.0844,21.0121,2099.44,31.2401,37.6862,2119.9,130.547,4.5592,2142.39,179.401,
40,-502.157,2157.98,1042.05,-426.132,2164.86,1026.04,-300.157,2173.93,980.635,-209.531,2148.48,598.701,-33.6879,2074.88,224.803,-194.354,2462.05,992.745,-137.212,2409.06,995.992,-41.7332,2315.6,983.258,-49.4907,2316.49,589.973,11.8835,2233.42,183.192,-208.775,1883.06,296.192,-182.324,1913.36,322.829,-189.635,1910.17,336.079,-194.873,1895.69,337.545,-189.36,1876.9,313.599,-200.025,1922.46,325.796,-207.942,1921.13,339.441,-215.667,1894.56,340.752,-203.034,1879.73,310.934,-220.969,1934.59,331.209,-230.293,1927.67,342.506,-234.648,1899.76,340.032,-217.983,1882.43,310.508,-237.568,1937.18,333.178,-245.064,1923.91,339.718,-245.084,1900.36,331.723,-228.257,1885.6,301.868,-234.055,1905.28,328.598,-228.734,1910.07,299.105,-215.987,1913.35,271.759,-199.562,1899.16,239.684,-174.264,1886.51,235.556,-21.9524,1868.99,44.6552,-31.8746,1897.64,-232.456,-15.2182,1990.04,-284.61,-25.0243,2408.9,195.332,11.7173,2395.94,250.944,4.91516,2407.85,243.802,0.144928,2416.36,231.798,-3.76215,2423.77,202.02,-3.42111,2387.62,263.896,-10.9715,2401.34,261.627,-18.6867,2417.74,240.674,-16.6679,2418.68,205.124,-21.291,2381.85,274.276,-28.5849,2395.81,270.484,-34.6403,2412.41,248.305,-30.2403,2414.51,210.544,-36.8451,2380.27,273.565,-43.0991,2393.52,265.791,-46.5819,2405.72,244.397,-41.3686,2406.96,207.471,-58.6115,2387.11,238.613,-47.4808,2377.1,212.395,-35.9025,2367.38,186.264,-26.9159,2371.64,149.011,-6.9826,2383.94,132.63,84.3067,2320.31,-85.4679,19.6873,2168.1,-309.891,3.21399,2062.24,-302.227,-117.989,1957.13,-513.614,-40.1555,2000.94,-381.433,7.71747,2016.34,-319.551,51.3426,2020.78,-255.418,46.4123,2053.63,-125.944,34.4873,2078.11,-39.9474,21.799,2099.76,31.4407,38.7728,2120.61,130.616,5.65613,2142.97,179.537,
60,-501.746,2155.49,1042.97,-425.861,2163.5,1026.83,-300.067,2174.08,981.241,-207.818,2146.87,599.818,-32.2633,2075.23,225.404,-193.036,2462.28,993.122,-136.273,2408.87,996.036,-41.3483,2314.87,983.131,-48.0464,2317.43,589.834,11.4724,2234.04,182.843,-197.629,1882.21,303.517,-169.892,1913.72,330.272,-176.303,1909.02,343.539,-181.037,1894.33,344.452,-177.044,1876.32,319.623,-187.927,1922.73,333.804,-195.071,1920.2,347.702,-201.874,1893.35,348.506,-190.907,1878.92,317.846,-209.405,1933.22,338.796,-218.133,1926.31,350.564,-221.921,1898.29,348.49,-205.897,1881.36,318.385,-226.288,1935.79,341.281,-233.33,1922.55,348.354,-233.075,1898.89,340.69,-216.752,1884.39,310.432,-222.48,1905.69,336.951,-219.036,1910.17,307.133,-207.245,1913.13,279.326,-192.306,1898.72,246.628,-167.106,1886.54,240.833,-18.1929,1869.31,47.243,-31.8949,1896.07,-229.896,-19.7524,1988.56,-283.133,-23.6273,2410.44,193.964,15.531,2399.01,248.76,8.40573,2410.6,241.412,3.10849,2418.72,229.358,-2.16534,2425.44,199.629,0.255341,2390.36,262.336,-7.39392,2404.01,259.946,-15.7835,2419.97,238.911,-14.9188,2420.35,203.304,-17.711,2384.22,272.975,-25.1617,2398.14,269.332,-31.8148,2414.54,247.181,-28.2485,2416.2,209.311,-33.1154,2382.16,272.312,-39.7617,2395.5,265.041,-43.9327,2407.77,243.805,-39.4651,2408.59,206.77,-55.4606,2388.72,238.857,-44.7972,2378.89,212.378,-34.5269,2368.81,185.838,-27.2462,2372.66,148.17,-8.02817,2384.84,130.868,82.0017,2324.3,-88.629,17.83,2166.07,-308.981,-2.18018,2060.82,-301.385,-124.074,1939.59,-506.473,-45.9968,1994.79,-378.778,2.47055,2014.8,-318.706,47.1275,2019.89,-255.337,44.4214,2053.24,-125.924,33.5837,2078,-39.8618,21.589,2099.83,31.5919,39.1092,2121.28,130.542,6.10611,2143.52,179.596,
80,-500.651,2152.76,1043.91,-424.918,2161.88,1027.64,-299.315,2173.92,981.897,-205.689,2146.21,600.846,-30.3794,2075.57,226.125,-190.959,2462.79,993.79,-134.679,2408.84,996.092,-40.5345,2314.13,982.667,-47.2958,2318.33,589.385,11.5814,2234.54,182.383,-185.644,1881.48,311.217,-157.77,1914.91,338.13,-163.453,1908.77,351.138,-167.461,1893.84,351.523,-164.107,1876.27,326.281,-176.006,1923.52,342.167,-182.462,1919.71,356.11,-188.002,1892.57,356.353,-178.117,1878.42,325.193,-197.741,1931.93,346.527,-205.814,1924.98,358.731,-208.718,1896.82,357.076,-193.134,1880.38,326.474,-214.62,1934.15,349.453,-221.05,1920.91,357.087,-220.305,1897.15,349.768,-204.462,1883.04,319.07,-210.608,1906.6,345.212,-208.895,1910.43,315.156,-197.742,1912.9,287.04,-183.678,1898.08,254.139,-158.416,1886.71,247.1,-14.2362,1869.71,49.9394,-31.6798,1894.26,-227.194,-25.1142,1986.77,-281.363,-23.5053,2412.47,191.94,17.2086,2403.95,246.243,9.53333,2415.11,238.767,3.70148,2422.68,226.609,-2.41611,2428.26,196.804,2.06003,2394.99,260.325,-6.05573,2408.34,257.765,-15.2744,2423.48,236.475,-14.9269,2422.87,200.862,-15.6351,2388.34,271.222,-23.605,2401.95,267.542,-31.1055,2417.69,245.179,-27.9964,2418.45,207.24,-30.867,2385.49,270.58,-38.1602,2398.6,263.504,-43.1109,2410.45,242.199,-39.0169,2410.44,205.111,-53.2343,2390.18,238.254,-42.3333,2380.68,211.752,-32.859,2370.2,185.069,-26.8535,2373.51,147.125,-8.37891,2385.86,129.147,79.5154,2327.99,-91.9284,15.8197,2163.44,-307.746,-8.64731,2059.13,-300.257,-129.889,1923.01,-498.964,-52.6337,1988.67,-375.802,-3.82184,2013.03,-317.643,42.1071,2018.81,-255.25,42.1353,2052.58,-125.917,32.6606,2077.59,-39.7659,21.5618,2099.62,31.7697,39.7953,2121.76,130.44,6.99915,2143.96,179.649,
100,-501.112,2152.14,1043.99,-425.396,2161.55,1027.81,-299.736,2173.73,982.256,-204.526,2146.3,601.577,-29.0656,2076.18,226.832,-190.186,2463.52,994.038,-134.358,2409.08,995.871,-40.8779,2313.74,982.25,-46.393,2319.1,588.963,11.2014,2235.22,181.794,-173.415,1881.19,318.372,-145.897,1916.21,345.753,-151.036,1908.82,358.329,-154.389,1893.72,358.153,-151.218,1876.53,332.637,-164.114,1924.42,350.288,-170.002,1919.41,364.102,-174.466,1892.07,363.593,-165.314,1878.27,332.055,-185.622,1930.93,354.076,-193.092,1923.88,366.603,-195.318,1895.65,365.069,-180.327,1879.78,333.876,-202.26,1932.75,357.343,-208.15,1919.51,365.4,-207.117,1895.72,358.18,-191.981,1882.16,326.891,-198.619,1907.92,352.796,-198.308,1911.18,322.624,-187.508,1913.28,294.341,-173.948,1898.15,261.37,-148.63,1887.56,253.374,-10.2433,1870.28,52.1283,-31.0198,1892.3,-224.988,-30.6401,1984.71,-279.734,-24.2868,2414.49,189.749,17.8026,2409.09,243.197,9.41486,2419.83,235.88,2.96371,2426.91,223.736,-3.88437,2431.36,193.9,3.04895,2399.79,257.741,-5.73004,2412.73,255.246,-16.0133,2427.04,233.867,-16.0726,2425.5,198.281,-14.0677,2392.6,269.075,-22.7585,2405.78,265.445,-31.3967,2420.73,242.953,-28.8315,2420.65,204.966,-29.1285,2388.95,268.7,-37.218,2401.63,261.723,-43.1225,2412.87,240.332,-39.4981,2412.08,203.204,-51.0861,2390.92,237.553,-39.9748,2381.98,210.944,-31.2061,2371.29,184.105,-26.4672,2374.31,145.958,-8.84274,2387.04,127.401,76.2653,2331.28,-95.3035,14.4911,2160.11,-306.474,-14.5636,2056.95,-299.374,-133.62,1909.06,-493.199,-58.4144,1982.91,-373.45,-9.78741,2010.65,-316.667,36.9681,2016.98,-254.944,39.0908,2051.6,-125.855,30.7614,2077.15,-39.7432,20.488,2099.55,31.8015,39.6888,2122.38,130.13,7.2749,2144.59,179.585,
120,-501.126,2151.05,1044.29,-425.47,2160.95,1028.12,-299.83,2173.65,982.658,-203.881,2147.59,602.068,-28.3674,2077.02,227.432,-189.325,2464.81,993.602,-133.899,2409.96,995.05,-41.015,2314.04,981.426,-45.6728,2319.03,588.123,10.9118,2235.81,180.679,-161.517,1881.9,325.195,-133.924,1917.75,352.935,-138.771,1909.54,365.116,-141.844,1894.4,364.531,-138.94,1877.35,338.885,-151.903,1925.87,357.896,-157.426,1920.06,371.546,-161.498,1892.67,370.439,-153.06,1878.98,338.659,-172.75,1931.29,361.306,-179.776,1924.26,374.102,-182.002,1896.04,372.612,-168.035,1880.35,340.854,-189.017,1932.95,364.764,-194.665,1919.84,373.211,-193.921,1896.03,366.053,-179.877,1882.67,334.171,-186.496,1910.38,359.901,-187.238,1913.11,329.684,-176.655,1914.77,301.289,-163.584,1899.2,268.328,-138.383,1888.87,259.652,-5.52771,1870.63,54.795,-29.6577,1891.04,-222.173,-35.841,1982.49,-278.165,-26.1871,2416.47,187.348,16.9315,2414.41,239.829,7.73193,2424.68,232.818,0.626465,2431.26,220.756,-6.8093,2434.62,190.92,2.72571,2404.69,254.706,-6.85541,2417.08,252.429,-18.3238,2430.5,231.077,-18.6007,2428.16,195.536,-13.7021,2396.87,266.557,-23.2444,2409.47,263.001,-33.1302,2423.51,240.439,-31.0099,2422.74,202.432,-28.5983,2392.38,266.625,-37.5486,2404.45,259.61,-44.4091,2414.91,238.111,-41.1536,2413.51,200.967,-49.4291,2391.2,236.632,-38.2598,2382.83,209.862,-29.8641,2372.16,182.898,-26.1934,2375.09,144.626,-9.46417,2388.36,125.624,72.2569,2334.05,-98.7003,13.2559,2156.53,-305.376,-19.8298,2054.58,-298.402,-137.196,1899.29,-489.052,-63.7773,1978.27,-371.497,-15.3033,2008.12,-315.658,32.2404,2014.66,-254.563,36.436,2049.91,-125.693,29.1817,2075.99,-39.6461,19.6473,2098.89,31.843,39.5004,2122.63,129.826,7.34827,2145.15,179.312,
140,-501.597,2150.65,1044.31,-425.933,2160.78,1028.31,-300.18,2173.54,983.176,-203.371,2148.88,602.71,-28.5294,2078.44,227.736,-189.19,2465.87,993.341,-134.049,2410.72,994.405,-41.563,2314.42,980.72,-45.2344,2319.32,587.405,10.3281,2236.94,179.65,-149.394,1883.73,331.528,-122.177,1921.29,358.263,-126.621,1912.85,370.438,-129.282,1897.62,370.043,-126.43,1879.96,344.806,-140.063,1929.13,363.428,-145.154,1923.13,377.164,-148.569,1895.65,376.46,-140.584,1881.28,344.859,-160.21,1933.69,366.73,-166.658,1926.91,379.957,-168.54,1898.63,379.242,-155.534,1882.38,347.358,-176.131,1934.92,370.249,-181.342,1922.15,379.444,-180.603,1898.13,373.001,-167.566,1884.3,340.891,-174.447,1913.75,365.798,-176.173,1915.31,335.539,-165.986,1916.18,306.964,-153.078,1899.73,274.363,-127.852,1889.76,265.351,-0.771606,1871.17,56.8947,-28.4042,1889.82,-219.87,-40.2429,1980.29,-276.538,-29.4837,2418.73,184.431,14.2719,2420.08,235.978,4.41577,2429.87,229.171,-3.21701,2435.87,217.133,-11.0599,2437.97,187.284,0.537598,2410.24,251.165,-9.68384,2422.14,249.019,-22.1263,2434.55,227.601,-22.5183,2431.11,192.151,-15.3465,2402.15,263.666,-25.5619,2414.18,260.007,-36.4302,2427.13,237.244,-34.6513,2425.34,199.254,-30.1855,2397.05,264.34,-39.7669,2408.43,257.016,-47.3021,2417.88,235.274,-44.3104,2415.55,198.154,-49.3015,2392.87,235.504,-38.497,2384.24,208.665,-30.2021,2373.36,181.756,-27.2973,2375.74,143.381,-11.2215,2389.09,123.871,67.6562,2335.88,-101.732,12.0762,2153,-304.656,-24.1357,2052.14,-297.551,-139.987,1892.02,-486.163,-68.1146,1974.23,-369.868,-19.8577,2005.43,-314.585,28.2436,2012.34,-253.968,34.0454,2048.63,-125.451,27.598,2075.44,-39.5641,18.5943,2098.91,31.8113,38.8688,2123.43,129.516,6.88919,2146.27,178.967,
160,-502.453,2151.67,1043.95,-426.692,2161.47,1028.22,-300.67,2173.52,983.639,-203.042,2150.65,603.271,-28.5125,2080.12,228.167,-189.26,2466.62,993.297,-134.215,2411.37,993.949,-41.8278,2315,980.107,-45.2182,2319.63,586.786,9.57788,2238.38,178.699,-138.259,1886.05,337.12,-110.573,1923.83,363.537,-115.013,1915.31,375.659,-117.767,1900.09,375.297,-115.22,1882.15,350.231,-128.268,1931.74,368.778,-133.294,1925.74,382.54,-136.93,1898.28,381.944,-129.362,1883.59,350.392,-147.707,1936.33,372.155,-153.952,1929.72,385.565,-156.289,1901.47,385.069,-144.283,1884.82,353.004,-163.364,1937.45,375.484,-168.63,1925.01,385.107,-168.472,1900.9,378.975,-156.35,1886.8,346.625,-162.919,1916.81,371.283,-165.083,1918.04,341.037,-155.063,1918.61,312.396,-142.269,1901.84,279.918,-117.198,1891.62,270.749,4.0957,1871.94,58.9713,-26.7212,1888.87,-217.567,-44.1671,1978.1,-274.756,-33.7563,2420.81,181.548,10.2926,2425.06,232.258,-0.0736694,2434.43,225.633,-8.10681,2439.93,213.615,-16.1802,2440.91,183.77,-3.03033,2415.11,247.604,-13.7471,2426.59,245.612,-26.9585,2438.14,224.174,-27.3762,2433.75,188.828,-18.5236,2406.83,260.725,-29.2536,2418.37,256.949,-40.8518,2430.37,234.029,-39.3092,2427.75,196.076,-33.3868,2401.24,262.008,-43.4052,2412,254.332,-51.3715,2420.56,232.376,-48.5396,2417.53,195.294,-50.5481,2394.98,234.28,-40.4877,2385.49,207.443,-31.9024,2374.6,180.629,-29.4541,2376.42,142.192,-13.8067,2389.68,122.279,62.7198,2337.25,-104.312,10.053,2149.84,-303.849,-28.1766,2049.73,-296.569,-142.797,1886.78,-484.04,-72.063,1970.76,-368.318,-23.9975,2002.8,-313.346,24.6003,2010.24,-253.19,31.8083,2047.65,-125.065,26.0722,2075.21,-39.3643,17.5433,2099.23,31.8815,38.2534,2124.59,129.281,6.43958,2147.7,178.716,
180,-503.249,2151.31,1043.1,-427.433,2161.28,1027.74,-301.152,2173.45,983.936,-202.162,2152.43,603.813,-27.9046,2081.63,228.633,-189.562,2466.8,993.7,-134.403,2411.66,993.868,-41.7748,2315.57,979.72,-45.6627,2320.04,586.402,8.33716,2239.96,177.979,-127.349,1888.98,341.853,-98.5596,1926.46,367.598,-102.861,1917.98,379.796,-105.831,1902.8,379.506,-104.086,1884.74,354.455,-116.008,1934.38,373.165,-120.809,1928.54,387.075,-124.864,1901.14,386.64,-118.201,1886.36,354.924,-134.862,1939.37,377.147,-140.788,1932.85,390.743,-143.671,1904.65,390.3,-133.044,1887.79,357.862,-150.313,1940.42,380.519,-155.552,1928.26,390.501,-156.087,1904.12,384.511,-145.219,1889.95,351.75,-150.992,1919.58,376.602,-153.904,1920.93,346.424,-144.61,1921.62,317.542,-132.384,1904.96,284.788,-107.655,1894.44,275.055,9.11133,1873.09,60.9078,-25.1891,1888.31,-215.32,-47.4407,1976.14,-273.007,-38.4262,2422.62,178.614,5.88089,2427.54,228.606,-4.59869,2436.96,222.233,-12.7761,2442.38,210.276,-20.9358,2442.84,180.442,-7.33875,2417.74,243.924,-18.0833,2429.24,242.201,-31.5733,2440.68,220.876,-32.1478,2435.78,185.599,-22.7802,2409.63,257.544,-33.5546,2421.13,253.771,-45.361,2432.92,230.845,-44.1182,2429.93,192.909,-37.8614,2404.05,259.321,-47.8735,2414.67,251.441,-55.8971,2422.95,229.402,-53.3077,2419.66,192.325,-53.3942,2397.46,232.507,-44.772,2386.5,205.733,-35.9037,2375.77,178.946,-33.6612,2377.23,140.481,-17.8997,2390.01,120.349,57.7297,2337.98,-106.635,7.44485,2147.25,-303.627,-31.8278,2047.6,-295.627,-145.189,1882.81,-482.498,-75.3957,1967.81,-366.943,-27.5549,2000.44,-312.126,21.459,2008.62,-252.406,29.8262,2047.22,-124.704,24.6821,2075.48,-39.1959,16.5512,2099.97,31.9385,37.7371,2126.15,129.018,6.05658,2149.25,178.544,
