Timestamps [ms],RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHandPinkyEE,,,RightHandPinky3,,,RightHandPinky2,,,RightHandPinky1,,,RightHandRingEE,,,RightHandRing3,,,RightHandRing2,,,RightHandRing1,,,RightHandMiddleEE,,,RightHandMiddle3,,,RightHandMiddle2,,,RightHandMiddle1,,,RightHandIndexEE,,,RightHandIndex3,,,RightHandIndex2,,,RightHandIndex1,,,RightHandThumbEE,,,RightHandThumb3,,,RightHandThumb2,,,RightHandThumb1,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHandPinkyEE,,,LeftHandPinky3,,,LeftHandPinky2,,,LeftHandPinky1,,,LeftHandRingEE,,,LeftHandRing3,,,LeftHandRing2,,,LeftHandRing1,,,LeftHandMiddleEE,,,LeftHandMiddle3,,,LeftHandMiddle2,,,LeftHandMiddle1,,,LeftHandIndexEE,,,LeftHandIndex3,,,LeftHandIndex2,,,LeftHandIndex1,,,LeftHandThumbEE,,,LeftHandThumb3,,,LeftHandThumb2,,,LeftHandThumb1,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
0,-4.10898,4122.99,214.128,-64.4806,4171.47,191.443,-168.079,4244.44,134.705,-163.317,4122.41,-225.393,-142.447,3929.47,-556.787,-157.74,3978.91,277.037,-203.59,4038.28,247.331,-278.876,4131.99,177.856,-305.919,3996.04,-176.224,-282.123,3806.5,-509.373,40.1376,3955.34,-543.498,9.12433,4007.95,-509.894,24.0302,4001.37,-509.096,36.9862,3994.21,-515.95,52.8937,3982.09,-541.733,3.02704,3992.43,-503.308,15.0015,3989.02,-492.506,40.1663,3977.25,-500.273,48.2823,3968.53,-535.397,0.514313,3974.98,-495.64,10.3557,3972.02,-482.534,36.6541,3961.01,-488.595,44.3698,3955.06,-526.503,0.178925,3959.27,-484.968,14.2768,3953.96,-477.471,34.5736,3944.91,-489.448,37.8941,3941.26,-526.992,2.83734,3939.93,-493.313,-2.85037,3935.29,-523.787,-5.31442,3938.33,-554.888,8.69836,3935.93,-592.24,21.2175,3952.86,-612.755,-24.751,3951.02,-869.643,-109.635,3812.88,-1115.27,-232.233,3735.62,-1114.27,-293.901,3663.22,-426.315,-327.362,3702.76,-381.967,-319.312,3688.86,-379.107,-314.78,3674.21,-384.653,-315.6,3652.59,-409.073,-310.68,3714.59,-378.28,-301.652,3703.03,-370.757,-293.918,3676.67,-379.55,-301.332,3658.71,-411.142,-292.448,3724.1,-375.79,-283.425,3711.79,-369.133,-276.812,3684.94,-378.362,-285.984,3665.05,-410.796,-274.361,3727.51,-376.443,-267.581,3712.11,-376.058,-265.205,3690.15,-388.277,-274.593,3670.58,-419.305,-267.987,3709.34,-398.594,-278.851,3704.62,-427.34,-291.759,3698.97,-455.055,-300.853,3675.57,-485.814,-323.1,3657.28,-491.68,-408.39,3608.3,-733.414,-379.928,3580.06,-1024.98,-296.003,3677.56,-1091.71,-291.685,3624.24,-1406,-276.038,3672.7,-1227.39,-283.699,3712.22,-1143.74,-309.99,3767.13,-1076.84,-298.111,3811.83,-928.255,-279.294,3830.43,-826.62,-260.339,3842.15,-741.387,-262.516,3887.41,-630.67,-229.029,3874.46,-565.61,
20,-4.44513,4121.95,213.781,-64.7805,4170.51,191.168,-168.171,4243.77,134.425,-162.214,4121.67,-225.632,-143.353,3928.35,-556.923,-158.141,3977.56,276.431,-203.845,4037.09,246.805,-279.026,4130.96,177.429,-305.664,3996.53,-177.26,-284.444,3806.66,-510.397,39.6444,3956.12,-543.063,9.67993,4010.45,-510.313,24.4138,4003.49,-509.5,37.1628,3995.84,-516.215,52.8373,3982.67,-541.618,2.64139,3994.53,-502.947,14.7821,3990.9,-492.403,39.6966,3978.64,-500.219,48.0186,3969.26,-535.124,-0.796631,3975.83,-494.696,9.26971,3972.35,-481.889,35.4864,3961.31,-488.227,43.9053,3955.95,-526.074,-1.32074,3959.69,-484.248,12.7012,3953.98,-476.894,33.058,3945.06,-488.863,37.205,3942.25,-526.397,0.597076,3941.87,-492.562,-4.45624,3937.59,-523.2,-6.52591,3940.1,-554.375,7.79675,3936.68,-591.529,20.5486,3953.17,-612.253,-24.3412,3951.26,-869.332,-109.677,3812.2,-1114.28,-232.246,3734.88,-1114.12,-293.767,3663.4,-425.792,-329.97,3701.08,-381.188,-321.456,3687.44,-378.449,-316.18,3673.1,-384.168,-315.375,3651.93,-408.977,-312.567,3713.82,-377.987,-303.293,3702.56,-370.312,-294.679,3676.45,-379.033,-301.243,3658.43,-410.783,-293.166,3724.18,-376.131,-283.778,3712.29,-369.196,-276.702,3685.43,-378.022,-286.063,3665.14,-410.158,-274.93,3728.39,-376.805,-267.709,3713.21,-375.956,-265.026,3691.05,-387.749,-274.723,3671.11,-418.443,-268.455,3710.43,-397.591,-279.195,3705.68,-426.379,-291.888,3699.98,-454.182,-300.396,3676.63,-485.14,-322.116,3657.89,-491.568,-408.51,3608.12,-732.747,-380.319,3580.29,-1024.38,-296.999,3677.81,-1091.82,-292.502,3625.36,-1406.68,-276.502,3672.69,-1227.8,-283.873,3712.08,-1144.06,-309.924,3767.66,-1077.62,-298.853,3813.1,-929.193,-280.496,3831.7,-827.475,-261.848,3843.19,-742.143,-263.742,3887.99,-631.232,-230.513,3874.33,-566.184,
40,-6.61841,4123.2,215.484,-66.6293,4171.77,192.037,-169.177,4245.25,134.069,-160.476,4119.34,-224.615,-145.752,3928.43,-557.514,-157.637,3979.56,276.237,-204.039,4038.38,246.293,-280.575,4130.92,176.612,-304.264,3995.98,-178.092,-288.326,3807.89,-512.537,39.6654,3957.12,-542.708,10.2353,4011.98,-509.482,24.9278,4004.91,-509.006,37.5123,3997.14,-515.895,52.8696,3983.68,-541.339,2.55215,3995.65,-501.381,15.1329,3991.79,-491.452,39.8624,3979.6,-499.937,48.1788,3970.22,-534.842,-1.5618,3975.49,-492.773,9.13071,3971.46,-480.656,35.3442,3960.98,-487.91,44.2408,3956.86,-525.802,-1.96317,3958.5,-482.916,12.2513,3952.53,-476.163,32.6855,3944.4,-488.554,37.5426,3943.15,-526.087,-0.682343,3942.81,-491.55,-5.26978,3939.35,-522.365,-7.36349,3941.65,-553.557,6.93372,3937.97,-590.697,19.2907,3954.6,-611.549,-23.0351,3951.15,-869.046,-109.205,3811.02,-1113.09,-231.853,3733.83,-1113.79,-293.67,3663.05,-424.158,-331.512,3699.14,-379.156,-322.882,3685.54,-376.572,-317.247,3671.45,-382.562,-315.475,3651.06,-407.968,-313.325,3712.25,-376.259,-304.096,3701.06,-368.431,-295.186,3675.08,-377.27,-301.32,3657.61,-409.402,-292.519,3723.04,-374.977,-283.038,3711.39,-367.782,-276.094,3684.41,-376.365,-286.146,3664.28,-408.389,-273.991,3727.81,-375.707,-266.653,3712.72,-374.422,-264.173,3690.36,-385.88,-274.71,3670.5,-416.349,-267.523,3710.1,-394.911,-278.419,3705.9,-423.727,-291.113,3700.81,-451.65,-299.614,3678.16,-483.125,-321.266,3659.66,-490.397,-408.708,3606.97,-730.576,-380.215,3581.03,-1022.35,-297.615,3677.88,-1091.63,-292.194,3624.81,-1406.95,-276.188,3671.68,-1227.94,-283.496,3711.32,-1144.32,-309.651,3768.06,-1078.92,-300.193,3815.53,-931.01,-282.694,3834.65,-829.239,-264.648,3846.1,-743.772,-266.361,3890.11,-632.544,-233.48,3875.48,-567.531,
60,-9.04291,4124.87,216.257,-68.7376,4173.49,192.116,-170.432,4247.42,133.215,-159.73,4118.11,-224.205,-148.592,3929.22,-558.391,-158.549,3982.97,276.611,-205.527,4040.93,245.896,-283.298,4131.82,175.423,-302.631,3994.86,-178.772,-292.811,3809.98,-515.229,40.1227,3957.85,-542.423,11.1093,4012.72,-508.35,25.8563,4005.74,-508.436,38.2706,3998.05,-515.702,53.0665,3984.55,-541.456,3.1756,3996.24,-499.29,16.4105,3992.33,-490.278,40.8986,3980.46,-499.847,48.7803,3971.01,-534.837,-1.27936,3974.92,-490.175,10.4032,3970.62,-479.108,36.5106,3960.94,-487.723,45.3422,3957.57,-525.704,-1.34576,3956.88,-480.933,13.3038,3950.93,-475.161,33.6605,3943.79,-488.27,38.7944,3943.79,-525.787,-0.792297,3943.49,-489.828,-5.3371,3940.65,-520.713,-7.98996,3942.39,-551.897,5.80508,3938.48,-589.203,17.1678,3955.33,-610.447,-21.3506,3951.04,-868.529,-108.132,3809.19,-1111.36,-231.255,3732.77,-1112.65,-293.349,3663,-422.659,-332.435,3697.1,-377.32,-323.611,3683.62,-374.768,-317.628,3669.79,-381.009,-315.191,3650.31,-407.067,-314.015,3710.52,-374.634,-304.727,3699.52,-366.601,-295.329,3673.77,-375.591,-301.068,3656.99,-408.163,-292.184,3721.94,-373.892,-282.485,3710.65,-366.427,-275.381,3683.65,-374.815,-285.944,3663.72,-406.8,-273.393,3727.58,-374.801,-265.782,3712.67,-373.094,-263.286,3690.15,-384.221,-274.491,3670.29,-414.45,-266.43,3710.14,-392.317,-277.702,3706.49,-421.061,-290.53,3702.02,-449.029,-298.968,3680.19,-481.089,-320.45,3661.82,-489.177,-408.689,3605.05,-728.13,-380.264,3581.68,-1020.13,-298.086,3678.07,-1090.55,-290.812,3622.78,-1406.11,-275.249,3669.94,-1227.14,-282.748,3710.25,-1143.85,-309.312,3768.65,-1080.09,-302.188,3819.31,-933.12,-285.814,3839.4,-831.345,-268.484,3850.91,-745.739,-269.674,3893.65,-634.009,-237.026,3877.62,-569.209,
80,-10.9105,4125.94,216.491,-70.179,4174.65,191.502,-170.842,4249.24,131.667,-159.244,4116.07,-224.307,-150.557,3928.89,-559.524,-159.105,3985.27,276.452,-206.562,4042.46,245.032,-285.488,4131.9,173.981,-300.202,3993.31,-179.804,-296.64,3811.36,-517.977,40.7295,3958.14,-542.114,12.3096,4012.85,-507.171,27.1007,4005.99,-507.77,39.3381,3998.39,-515.426,53.4734,3984.95,-541.58,4.24301,3996.52,-497.159,18.0634,3992.53,-489.107,42.2173,3980.9,-499.762,49.5735,3971.36,-534.839,-0.506927,3974.64,-487.49,12.1639,3970.24,-477.615,37.9872,3961.11,-487.583,46.6217,3957.86,-525.62,-0.402649,3955.4,-478.868,14.6798,3949.58,-474.185,34.8365,3943.26,-488.007,40.1938,3944.03,-525.485,-0.742859,3944.22,-488.012,-5.34619,3941.79,-518.923,-8.59445,3942.79,-550.083,4.71774,3938.62,-587.536,15.0694,3955.63,-609.164,-19.6364,3951.28,-867.785,-107.308,3807.98,-1109.44,-230.867,3732.28,-1111.43,-293.867,3662.81,-420.96,-333.197,3696.73,-376.422,-324.637,3683.17,-373.416,-318.728,3669.27,-379.577,-316.266,3650.31,-406.015,-314.647,3709.8,-373.79,-305.726,3698.9,-365.226,-296.473,3672.98,-373.862,-301.981,3656.69,-406.726,-291.946,3721.23,-373.318,-282.455,3710.15,-365.293,-275.735,3682.87,-373.053,-286.738,3663.05,-404.961,-272.732,3727.31,-374.3,-265.298,3712.41,-371.914,-263.198,3689.53,-382.384,-275.005,3669.5,-412.274,-265.244,3709.62,-389.895,-276.694,3706.37,-418.619,-289.453,3702.48,-446.704,-298.038,3681.25,-479.129,-319.771,3663.54,-487.96,-407.752,3602.49,-725.954,-380.377,3582.53,-1018.31,-298.72,3678.77,-1089.53,-289.852,3622.27,-1405.54,-274.55,3669.06,-1226.46,-282.18,3709.78,-1143.38,-309.15,3769.67,-1081.19,-304.37,3823.36,-935.206,-289.017,3844.21,-833.426,-272.241,3855.59,-747.692,-272.456,3896.7,-635.347,-239.884,3878.98,-570.95,
100,-10.9824,4126.65,216.556,-70.0535,4175.26,190.922,-170.111,4250.2,130.515,-158.778,4113.93,-224.288,-151.794,3929.03,-560.81,-159.081,3986.99,276.449,-206.871,4043.52,244.339,-286.788,4131.74,172.885,-297.957,3991.17,-180.244,-299.316,3812.91,-520.396,40.8073,3958.55,-541.884,11.7636,4012.4,-506.335,26.7192,4005.94,-507.178,39.004,3998.67,-515.073,52.9195,3985.65,-541.557,3.8259,3996.18,-495.573,18.0993,3992.37,-488.26,42.2039,3981.37,-499.667,49.5277,3971.94,-534.782,-0.843567,3974.37,-485.43,12.668,3970.2,-476.63,38.3423,3961.8,-487.578,47.1482,3958.34,-525.557,-0.414337,3953.9,-477.387,15.0933,3948.54,-473.638,35.2005,3943.17,-487.927,41.0573,3944.35,-525.319,-1.44983,3944.56,-486.879,-5.84351,3942.22,-517.827,-9.31403,3942.46,-548.979,4.05597,3938.37,-586.42,13.4117,3955.72,-608.232,-18.2956,3951.71,-867.243,-106.884,3807.49,-1108.01,-230.67,3732.17,-1110.3,-294.473,3663.35,-419.274,-333.426,3698.75,-376.618,-325.447,3685.06,-372.719,-319.888,3670.83,-378.437,-317.734,3651.83,-404.871,-314.824,3711.17,-374.03,-306.557,3700.41,-364.675,-297.895,3673.99,-372.369,-303.193,3657.64,-405.233,-291.536,3722.18,-373.652,-282.577,3711.26,-364.823,-276.587,3683.51,-371.435,-287.761,3663.39,-403.095,-271.798,3728.31,-374.634,-264.896,3713.32,-371.337,-263.442,3689.95,-380.77,-275.594,3669.34,-410.123,-263.914,3709.88,-388.194,-275.238,3706.61,-416.965,-287.649,3702.87,-445.226,-296.386,3681.64,-477.61,-318.567,3664.75,-486.936,-407.27,3599.68,-723.593,-380.174,3583.41,-1016.2,-299.123,3679.44,-1088.39,-290.113,3622.5,-1405.05,-274.331,3668.58,-1225.82,-281.849,3709.45,-1142.8,-309.186,3770.53,-1081.95,-306.252,3826.98,-936.954,-291.602,3848.61,-835.232,-275.166,3859.95,-749.427,-274.433,3899.66,-636.582,-241.847,3880.53,-572.596,
120,-11.246,4126.4,216.956,-69.9125,4175.11,190.575,-169.068,4250.7,129.503,-158.759,4111.9,-224.351,-152.549,3929.49,-562.246,-158.886,3988.53,277.456,-206.975,4044.39,244.648,-287.758,4131.52,172.82,-295.102,3989.22,-179.716,-301.532,3815.19,-521.996,40.5799,3958.76,-541.599,11.1942,4012.07,-505.806,26.2561,4005.86,-506.676,38.5888,3998.78,-514.674,52.3248,3986.03,-541.378,3.21664,3996,-494.437,17.76,3992.28,-487.629,41.8084,3981.64,-499.486,49.2259,3972.25,-534.593,-1.52103,3974.91,-483.822,12.5906,3970.91,-475.93,38.0502,3962.75,-487.539,47.1758,3958.59,-525.373,-0.972504,3953.41,-476.17,14.8174,3948.4,-473.194,34.8307,3943.51,-487.783,41.2806,3944.52,-525.083,-2.70621,3945.31,-486.164,-6.83359,3942.74,-517.13,-10.2362,3942.35,-548.288,3.41995,3938.22,-585.621,12.1984,3955.75,-607.523,-17.1579,3952.7,-866.824,-106.989,3807.99,-1106.84,-230.496,3732.22,-1109.25,-294.783,3663.88,-418.385,-333.522,3699.41,-376.681,-325.775,3685.78,-372.185,-320.336,3671.42,-377.687,-318.398,3652.66,-404.315,-315.228,3711.73,-374.135,-307.246,3701.15,-364.332,-298.699,3674.56,-371.543,-303.771,3658.26,-404.473,-292.03,3722.83,-373.826,-283.305,3712.09,-364.546,-277.413,3684.18,-370.53,-288.287,3663.79,-402.118,-271.984,3729.36,-374.88,-265.304,3714.38,-371.123,-263.983,3690.77,-379.962,-275.942,3669.57,-408.973,-263.549,3710.56,-387.151,-274.806,3707.24,-415.942,-286.986,3703.54,-444.309,-295.657,3682.29,-476.704,-317.955,3665.75,-486.357,-407.426,3597.04,-721.692,-380.824,3584.73,-1014.54,-299.198,3679.82,-1087.31,-290.645,3623.59,-1404.81,-274.138,3668.47,-1225.34,-281.516,3709.17,-1142.23,-309.318,3771,-1082.35,-308,3829.62,-938.196,-293.87,3851.97,-836.558,-277.619,3863.45,-750.736,-275.946,3902.45,-637.653,-243.342,3882.38,-573.965,
140,-11.5751,4126.72,217.382,-69.9163,4175.33,190.124,-168.331,4251.2,128.192,-158.745,4110.35,-224.873,-152.587,3929.96,-563.848,-158.812,3989.17,277.392,-206.926,4044.79,244.208,-288.079,4131.66,172.486,-293.795,3988.91,-179.898,-302.637,3817.18,-523.282,40.2245,3959.27,-541.317,9.84915,4011.83,-505.459,25.0685,4006.02,-506.316,37.5342,3999.24,-514.363,51.3138,3986.8,-541.196,2.04208,3995.76,-493.585,16.8213,3992.31,-487.148,40.9674,3982.25,-499.308,48.616,3972.96,-534.39,-2.43335,3975.63,-482.459,12.1879,3971.97,-475.373,37.5144,3964.16,-487.502,46.9889,3959.25,-525.159,-1.41174,3953.51,-474.981,14.6457,3949,-472.717,34.5519,3944.55,-487.587,41.4362,3945.04,-524.82,-3.62372,3945.93,-485.636,-7.56229,3942.8,-516.576,-10.8247,3941.94,-547.739,3.11829,3937.85,-584.97,11.2484,3955.6,-606.948,-16.4486,3954.17,-866.446,-107.568,3809.11,-1105.76,-230.132,3731.81,-1107.9,-295.415,3663.68,-417.638,-333.399,3699.43,-376.188,-325.992,3685.71,-371.404,-320.846,3671.23,-376.892,-319.379,3652.89,-403.832,-315.238,3711.56,-373.567,-307.577,3700.88,-363.62,-299.489,3674.13,-370.767,-304.625,3658.14,-403.839,-292.324,3722.48,-373.169,-283.954,3711.6,-363.742,-278.421,3683.59,-369.593,-289.033,3663.29,-401.331,-272.016,3729.04,-374.17,-265.755,3713.89,-370.369,-264.759,3690.21,-379.081,-276.511,3668.84,-408.048,-263.455,3709.98,-385.902,-274.548,3706.98,-414.791,-286.568,3703.62,-443.268,-295.463,3682.66,-475.783,-318.074,3666.73,-485.74,-408.101,3594.88,-719.924,-382.076,3586.13,-1012.95,-299.246,3679.92,-1086.05,-290.575,3623.89,-1404.16,-273.666,3667.89,-1224.52,-280.98,3708.58,-1141.39,-309.156,3771.19,-1082.51,-309.387,3831.85,-939.197,-295.748,3854.9,-837.647,-279.585,3866.54,-751.83,-276.83,3904.89,-638.544,-244.018,3884.01,-575.224,
160,-11.6095,4126.25,217.947,-69.689,4174.71,189.874,-167.546,4250.67,127.189,-159.081,4108.72,-225.461,-151.825,3930.12,-565.362,-158.33,3988.45,277.193,-206.329,4044.05,243.822,-287.546,4131.13,172.421,-293.708,3988.28,-179.918,-302.533,3818.42,-524.232,39.4459,3959.53,-541.208,8.8295,4012.2,-505.665,24.0702,4006.44,-506.475,36.5695,3999.66,-514.467,50.4294,3987.11,-541.207,0.863007,3996.2,-493.411,15.7308,3992.78,-487.168,39.8714,3982.76,-499.375,47.797,3973.28,-534.346,-3.70633,3977.13,-481.713,11.2122,3973.52,-475.251,36.3339,3965.48,-487.656,46.239,3959.6,-525.062,-2.53439,3954.87,-474.177,13.6321,3950.51,-472.485,33.3699,3945.86,-487.522,40.7415,3945.37,-524.661,-5.13498,3947.22,-485.566,-8.89127,3943.42,-516.454,-11.8805,3942.29,-547.636,2.34378,3937.82,-584.716,10.3665,3955.52,-606.773,-16.1099,3955.36,-866.402,-108.611,3810.93,-1105.58,-229.869,3731.59,-1107.13,-296.107,3663.57,-417.375,-333.213,3699.7,-375.911,-326.114,3685.86,-370.985,-321.282,3671.29,-376.498,-320.32,3653.23,-403.655,-315.07,3711.7,-373.224,-307.673,3700.82,-363.285,-300.115,3673.93,-370.483,-305.449,3658.15,-403.62,-292.635,3722.38,-372.709,-284.616,3711.22,-363.294,-279.449,3683.15,-369.188,-289.744,3662.91,-401.068,-272.192,3728.73,-373.583,-266.365,3713.37,-369.945,-265.658,3689.71,-378.732,-277.094,3668.23,-407.741,-263.727,3709.51,-385.263,-274.506,3706.83,-414.302,-286.461,3703.74,-442.837,-295.689,3682.96,-475.381,-318.654,3667.63,-485.461,-408.809,3593.39,-718.848,-383.291,3587.45,-1011.99,-299.155,3679.94,-1085.25,-291.413,3624.85,-1404.04,-273.599,3667.72,-1224.21,-280.636,3708.18,-1140.95,-309.047,3771.24,-1082.66,-310.236,3833.29,-939.953,-296.785,3856.8,-838.484,-280.527,3868.56,-752.701,-276.8,3906.43,-639.284,-243.719,3884.99,-576.293,
180,-11.9532,4127.16,218.658,-69.79,4175.36,189.65,-167.157,4251.1,125.94,-159.312,4107.91,-226.225,-151.391,3930.82,-566.899,-158.321,3988.91,277.162,-206.06,4044.54,243.468,-286.986,4131.9,172.08,-294.729,3988,-179.799,-302.561,3820.02,-525.057,39.2402,3959.57,-541.203,8.95859,4012.31,-505.174,24.1613,4006.49,-506.264,36.5544,3999.69,-514.41,50.2529,3987.14,-541.229,0.980347,3996.2,-492.745,15.9616,3992.71,-486.824,39.9366,3982.71,-499.369,47.6935,3973.28,-534.392,-3.51978,3977.88,-480.568,11.6664,3974.17,-474.821,36.4369,3965.95,-487.796,46.2395,3959.56,-525.146,-2.08899,3955.8,-473.083,14.1371,3951.43,-472.122,33.4847,3946.56,-487.587,40.7321,3945.34,-524.734,-5.07922,3947.86,-485.171,-9.15747,3943.67,-515.968,-12.3363,3942.69,-547.136,1.56097,3938.08,-584.323,9.31998,3955.86,-606.408,-16.0736,3956.31,-866.145,-109.257,3812.34,-1105.33,-229.12,3730.9,-1106.33,-296.681,3663.74,-417.086,-332.948,3700.03,-375.27,-325.844,3686.22,-370.272,-321.157,3671.6,-375.779,-320.74,3653.57,-402.973,-314.874,3712.19,-372.813,-307.407,3701.28,-362.971,-300.066,3674.33,-370.188,-305.838,3658.39,-403.178,-293.193,3722.92,-372.467,-285.211,3711.63,-363.172,-280.015,3683.57,-369.1,-290.065,3663.06,-400.881,-272.821,3729.21,-373.421,-267.107,3713.75,-370.028,-266.378,3690.12,-378.888,-277.488,3668.28,-407.759,-264.414,3709.98,-385.372,-275.043,3707.29,-414.466,-287.346,3704.05,-442.835,-297.057,3683.07,-475.112,-320.279,3667.88,-484.81,-409.611,3592.7,-718.21,-384.879,3588.81,-1011.45,-298.584,3679.47,-1084.5,-290.946,3624.64,-1403.71,-272.752,3666.89,-1223.78,-279.738,3707.29,-1140.48,-308.472,3770.79,-1082.83,-310.732,3834.16,-940.715,-297.599,3858.22,-839.332,-281.353,3870.25,-753.585,-276.919,3908,-640.152,-243.624,3886.28,-577.37,
